project,iso2,year,month,pageviews_ceil
mr.wikipedia,IN,2022,1,9254000
mr.wikipedia,US,2022,1,369000
mr.wikipedia,CA,2022,1,56000
mr.wikipedia,SG,2022,1,31000
mr.wikipedia,NL,2022,1,30000
mr.wikipedia,DE,2022,1,29000
mr.wikipedia,FR,2022,1,22000
mr.wikipedia,IR,2022,1,15000
mr.wikipedia,GB,2022,1,10000
mr.wikipedia,NZ,2022,1,8000
mr.wikipedia,AU,2022,1,6000
mr.wikipedia,FI,2022,1,5000
mr.wikipedia,JP,2022,1,5000
mr.wikipedia,RU,2022,1,5000
mr.wikipedia,--,2022,1,3000
mr.wikipedia,PL,2022,1,3000
mr.wikipedia,AE,2022,1,2000
mr.wikipedia,HK,2022,1,2000
mr.wikipedia,TH,2022,1,2000
mr.wikipedia,BR,2022,1,2000
mr.wikipedia,IT,2022,1,2000
mr.wikipedia,BE,2022,1,2000
mr.wikipedia,SE,2022,1,2000
mr.wikipedia,KR,2022,1,2000
mr.wikipedia,ID,2022,1,2000
mr.wikipedia,TW,2022,1,2000
mr.wikipedia,ES,2022,1,1000
mr.wikipedia,NP,2022,1,1000
mr.wikipedia,CY,2022,1,1000
mr.wikipedia,VN,2022,1,1000
mr.wikipedia,SA,2022,1,1000
mr.wikipedia,DK,2022,1,1000
mr.wikipedia,CN,2022,1,1000
mr.wikipedia,PT,2022,1,1000
mr.wikipedia,CH,2022,1,1000
mr.wikipedia,BD,2022,1,1000
mr.wikipedia,UA,2022,1,1000
mr.wikipedia,IL,2022,1,1000
mr.wikipedia,PH,2022,1,1000
mr.wikipedia,OM,2022,1,1000
mr.wikipedia,QA,2022,1,1000
mr.wikipedia,CZ,2022,1,1000
mr.wikipedia,NG,2022,1,1000
mr.wikipedia,AT,2022,1,1000
mr.wikipedia,LV,2022,1,1000
mr.wikipedia,TR,2022,1,1000
mr.wikipedia,MY,2022,1,1000
mr.wikipedia,RO,2022,1,1000
mr.wikipedia,CO,2022,1,1000
mr.wikipedia,KW,2022,1,1000
mr.wikipedia,IE,2022,1,1000
mr.wikipedia,NO,2022,1,1000
mr.wikipedia,PK,2022,1,1000
mr.wikipedia,GH,2022,1,1000
mr.wikipedia,MU,2022,1,1000
mr.wikipedia,SC,2022,1,1000
mr.wikipedia,EG,2022,1,1000
mr.wikipedia,BG,2022,1,1000
mr.wikipedia,ZA,2022,1,1000
mr.wikipedia,GR,2022,1,1000
mr.wikipedia,MX,2022,1,1000
mr.wikipedia,BH,2022,1,1000
mr.wikipedia,RS,2022,1,1000
mr.wikipedia,KE,2022,1,1000
mr.wikipedia,MA,2022,1,1000
mr.wikipedia,IN,2022,2,9739000
mr.wikipedia,US,2022,2,370000
mr.wikipedia,SG,2022,2,41000
mr.wikipedia,NL,2022,2,28000
mr.wikipedia,FR,2022,2,25000
