project,date,pageviews
ms.wikipedia,2022-01-01,400121
ms.wikipedia,2022-01-02,442296
ms.wikipedia,2022-01-03,505453
ms.wikipedia,2022-01-04,505374
ms.wikipedia,2022-01-05,522256
ms.wikipedia,2022-01-06,533216
ms.wikipedia,2022-01-07,491847
ms.wikipedia,2022-01-08,468447
ms.wikipedia,2022-01-09,508942
ms.wikipedia,2022-01-10,555672
ms.wikipedia,2022-01-11,571727
ms.wikipedia,2022-01-12,562034
ms.wikipedia,2022-01-13,528577
ms.wikipedia,2022-01-14,471973
ms.wikipedia,2022-01-15,442509
ms.wikipedia,2022-01-16,502974
ms.wikipedia,2022-01-17,518801
ms.wikipedia,2022-01-18,551133
ms.wikipedia,2022-01-19,552492
ms.wikipedia,2022-01-20,536982
ms.wikipedia,2022-01-21,465437
ms.wikipedia,2022-01-22,473765
ms.wikipedia,2022-01-23,555763
ms.wikipedia,2022-01-24,563785
ms.wikipedia,2022-01-25,550059
ms.wikipedia,2022-01-26,555875
ms.wikipedia,2022-01-27,528387
ms.wikipedia,2022-01-28,447604
ms.wikipedia,2022-01-29,423005
ms.wikipedia,2022-01-30,412785
ms.wikipedia,2022-01-31,415926
ms.wikipedia,2022-02-01,407119
ms.wikipedia,2022-02-02,406273
ms.wikipedia,2022-02-03,470999
ms.wikipedia,2022-02-04,452700
ms.wikipedia,2022-02-05,442769
ms.wikipedia,2022-02-06,520205
ms.wikipedia,2022-02-07,548766
ms.wikipedia,2022-02-08,582787
ms.wikipedia,2022-02-09,576814
ms.wikipedia,2022-02-10,534435
ms.wikipedia,2022-02-11,466523
ms.wikipedia,2022-02-12,461179
ms.wikipedia,2022-02-13,514379
ms.wikipedia,2022-02-14,598418
ms.wikipedia,2022-02-15,579246
ms.wikipedia,2022-02-16,545215
ms.wikipedia,2022-02-17,502725
ms.wikipedia,2022-02-18,482114
ms.wikipedia,2022-02-19,439007
ms.wikipedia,2022-02-20,470040
ms.wikipedia,2022-02-21,537201
ms.wikipedia,2022-02-22,523905
ms.wikipedia,2022-02-23,643733
ms.wikipedia,2022-02-24,620658
ms.wikipedia,2022-02-25,542937
ms.wikipedia,2022-02-26,498709
ms.wikipedia,2022-02-27,506494
ms.wikipedia,2022-02-28,535003
ms.wikipedia,2022-03-01,564637
ms.wikipedia,2022-03-02,547187
ms.wikipedia,2022-03-03,496212
ms.wikipedia,2022-03-04,491457
ms.wikipedia,2022-03-05,444493
ms.wikipedia,2022-03-06,505474
ms.wikipedia,2022-03-07,517092
ms.wikipedia,2022-03-08,553992
ms.wikipedia,2022-03-09,500145
ms.wikipedia,2022-03-10,462186
ms.wikipedia,2022-03-11,447180
ms.wikipedia,2022-03-12,445442
ms.wikipedia,2022-03-13,447367
ms.wikipedia,2022-03-14,523122
ms.wikipedia,2022-03-15,528332
ms.wikipedia,2022-03-16,489650
ms.wikipedia,2022-03-17,494821
ms.wikipedia,2022-03-18,458167
ms.wikipedia,2022-03-19,422707
ms.wikipedia,2022-03-20,438861
ms.wikipedia,2022-03-21,584737
ms.wikipedia,2022-03-22,590620
ms.wikipedia,2022-03-23,563289
ms.wikipedia,2022-03-24,548400
ms.wikipedia,2022-03-25,498112
ms.wikipedia,2022-03-26,432036
ms.wikipedia,2022-03-27,481422
ms.wikipedia,2022-03-28,548032
ms.wikipedia,2022-03-29,534023
ms.wikipedia,2022-03-30,520140
ms.wikipedia,2022-03-31,546439
ms.wikipedia,2022-04-01,453460
ms.wikipedia,2022-04-02,406120
ms.wikipedia,2022-04-03,417149
ms.wikipedia,2022-04-04,454721
ms.wikipedia,2022-04-05,484362
ms.wikipedia,2022-04-06,499026
ms.wikipedia,2022-04-07,482984
ms.wikipedia,2022-04-08,438504
ms.wikipedia,2022-04-09,432263
ms.wikipedia,2022-04-10,474724
ms.wikipedia,2022-04-11,529859
ms.wikipedia,2022-04-12,534624
ms.wikipedia,2022-04-13,526500
ms.wikipedia,2022-04-14,477521
ms.wikipedia,2022-04-15,442768
ms.wikipedia,2022-04-16,458505
ms.wikipedia,2022-04-17,474700
ms.wikipedia,2022-04-18,508110
ms.wikipedia,2022-04-19,528699
ms.wikipedia,2022-04-20,528378
ms.wikipedia,2022-04-21,489430
ms.wikipedia,2022-04-22,422212
ms.wikipedia,2022-04-23,401605
ms.wikipedia,2022-04-24,421480
ms.wikipedia,2022-04-25,454909
ms.wikipedia,2022-04-26,468488
ms.wikipedia,2022-04-27,446481
ms.wikipedia,2022-04-28,389298
ms.wikipedia,2022-04-29,330246
ms.wikipedia,2022-04-30,307114
ms.wikipedia,2022-05-01,272680
