project,iso2,year,month,pageviews_ceil
myv.wikipedia,US,2022,1,43000
myv.wikipedia,FR,2022,1,19000
myv.wikipedia,NL,2022,1,11000
myv.wikipedia,RU,2022,1,10000
myv.wikipedia,SG,2022,1,9000
myv.wikipedia,DE,2022,1,9000
myv.wikipedia,CA,2022,1,6000
myv.wikipedia,IR,2022,1,5000
myv.wikipedia,GB,2022,1,2000
myv.wikipedia,UA,2022,1,2000
myv.wikipedia,PL,2022,1,2000
myv.wikipedia,FI,2022,1,2000
myv.wikipedia,JP,2022,1,2000
myv.wikipedia,IT,2022,1,1000
myv.wikipedia,HK,2022,1,1000
myv.wikipedia,--,2022,1,1000
myv.wikipedia,ES,2022,1,1000
myv.wikipedia,BE,2022,1,1000
myv.wikipedia,DK,2022,1,1000
myv.wikipedia,CN,2022,1,1000
myv.wikipedia,TW,2022,1,1000
myv.wikipedia,KR,2022,1,1000
myv.wikipedia,KZ,2022,1,1000
myv.wikipedia,BR,2022,1,1000
myv.wikipedia,ID,2022,1,1000
myv.wikipedia,IN,2022,1,1000
myv.wikipedia,CZ,2022,1,1000
myv.wikipedia,VN,2022,1,1000
myv.wikipedia,DO,2022,1,1000
myv.wikipedia,TR,2022,1,1000
myv.wikipedia,LV,2022,1,1000
myv.wikipedia,EE,2022,1,1000
myv.wikipedia,AU,2022,1,1000
myv.wikipedia,SC,2022,1,1000
myv.wikipedia,CH,2022,1,1000
myv.wikipedia,PT,2022,1,1000
myv.wikipedia,TH,2022,1,1000
myv.wikipedia,US,2022,2,41000
myv.wikipedia,FR,2022,2,18000
myv.wikipedia,NL,2022,2,12000
myv.wikipedia,RU,2022,2,11000
myv.wikipedia,SG,2022,2,6000
myv.wikipedia,DE,2022,2,6000
myv.wikipedia,IR,2022,2,4000
myv.wikipedia,CA,2022,2,4000
myv.wikipedia,UA,2022,2,3000
myv.wikipedia,GB,2022,2,3000
myv.wikipedia,BR,2022,2,3000
myv.wikipedia,PL,2022,2,2000
myv.wikipedia,ES,2022,2,1000
myv.wikipedia,--,2022,2,1000
myv.wikipedia,ID,2022,2,1000
myv.wikipedia,FI,2022,2,1000
myv.wikipedia,IT,2022,2,1000
myv.wikipedia,TR,2022,2,1000
myv.wikipedia,JP,2022,2,1000
myv.wikipedia,CZ,2022,2,1000
myv.wikipedia,HK,2022,2,1000
myv.wikipedia,CN,2022,2,1000
myv.wikipedia,DK,2022,2,1000
myv.wikipedia,IN,2022,2,1000
myv.wikipedia,VN,2022,2,1000
myv.wikipedia,GR,2022,2,1000
myv.wikipedia,BG,2022,2,1000
myv.wikipedia,AU,2022,2,1000
myv.wikipedia,KZ,2022,2,1000
myv.wikipedia,LV,2022,2,1000
myv.wikipedia,CH,2022,2,1000
myv.wikipedia,MD,2022,2,1000
myv.wikipedia,EE,2022,2,1000
myv.wikipedia,AZ,2022,2,1000
myv.wikipedia,TW,2022,2,1000
myv.wikipedia,SC,2022,2,1000
myv.wikipedia,MA,2022,2,1000
myv.wikipedia,BY,2022,2,1000
myv.wikipedia,US,2022,3,28000
myv.wikipedia,FR,2022,3,13000
myv.wikipedia,NL,2022,3,11000
myv.wikipedia,RU,2022,3,9000
myv.wikipedia,DE,2022,3,8000
myv.wikipedia,CA,2022,3,6000
