project,iso2,year,month,pageviews_ceil
mzn.wikipedia,IR,2022,1,137000
mzn.wikipedia,US,2022,1,53000
mzn.wikipedia,FR,2022,1,22000
mzn.wikipedia,DE,2022,1,14000
mzn.wikipedia,NL,2022,1,11000
mzn.wikipedia,SG,2022,1,11000
mzn.wikipedia,CA,2022,1,9000
mzn.wikipedia,GB,2022,1,4000
mzn.wikipedia,RU,2022,1,3000
mzn.wikipedia,BE,2022,1,2000
mzn.wikipedia,JP,2022,1,2000
mzn.wikipedia,PL,2022,1,2000
mzn.wikipedia,FI,2022,1,2000
mzn.wikipedia,--,2022,1,1000
mzn.wikipedia,BR,2022,1,1000
mzn.wikipedia,HK,2022,1,1000
mzn.wikipedia,TR,2022,1,1000
mzn.wikipedia,IT,2022,1,1000
mzn.wikipedia,AF,2022,1,1000
mzn.wikipedia,DK,2022,1,1000
mzn.wikipedia,PK,2022,1,1000
mzn.wikipedia,KR,2022,1,1000
mzn.wikipedia,SE,2022,1,1000
mzn.wikipedia,CN,2022,1,1000
mzn.wikipedia,CH,2022,1,1000
mzn.wikipedia,ID,2022,1,1000
mzn.wikipedia,IN,2022,1,1000
mzn.wikipedia,AU,2022,1,1000
mzn.wikipedia,ES,2022,1,1000
mzn.wikipedia,PT,2022,1,1000
mzn.wikipedia,IQ,2022,1,1000
mzn.wikipedia,VN,2022,1,1000
mzn.wikipedia,UA,2022,1,1000
mzn.wikipedia,RO,2022,1,1000
mzn.wikipedia,TW,2022,1,1000
mzn.wikipedia,CZ,2022,1,1000
mzn.wikipedia,NO,2022,1,1000
mzn.wikipedia,IL,2022,1,1000
mzn.wikipedia,LV,2022,1,1000
mzn.wikipedia,AT,2022,1,1000
mzn.wikipedia,AE,2022,1,1000
mzn.wikipedia,MY,2022,1,1000
mzn.wikipedia,BG,2022,1,1000
mzn.wikipedia,SC,2022,1,1000
mzn.wikipedia,LU,2022,1,1000
mzn.wikipedia,EG,2022,1,1000
mzn.wikipedia,IE,2022,1,1000
mzn.wikipedia,IR,2022,2,122000
mzn.wikipedia,US,2022,2,49000
mzn.wikipedia,FR,2022,2,21000
mzn.wikipedia,DE,2022,2,12000
mzn.wikipedia,NL,2022,2,12000
mzn.wikipedia,IN,2022,2,11000
mzn.wikipedia,SG,2022,2,8000
mzn.wikipedia,RU,2022,2,8000
mzn.wikipedia,CA,2022,2,6000
mzn.wikipedia,GB,2022,2,5000
mzn.wikipedia,UZ,2022,2,3000
mzn.wikipedia,PK,2022,2,2000
mzn.wikipedia,BR,2022,2,2000
mzn.wikipedia,UA,2022,2,2000
mzn.wikipedia,KZ,2022,2,2000
mzn.wikipedia,--,2022,2,2000
mzn.wikipedia,PL,2022,2,2000
mzn.wikipedia,BY,2022,2,2000
mzn.wikipedia,TR,2022,2,2000
mzn.wikipedia,BE,2022,2,1000
mzn.wikipedia,ID,2022,2,1000
mzn.wikipedia,FI,2022,2,1000
mzn.wikipedia,IT,2022,2,1000
mzn.wikipedia,AF,2022,2,1000
mzn.wikipedia,JP,2022,2,1000
mzn.wikipedia,ES,2022,2,1000
mzn.wikipedia,DK,2022,2,1000
mzn.wikipedia,TJ,2022,2,1000
mzn.wikipedia,AU,2022,2,1000
mzn.wikipedia,VN,2022,2,1000
mzn.wikipedia,HK,2022,2,1000
mzn.wikipedia,GE,2022,2,1000
mzn.wikipedia,CH,2022,2,1000
mzn.wikipedia,CN,2022,2,1000
mzn.wikipedia,SE,2022,2,1000
mzn.wikipedia,GR,2022,2,1000
mzn.wikipedia,NO,2022,2,1000
mzn.wikipedia,AE,2022,2,1000
mzn.wikipedia,PH,2022,2,1000
mzn.wikipedia,MN,2022,2,1000
mzn.wikipedia,KG,2022,2,1000
mzn.wikipedia,KR,2022,2,1000
mzn.wikipedia,AT,2022,2,1000
mzn.wikipedia,IQ,2022,2,1000
mzn.wikipedia,LV,2022,2,1000
mzn.wikipedia,PT,2022,2,1000
mzn.wikipedia,RO,2022,2,1000
mzn.wikipedia,MA,2022,2,1000
mzn.wikipedia,SC,2022,2,1000
mzn.wikipedia,SA,2022,2,1000
mzn.wikipedia,IL,2022,2,1000
mzn.wikipedia,CZ,2022,2,1000
mzn.wikipedia,AZ,2022,2,1000
mzn.wikipedia,IE,2022,2,1000
mzn.wikipedia,EG,2022,2,1000
mzn.wikipedia,BD,2022,2,1000
mzn.wikipedia,IR,2022,3,116000
mzn.wikipedia,US,2022,3,37000
mzn.wikipedia,IN,2022,3,17000
mzn.wikipedia,DE,2022,3,15000
mzn.wikipedia,FR,2022,3,12000
mzn.wikipedia,NL,2022,3,12000
mzn.wikipedia,RU,2022,3,11000
mzn.wikipedia,CA,2022,3,10000
mzn.wikipedia,SG,2022,3,6000
mzn.wikipedia,GB,2022,3,5000
mzn.wikipedia,UZ,2022,3,4000
mzn.wikipedia,PK,2022,3,4000
mzn.wikipedia,AT,2022,3,3000
mzn.wikipedia,KZ,2022,3,3000
mzn.wikipedia,TJ,2022,3,2000
mzn.wikipedia,VN,2022,3,2000
mzn.wikipedia,PL,2022,3,2000
mzn.wikipedia,SE,2022,3,2000
mzn.wikipedia,TR,2022,3,2000
mzn.wikipedia,IE,2022,3,2000
mzn.wikipedia,AF,2022,3,2000
mzn.wikipedia,UA,2022,3,2000
mzn.wikipedia,BY,2022,3,1000
mzn.wikipedia,ID,2022,3,1000
mzn.wikipedia,JP,2022,3,1000
mzn.wikipedia,IT,2022,3,1000
mzn.wikipedia,--,2022,3,1000
mzn.wikipedia,GE,2022,3,1000
mzn.wikipedia,GR,2022,3,1000
mzn.wikipedia,BE,2022,3,1000
mzn.wikipedia,LV,2022,3,1000
mzn.wikipedia,HK,2022,3,1000
mzn.wikipedia,DK,2022,3,1000
mzn.wikipedia,MY,2022,3,1000
mzn.wikipedia,PH,2022,3,1000
mzn.wikipedia,PT,2022,3,1000
mzn.wikipedia,FI,2022,3,1000
mzn.wikipedia,IQ,2022,3,1000
mzn.wikipedia,AU,2022,3,1000
mzn.wikipedia,MN,2022,3,1000
mzn.wikipedia,RO,2022,3,1000
mzn.wikipedia,NO,2022,3,1000
