project,iso2,year,month,pageviews_ceil
nah.wikipedia,US,2022,1,28000
nah.wikipedia,FR,2022,1,20000
nah.wikipedia,MX,2022,1,17000
nah.wikipedia,NL,2022,1,12000
nah.wikipedia,DE,2022,1,7000
nah.wikipedia,IR,2022,1,6000
nah.wikipedia,CA,2022,1,6000
nah.wikipedia,SG,2022,1,4000
nah.wikipedia,RU,2022,1,3000
nah.wikipedia,PL,2022,1,2000
nah.wikipedia,FI,2022,1,2000
nah.wikipedia,GB,2022,1,2000
nah.wikipedia,ES,2022,1,2000
nah.wikipedia,JP,2022,1,2000
nah.wikipedia,HK,2022,1,1000
nah.wikipedia,IT,2022,1,1000
nah.wikipedia,--,2022,1,1000
nah.wikipedia,BR,2022,1,1000
nah.wikipedia,CH,2022,1,1000
nah.wikipedia,CN,2022,1,1000
nah.wikipedia,DK,2022,1,1000
nah.wikipedia,IN,2022,1,1000
nah.wikipedia,BE,2022,1,1000
nah.wikipedia,KR,2022,1,1000
nah.wikipedia,TW,2022,1,1000
nah.wikipedia,PT,2022,1,1000
nah.wikipedia,VN,2022,1,1000
nah.wikipedia,CZ,2022,1,1000
nah.wikipedia,UA,2022,1,1000
nah.wikipedia,ID,2022,1,1000
nah.wikipedia,AU,2022,1,1000
nah.wikipedia,TR,2022,1,1000
nah.wikipedia,AR,2022,1,1000
nah.wikipedia,AT,2022,1,1000
nah.wikipedia,HU,2022,1,1000
nah.wikipedia,PE,2022,1,1000
nah.wikipedia,CO,2022,1,1000
nah.wikipedia,SE,2022,1,1000
nah.wikipedia,LV,2022,1,1000
nah.wikipedia,BY,2022,1,1000
nah.wikipedia,SC,2022,1,1000
nah.wikipedia,RS,2022,1,1000
nah.wikipedia,IN,2022,2,108000
nah.wikipedia,RU,2022,2,53000
nah.wikipedia,US,2022,2,25000
nah.wikipedia,UZ,2022,2,22000
nah.wikipedia,FR,2022,2,19000
nah.wikipedia,PK,2022,2,17000
nah.wikipedia,KZ,2022,2,17000
nah.wikipedia,MX,2022,2,15000
nah.wikipedia,NL,2022,2,12000
nah.wikipedia,UA,2022,2,12000
nah.wikipedia,BY,2022,2,11000
nah.wikipedia,TJ,2022,2,7000
nah.wikipedia,IR,2022,2,6000
nah.wikipedia,DE,2022,2,6000
nah.wikipedia,SG,2022,2,5000
nah.wikipedia,GE,2022,2,4000
nah.wikipedia,CA,2022,2,4000
nah.wikipedia,GB,2022,2,4000
nah.wikipedia,MN,2022,2,3000
nah.wikipedia,KG,2022,2,3000
nah.wikipedia,PH,2022,2,3000
nah.wikipedia,BR,2022,2,3000
nah.wikipedia,VN,2022,2,3000
nah.wikipedia,TW,2022,2,2000
nah.wikipedia,AF,2022,2,2000
nah.wikipedia,ES,2022,2,2000
nah.wikipedia,PL,2022,2,2000
nah.wikipedia,IT,2022,2,1000
nah.wikipedia,--,2022,2,1000
nah.wikipedia,TR,2022,2,1000
nah.wikipedia,MD,2022,2,1000
nah.wikipedia,ID,2022,2,1000
nah.wikipedia,FI,2022,2,1000
nah.wikipedia,AZ,2022,2,1000
nah.wikipedia,JP,2022,2,1000
nah.wikipedia,ZA,2022,2,1000
nah.wikipedia,AU,2022,2,1000
nah.wikipedia,MM,2022,2,1000
nah.wikipedia,EG,2022,2,1000
nah.wikipedia,LK,2022,2,1000
nah.wikipedia,HK,2022,2,1000
nah.wikipedia,CN,2022,2,1000
nah.wikipedia,AE,2022,2,1000
nah.wikipedia,IE,2022,2,1000
nah.wikipedia,DK,2022,2,1000
nah.wikipedia,MY,2022,2,1000
nah.wikipedia,AM,2022,2,1000
nah.wikipedia,BH,2022,2,1000
nah.wikipedia,SC,2022,2,1000
nah.wikipedia,SA,2022,2,1000
nah.wikipedia,BD,2022,2,1000
nah.wikipedia,IL,2022,2,1000
nah.wikipedia,KW,2022,2,1000
nah.wikipedia,NO,2022,2,1000
nah.wikipedia,KR,2022,2,1000
nah.wikipedia,GR,2022,2,1000
nah.wikipedia,NE,2022,2,1000
nah.wikipedia,CH,2022,2,1000
nah.wikipedia,CZ,2022,2,1000
nah.wikipedia,ET,2022,2,1000
nah.wikipedia,LV,2022,2,1000
nah.wikipedia,PT,2022,2,1000
nah.wikipedia,CL,2022,2,1000
nah.wikipedia,CY,2022,2,1000
nah.wikipedia,AR,2022,2,1000
nah.wikipedia,BJ,2022,2,1000
nah.wikipedia,KE,2022,2,1000
nah.wikipedia,SE,2022,2,1000
nah.wikipedia,RW,2022,2,1000
nah.wikipedia,MA,2022,2,1000
nah.wikipedia,BE,2022,2,1000
nah.wikipedia,IN,2022,3,185000
nah.wikipedia,RU,2022,3,74000
nah.wikipedia,UZ,2022,3,48000
nah.wikipedia,PK,2022,3,34000
nah.wikipedia,KZ,2022,3,29000
nah.wikipedia,US,2022,3,26000
nah.wikipedia,TJ,2022,3,16000
nah.wikipedia,BY,2022,3,13000
nah.wikipedia,NL,2022,3,12000
nah.wikipedia,UA,2022,3,11000
nah.wikipedia,IR,2022,3,10000
nah.wikipedia,MX,2022,3,10000
nah.wikipedia,FR,2022,3,10000
nah.wikipedia,DE,2022,3,8000
nah.wikipedia,GE,2022,3,7000
nah.wikipedia,CA,2022,3,6000
nah.wikipedia,AF,2022,3,5000
nah.wikipedia,KG,2022,3,5000
nah.wikipedia,MN,2022,3,5000
nah.wikipedia,PH,2022,3,4000
nah.wikipedia,VN,2022,3,3000
nah.wikipedia,AT,2022,3,3000
nah.wikipedia,SG,2022,3,3000
nah.wikipedia,TR,2022,3,3000
nah.wikipedia,GB,2022,3,2000
nah.wikipedia,IE,2022,3,2000
nah.wikipedia,PL,2022,3,2000
nah.wikipedia,ID,2022,3,2000
nah.wikipedia,AZ,2022,3,2000
nah.wikipedia,ES,2022,3,2000
nah.wikipedia,TM,2022,3,1000
nah.wikipedia,IQ,2022,3,1000
nah.wikipedia,IT,2022,3,1000
nah.wikipedia,BD,2022,3,1000
nah.wikipedia,BR,2022,3,1000
nah.wikipedia,HK,2022,3,1000
nah.wikipedia,JP,2022,3,1000
nah.wikipedia,MD,2022,3,1000
nah.wikipedia,MY,2022,3,1000
nah.wikipedia,GR,2022,3,1000
nah.wikipedia,ZA,2022,3,1000
nah.wikipedia,MM,2022,3,1000
nah.wikipedia,AE,2022,3,1000
nah.wikipedia,LV,2022,3,1000
nah.wikipedia,SA,2022,3,1000
nah.wikipedia,BH,2022,3,1000
nah.wikipedia,NO,2022,3,1000
nah.wikipedia,--,2022,3,1000
nah.wikipedia,ET,2022,3,1000
nah.wikipedia,KR,2022,3,1000
nah.wikipedia,CO,2022,3,1000
nah.wikipedia,TH,2022,3,1000
nah.wikipedia,CI,2022,3,1000
nah.wikipedia,PT,2022,3,1000
nah.wikipedia,NP,2022,3,1000
nah.wikipedia,TW,2022,3,1000
nah.wikipedia,CZ,2022,3,1000
nah.wikipedia,LK,2022,3,1000
nah.wikipedia,DK,2022,3,1000
nah.wikipedia,RO,2022,3,1000
nah.wikipedia,CD,2022,3,1000
nah.wikipedia,OM,2022,3,1000
nah.wikipedia,EG,2022,3,1000
nah.wikipedia,AU,2022,3,1000
nah.wikipedia,IL,2022,3,1000
nah.wikipedia,KE,2022,3,1000
nah.wikipedia,AR,2022,3,1000
nah.wikipedia,NE,2022,3,1000
nah.wikipedia,PE,2022,3,1000
nah.wikipedia,CL,2022,3,1000
nah.wikipedia,NG,2022,3,1000
nah.wikipedia,ZM,2022,3,1000
nah.wikipedia,KW,2022,3,1000
nah.wikipedia,SC,2022,3,1000
nah.wikipedia,FI,2022,3,1000
nah.wikipedia,CN,2022,3,1000
nah.wikipedia,SL,2022,3,1000
nah.wikipedia,AM,2022,3,1000
nah.wikipedia,RW,2022,3,1000
nah.wikipedia,MZ,2022,3,1000
nah.wikipedia,LT,2022,3,1000
nah.wikipedia,IN,2022,4,110000
nah.wikipedia,RU,2022,4,75000
