project,iso2,year,month,pageviews_ceil
nds.wikipedia,DE,2022,1,82000
nds.wikipedia,US,2022,1,56000
nds.wikipedia,NL,2022,1,29000
nds.wikipedia,FR,2022,1,15000
nds.wikipedia,CA,2022,1,12000
nds.wikipedia,IR,2022,1,11000
nds.wikipedia,SG,2022,1,9000
nds.wikipedia,RU,2022,1,6000
nds.wikipedia,AT,2022,1,6000
nds.wikipedia,CH,2022,1,5000
nds.wikipedia,GB,2022,1,4000
nds.wikipedia,PL,2022,1,3000
nds.wikipedia,FI,2022,1,3000
nds.wikipedia,--,2022,1,3000
nds.wikipedia,SE,2022,1,2000
nds.wikipedia,JP,2022,1,2000
nds.wikipedia,BE,2022,1,2000
nds.wikipedia,DK,2022,1,2000
nds.wikipedia,IT,2022,1,2000
nds.wikipedia,HK,2022,1,2000
nds.wikipedia,CZ,2022,1,2000
nds.wikipedia,IN,2022,1,1000
nds.wikipedia,ES,2022,1,1000
nds.wikipedia,BR,2022,1,1000
nds.wikipedia,KR,2022,1,1000
nds.wikipedia,NO,2022,1,1000
nds.wikipedia,TR,2022,1,1000
nds.wikipedia,CN,2022,1,1000
nds.wikipedia,AU,2022,1,1000
nds.wikipedia,RO,2022,1,1000
nds.wikipedia,UA,2022,1,1000
nds.wikipedia,TW,2022,1,1000
nds.wikipedia,ID,2022,1,1000
nds.wikipedia,PT,2022,1,1000
nds.wikipedia,HU,2022,1,1000
nds.wikipedia,VN,2022,1,1000
nds.wikipedia,ZA,2022,1,1000
nds.wikipedia,LU,2022,1,1000
nds.wikipedia,SK,2022,1,1000
nds.wikipedia,SI,2022,1,1000
nds.wikipedia,RS,2022,1,1000
nds.wikipedia,BG,2022,1,1000
nds.wikipedia,IE,2022,1,1000
nds.wikipedia,GR,2022,1,1000
nds.wikipedia,MX,2022,1,1000
nds.wikipedia,TH,2022,1,1000
nds.wikipedia,EE,2022,1,1000
nds.wikipedia,IL,2022,1,1000
nds.wikipedia,LV,2022,1,1000
nds.wikipedia,HR,2022,1,1000
nds.wikipedia,SC,2022,1,1000
nds.wikipedia,AR,2022,1,1000
nds.wikipedia,AZ,2022,1,1000
nds.wikipedia,EG,2022,1,1000
nds.wikipedia,MY,2022,1,1000
nds.wikipedia,PH,2022,1,1000
nds.wikipedia,MD,2022,1,1000
nds.wikipedia,CO,2022,1,1000
nds.wikipedia,LT,2022,1,1000
nds.wikipedia,PK,2022,1,1000
nds.wikipedia,MA,2022,1,1000
nds.wikipedia,HN,2022,1,1000
nds.wikipedia,IN,2022,2,142000
nds.wikipedia,RU,2022,2,73000
nds.wikipedia,DE,2022,2,71000
nds.wikipedia,US,2022,2,60000
nds.wikipedia,UZ,2022,2,33000
nds.wikipedia,NL,2022,2,26000
nds.wikipedia,PK,2022,2,23000
nds.wikipedia,KZ,2022,2,22000
nds.wikipedia,BY,2022,2,16000
nds.wikipedia,UA,2022,2,16000
nds.wikipedia,FR,2022,2,14000
nds.wikipedia,IR,2022,2,14000
nds.wikipedia,TJ,2022,2,9000
nds.wikipedia,SG,2022,2,8000
nds.wikipedia,CA,2022,2,8000
nds.wikipedia,GB,2022,2,6000
nds.wikipedia,GE,2022,2,6000
nds.wikipedia,AT,2022,2,5000
nds.wikipedia,MN,2022,2,5000
nds.wikipedia,KG,2022,2,4000
nds.wikipedia,PH,2022,2,4000
nds.wikipedia,CH,2022,2,4000
nds.wikipedia,VN,2022,2,3000
nds.wikipedia,PL,2022,2,3000
nds.wikipedia,--,2022,2,3000
nds.wikipedia,BR,2022,2,3000
nds.wikipedia,TW,2022,2,3000
nds.wikipedia,ES,2022,2,2000
nds.wikipedia,AF,2022,2,2000
nds.wikipedia,FI,2022,2,2000
nds.wikipedia,IT,2022,2,2000
nds.wikipedia,ID,2022,2,2000
nds.wikipedia,SE,2022,2,2000
nds.wikipedia,TR,2022,2,2000
nds.wikipedia,DK,2022,2,2000
nds.wikipedia,BE,2022,2,2000
nds.wikipedia,AZ,2022,2,2000
nds.wikipedia,ZA,2022,2,2000
nds.wikipedia,JP,2022,2,1000
nds.wikipedia,CZ,2022,2,1000
nds.wikipedia,MD,2022,2,1000
nds.wikipedia,AU,2022,2,1000
nds.wikipedia,NO,2022,2,1000
nds.wikipedia,EG,2022,2,1000
nds.wikipedia,IE,2022,2,1000
nds.wikipedia,KR,2022,2,1000
nds.wikipedia,AE,2022,2,1000
nds.wikipedia,AM,2022,2,1000
nds.wikipedia,MM,2022,2,1000
nds.wikipedia,HK,2022,2,1000
nds.wikipedia,MY,2022,2,1000
nds.wikipedia,LK,2022,2,1000
nds.wikipedia,CN,2022,2,1000
nds.wikipedia,GR,2022,2,1000
nds.wikipedia,RO,2022,2,1000
