project,iso2,year,month,pageviews_ceil
ne.wikipedia,NP,2022,1,512000
ne.wikipedia,US,2022,1,132000
ne.wikipedia,ID,2022,1,83000
ne.wikipedia,BR,2022,1,81000
ne.wikipedia,TW,2022,1,55000
ne.wikipedia,HK,2022,1,46000
ne.wikipedia,SG,2022,1,45000
ne.wikipedia,MY,2022,1,40000
ne.wikipedia,CA,2022,1,32000
ne.wikipedia,IN,2022,1,28000
ne.wikipedia,DE,2022,1,28000
ne.wikipedia,NL,2022,1,25000
ne.wikipedia,FR,2022,1,24000
ne.wikipedia,PH,2022,1,23000
ne.wikipedia,GB,2022,1,19000
ne.wikipedia,TH,2022,1,17000
ne.wikipedia,BD,2022,1,16000
ne.wikipedia,AU,2022,1,13000
ne.wikipedia,JP,2022,1,12000
ne.wikipedia,RU,2022,1,12000
ne.wikipedia,VN,2022,1,11000
ne.wikipedia,EC,2022,1,11000
ne.wikipedia,MX,2022,1,8000
ne.wikipedia,IR,2022,1,8000
ne.wikipedia,ES,2022,1,7000
ne.wikipedia,IT,2022,1,5000
ne.wikipedia,KR,2022,1,5000
ne.wikipedia,UA,2022,1,5000
ne.wikipedia,IQ,2022,1,4000
ne.wikipedia,AE,2022,1,4000
ne.wikipedia,AR,2022,1,4000
ne.wikipedia,MO,2022,1,4000
ne.wikipedia,CO,2022,1,3000
ne.wikipedia,QA,2022,1,3000
ne.wikipedia,PL,2022,1,3000
ne.wikipedia,PK,2022,1,3000
ne.wikipedia,NZ,2022,1,3000
ne.wikipedia,SA,2022,1,3000
ne.wikipedia,FI,2022,1,3000
ne.wikipedia,PT,2022,1,2000
ne.wikipedia,ZA,2022,1,2000
ne.wikipedia,DZ,2022,1,2000
ne.wikipedia,PE,2022,1,2000
ne.wikipedia,BE,2022,1,2000
ne.wikipedia,--,2022,1,2000
ne.wikipedia,UZ,2022,1,2000
ne.wikipedia,TR,2022,1,2000
ne.wikipedia,KH,2022,1,2000
ne.wikipedia,PY,2022,1,2000
ne.wikipedia,EG,2022,1,2000
ne.wikipedia,CL,2022,1,2000
ne.wikipedia,MM,2022,1,1000
ne.wikipedia,BH,2022,1,1000
ne.wikipedia,SE,2022,1,1000
ne.wikipedia,RS,2022,1,1000
ne.wikipedia,VE,2022,1,1000
ne.wikipedia,MA,2022,1,1000
ne.wikipedia,TN,2022,1,1000
ne.wikipedia,CH,2022,1,1000
ne.wikipedia,RO,2022,1,1000
ne.wikipedia,KW,2022,1,1000
ne.wikipedia,IE,2022,1,1000
ne.wikipedia,GR,2022,1,1000
ne.wikipedia,BA,2022,1,1000
ne.wikipedia,IL,2022,1,1000
ne.wikipedia,DO,2022,1,1000
ne.wikipedia,BG,2022,1,1000
ne.wikipedia,LA,2022,1,1000
ne.wikipedia,DK,2022,1,1000
ne.wikipedia,AT,2022,1,1000
ne.wikipedia,HU,2022,1,1000
ne.wikipedia,CZ,2022,1,1000
ne.wikipedia,ET,2022,1,1000
ne.wikipedia,TG,2022,1,1000
ne.wikipedia,CN,2022,1,1000
ne.wikipedia,GE,2022,1,1000
ne.wikipedia,SN,2022,1,1000
ne.wikipedia,LV,2022,1,1000
ne.wikipedia,NO,2022,1,1000
ne.wikipedia,SK,2022,1,1000
ne.wikipedia,KE,2022,1,1000
ne.wikipedia,PA,2022,1,1000
ne.wikipedia,UY,2022,1,1000
ne.wikipedia,JM,2022,1,1000
ne.wikipedia,OM,2022,1,1000
ne.wikipedia,BY,2022,1,1000
ne.wikipedia,HN,2022,1,1000
ne.wikipedia,LT,2022,1,1000
ne.wikipedia,AL,2022,1,1000
ne.wikipedia,CR,2022,1,1000
ne.wikipedia,AO,2022,1,1000
ne.wikipedia,BN,2022,1,1000
ne.wikipedia,GT,2022,1,1000
ne.wikipedia,MD,2022,1,1000
ne.wikipedia,BO,2022,1,1000
ne.wikipedia,HR,2022,1,1000
ne.wikipedia,AZ,2022,1,1000
ne.wikipedia,PR,2022,1,1000
ne.wikipedia,JO,2022,1,1000
ne.wikipedia,CI,2022,1,1000
ne.wikipedia,KZ,2022,1,1000
ne.wikipedia,MN,2022,1,1000
ne.wikipedia,MG,2022,1,1000
ne.wikipedia,SV,2022,1,1000
ne.wikipedia,MV,2022,1,1000
ne.wikipedia,UG,2022,1,1000
ne.wikipedia,NG,2022,1,1000
ne.wikipedia,MK,2022,1,1000
ne.wikipedia,GH,2022,1,1000
ne.wikipedia,LK,2022,1,1000
ne.wikipedia,SC,2022,1,1000
ne.wikipedia,AM,2022,1,1000
ne.wikipedia,CY,2022,1,1000
ne.wikipedia,LB,2022,1,1000
ne.wikipedia,MT,2022,1,1000
ne.wikipedia,GU,2022,1,1000
ne.wikipedia,GA,2022,1,1000
ne.wikipedia,KG,2022,1,1000
ne.wikipedia,SI,2022,1,1000
ne.wikipedia,LU,2022,1,1000
ne.wikipedia,ML,2022,1,1000
ne.wikipedia,SY,2022,1,1000
ne.wikipedia,GY,2022,1,1000
ne.wikipedia,NP,2022,2,468000
ne.wikipedia,BR,2022,2,377000
ne.wikipedia,US,2022,2,114000
ne.wikipedia,IN,2022,2,33000
ne.wikipedia,SG,2022,2,30000
ne.wikipedia,NL,2022,2,23000
ne.wikipedia,FR,2022,2,21000
ne.wikipedia,ID,2022,2,20000
ne.wikipedia,HK,2022,2,17000
ne.wikipedia,DE,2022,2,16000
ne.wikipedia,TW,2022,2,15000
ne.wikipedia,CA,2022,2,15000
ne.wikipedia,MY,2022,2,15000
ne.wikipedia,GB,2022,2,11000
ne.wikipedia,IR,2022,2,9000
ne.wikipedia,EC,2022,2,7000
ne.wikipedia,AU,2022,2,7000
ne.wikipedia,JP,2022,2,7000
ne.wikipedia,RU,2022,2,6000
ne.wikipedia,PH,2022,2,5000
ne.wikipedia,TH,2022,2,5000
ne.wikipedia,BD,2022,2,4000
ne.wikipedia,VN,2022,2,3000
ne.wikipedia,KR,2022,2,3000
ne.wikipedia,AE,2022,2,3000
ne.wikipedia,IT,2022,2,3000
ne.wikipedia,ES,2022,2,3000
ne.wikipedia,SA,2022,2,2000
ne.wikipedia,QA,2022,2,2000
ne.wikipedia,--,2022,2,2000
ne.wikipedia,UA,2022,2,2000
ne.wikipedia,NZ,2022,2,2000
ne.wikipedia,MX,2022,2,2000
ne.wikipedia,IQ,2022,2,2000
ne.wikipedia,PL,2022,2,2000
ne.wikipedia,CO,2022,2,2000
ne.wikipedia,AR,2022,2,2000
ne.wikipedia,FI,2022,2,1000
ne.wikipedia,MO,2022,2,1000
ne.wikipedia,PK,2022,2,1000
ne.wikipedia,TR,2022,2,1000
ne.wikipedia,GR,2022,2,1000
ne.wikipedia,PT,2022,2,1000
ne.wikipedia,PY,2022,2,1000
ne.wikipedia,RO,2022,2,1000
ne.wikipedia,PE,2022,2,1000
ne.wikipedia,CL,2022,2,1000
ne.wikipedia,SE,2022,2,1000
ne.wikipedia,MA,2022,2,1000
ne.wikipedia,DO,2022,2,1000
ne.wikipedia,CN,2022,2,1000
ne.wikipedia,CH,2022,2,1000
ne.wikipedia,DK,2022,2,1000
ne.wikipedia,LK,2022,2,1000
ne.wikipedia,KW,2022,2,1000
ne.wikipedia,EG,2022,2,1000
ne.wikipedia,KH,2022,2,1000
ne.wikipedia,IL,2022,2,1000
ne.wikipedia,AT,2022,2,1000
ne.wikipedia,BE,2022,2,1000
ne.wikipedia,MM,2022,2,1000
ne.wikipedia,DZ,2022,2,1000
ne.wikipedia,LV,2022,2,1000
ne.wikipedia,CZ,2022,2,1000
ne.wikipedia,NO,2022,2,1000
ne.wikipedia,VE,2022,2,1000
ne.wikipedia,TN,2022,2,1000
ne.wikipedia,IE,2022,2,1000
ne.wikipedia,BA,2022,2,1000
ne.wikipedia,BH,2022,2,1000
ne.wikipedia,ZA,2022,2,1000
ne.wikipedia,GT,2022,2,1000
ne.wikipedia,BO,2022,2,1000
ne.wikipedia,HU,2022,2,1000
ne.wikipedia,UZ,2022,2,1000
ne.wikipedia,BG,2022,2,1000
ne.wikipedia,PA,2022,2,1000
ne.wikipedia,SI,2022,2,1000
ne.wikipedia,BY,2022,2,1000
ne.wikipedia,TG,2022,2,1000
ne.wikipedia,GE,2022,2,1000
