project,iso2,year,month,pageviews_ceil
new.wikipedia,US,2022,1,53000
new.wikipedia,NL,2022,1,17000
new.wikipedia,IN,2022,1,14000
new.wikipedia,FR,2022,1,14000
new.wikipedia,SG,2022,1,12000
new.wikipedia,DE,2022,1,12000
new.wikipedia,CA,2022,1,10000
new.wikipedia,IR,2022,1,7000
new.wikipedia,GB,2022,1,4000
new.wikipedia,RU,2022,1,3000
new.wikipedia,NP,2022,1,3000
new.wikipedia,JP,2022,1,2000
new.wikipedia,FI,2022,1,2000
new.wikipedia,PL,2022,1,2000
new.wikipedia,--,2022,1,2000
new.wikipedia,VN,2022,1,2000
new.wikipedia,HK,2022,1,1000
new.wikipedia,TH,2022,1,1000
new.wikipedia,KR,2022,1,1000
new.wikipedia,BR,2022,1,1000
new.wikipedia,ID,2022,1,1000
new.wikipedia,IT,2022,1,1000
new.wikipedia,ES,2022,1,1000
new.wikipedia,CN,2022,1,1000
new.wikipedia,TW,2022,1,1000
new.wikipedia,BE,2022,1,1000
new.wikipedia,AU,2022,1,1000
new.wikipedia,MX,2022,1,1000
new.wikipedia,UA,2022,1,1000
new.wikipedia,DK,2022,1,1000
new.wikipedia,PT,2022,1,1000
new.wikipedia,SE,2022,1,1000
new.wikipedia,CZ,2022,1,1000
new.wikipedia,AT,2022,1,1000
new.wikipedia,CH,2022,1,1000
new.wikipedia,PK,2022,1,1000
new.wikipedia,IL,2022,1,1000
new.wikipedia,SC,2022,1,1000
new.wikipedia,LV,2022,1,1000
new.wikipedia,CO,2022,1,1000
new.wikipedia,AR,2022,1,1000
new.wikipedia,GH,2022,1,1000
new.wikipedia,BY,2022,1,1000
new.wikipedia,TR,2022,1,1000
new.wikipedia,MY,2022,1,1000
new.wikipedia,BG,2022,1,1000
new.wikipedia,US,2022,2,58000
new.wikipedia,NL,2022,2,16000
new.wikipedia,FR,2022,2,15000
new.wikipedia,IN,2022,2,15000
new.wikipedia,SG,2022,2,11000
new.wikipedia,DE,2022,2,8000
new.wikipedia,IR,2022,2,6000
new.wikipedia,CA,2022,2,6000
new.wikipedia,RU,2022,2,4000
new.wikipedia,GB,2022,2,4000
new.wikipedia,NP,2022,2,2000
new.wikipedia,ID,2022,2,2000
new.wikipedia,BR,2022,2,2000
new.wikipedia,--,2022,2,2000
new.wikipedia,UA,2022,2,2000
new.wikipedia,VN,2022,2,2000
new.wikipedia,JP,2022,2,1000
new.wikipedia,PL,2022,2,1000
new.wikipedia,HK,2022,2,1000
new.wikipedia,FI,2022,2,1000
new.wikipedia,IT,2022,2,1000
new.wikipedia,TH,2022,2,1000
new.wikipedia,KR,2022,2,1000
new.wikipedia,ES,2022,2,1000
new.wikipedia,CN,2022,2,1000
new.wikipedia,AU,2022,2,1000
new.wikipedia,TR,2022,2,1000
new.wikipedia,GR,2022,2,1000
new.wikipedia,SE,2022,2,1000
new.wikipedia,DK,2022,2,1000
new.wikipedia,MX,2022,2,1000
new.wikipedia,LV,2022,2,1000
new.wikipedia,CH,2022,2,1000
new.wikipedia,TW,2022,2,1000
new.wikipedia,SC,2022,2,1000
new.wikipedia,PK,2022,2,1000
new.wikipedia,PT,2022,2,1000
new.wikipedia,CO,2022,2,1000
new.wikipedia,CZ,2022,2,1000
new.wikipedia,AR,2022,2,1000
new.wikipedia,MA,2022,2,1000
new.wikipedia,AE,2022,2,1000
new.wikipedia,RO,2022,2,1000
new.wikipedia,IL,2022,2,1000
new.wikipedia,KE,2022,2,1000
new.wikipedia,US,2022,3,41000
new.wikipedia,IR,2022,3,33000
new.wikipedia,NL,2022,3,15000
new.wikipedia,IN,2022,3,14000
new.wikipedia,CA,2022,3,12000
new.wikipedia,DE,2022,3,11000
new.wikipedia,FR,2022,3,9000
new.wikipedia,SG,2022,3,8000
new.wikipedia,AT,2022,3,4000
new.wikipedia,RU,2022,3,4000
new.wikipedia,GB,2022,3,3000
new.wikipedia,VN,2022,3,3000
new.wikipedia,NP,2022,3,3000
new.wikipedia,ID,2022,3,2000
new.wikipedia,SE,2022,3,2000
new.wikipedia,IE,2022,3,2000
new.wikipedia,JP,2022,3,2000
new.wikipedia,PL,2022,3,2000
new.wikipedia,BR,2022,3,1000
new.wikipedia,KR,2022,3,1000
new.wikipedia,TH,2022,3,1000
new.wikipedia,--,2022,3,1000
new.wikipedia,HK,2022,3,1000
new.wikipedia,IT,2022,3,1000
new.wikipedia,GR,2022,3,1000
new.wikipedia,MY,2022,3,1000
new.wikipedia,LV,2022,3,1000
new.wikipedia,TR,2022,3,1000
new.wikipedia,ES,2022,3,1000
new.wikipedia,MX,2022,3,1000
new.wikipedia,CO,2022,3,1000
new.wikipedia,AR,2022,3,1000
new.wikipedia,AU,2022,3,1000
