project,iso2,year,month,pageviews_ceil
nl.wikipedia,NL,2022,1,105256000
nl.wikipedia,BE,2022,1,35974000
nl.wikipedia,US,2022,1,1930000
nl.wikipedia,DE,2022,1,1645000
nl.wikipedia,RU,2022,1,1133000
nl.wikipedia,FR,2022,1,721000
nl.wikipedia,ES,2022,1,588000
nl.wikipedia,GB,2022,1,408000
nl.wikipedia,SR,2022,1,336000
nl.wikipedia,CA,2022,1,286000
nl.wikipedia,IR,2022,1,269000
nl.wikipedia,IT,2022,1,210000
nl.wikipedia,BR,2022,1,202000
nl.wikipedia,AT,2022,1,199000
nl.wikipedia,CH,2022,1,198000
nl.wikipedia,ID,2022,1,187000
nl.wikipedia,SE,2022,1,187000
nl.wikipedia,CW,2022,1,150000
nl.wikipedia,PL,2022,1,143000
nl.wikipedia,--,2022,1,134000
nl.wikipedia,TW,2022,1,122000
nl.wikipedia,TR,2022,1,122000
nl.wikipedia,SG,2022,1,116000
nl.wikipedia,PT,2022,1,115000
nl.wikipedia,DK,2022,1,109000
nl.wikipedia,HK,2022,1,91000
nl.wikipedia,TH,2022,1,84000
nl.wikipedia,CZ,2022,1,82000
nl.wikipedia,NO,2022,1,82000
nl.wikipedia,JP,2022,1,79000
nl.wikipedia,IE,2022,1,78000
nl.wikipedia,MX,2022,1,76000
nl.wikipedia,FI,2022,1,73000
nl.wikipedia,AU,2022,1,71000
nl.wikipedia,MY,2022,1,70000
nl.wikipedia,AW,2022,1,60000
nl.wikipedia,PH,2022,1,57000
nl.wikipedia,ZA,2022,1,57000
nl.wikipedia,HU,2022,1,56000
nl.wikipedia,IN,2022,1,56000
nl.wikipedia,LU,2022,1,55000
nl.wikipedia,AE,2022,1,42000
nl.wikipedia,GR,2022,1,41000
nl.wikipedia,RO,2022,1,40000
nl.wikipedia,UA,2022,1,39000
nl.wikipedia,IL,2022,1,34000
nl.wikipedia,VN,2022,1,34000
nl.wikipedia,BQ,2022,1,33000
nl.wikipedia,BD,2022,1,29000
nl.wikipedia,CO,2022,1,26000
nl.wikipedia,AR,2022,1,25000
nl.wikipedia,EC,2022,1,25000
nl.wikipedia,EG,2022,1,24000
nl.wikipedia,BG,2022,1,24000
nl.wikipedia,KR,2022,1,23000
nl.wikipedia,MA,2022,1,23000
nl.wikipedia,RS,2022,1,22000
nl.wikipedia,MD,2022,1,17000
nl.wikipedia,SK,2022,1,16000
nl.wikipedia,HR,2022,1,16000
nl.wikipedia,PE,2022,1,16000
nl.wikipedia,NZ,2022,1,15000
nl.wikipedia,CL,2022,1,15000
nl.wikipedia,CR,2022,1,14000
nl.wikipedia,LT,2022,1,13000
nl.wikipedia,SI,2022,1,12000
nl.wikipedia,EE,2022,1,11000
nl.wikipedia,IQ,2022,1,11000
nl.wikipedia,MT,2022,1,11000
nl.wikipedia,PK,2022,1,10000
nl.wikipedia,IS,2022,1,10000
nl.wikipedia,KE,2022,1,10000
nl.wikipedia,SX,2022,1,9000
nl.wikipedia,SA,2022,1,9000
nl.wikipedia,LV,2022,1,9000
nl.wikipedia,CV,2022,1,9000
nl.wikipedia,DO,2022,1,8000
nl.wikipedia,BA,2022,1,8000
nl.wikipedia,LK,2022,1,7000
nl.wikipedia,NG,2022,1,7000
nl.wikipedia,TZ,2022,1,7000
nl.wikipedia,DZ,2022,1,7000
nl.wikipedia,CY,2022,1,7000
nl.wikipedia,GE,2022,1,7000
nl.wikipedia,BY,2022,1,7000
nl.wikipedia,TN,2022,1,6000
nl.wikipedia,PA,2022,1,6000
nl.wikipedia,GH,2022,1,6000
nl.wikipedia,MO,2022,1,6000
nl.wikipedia,AL,2022,1,5000
nl.wikipedia,NP,2022,1,5000
nl.wikipedia,QA,2022,1,5000
nl.wikipedia,MK,2022,1,5000
nl.wikipedia,SN,2022,1,5000
nl.wikipedia,UG,2022,1,5000
nl.wikipedia,KH,2022,1,5000
nl.wikipedia,UY,2022,1,4000
nl.wikipedia,AZ,2022,1,4000
nl.wikipedia,GT,2022,1,4000
nl.wikipedia,VE,2022,1,4000
nl.wikipedia,PY,2022,1,4000
nl.wikipedia,CN,2022,1,4000
nl.wikipedia,JO,2022,1,4000
nl.wikipedia,UZ,2022,1,4000
nl.wikipedia,KZ,2022,1,3000
nl.wikipedia,AM,2022,1,3000
nl.wikipedia,OM,2022,1,3000
nl.wikipedia,LB,2022,1,3000
nl.wikipedia,NI,2022,1,3000
nl.wikipedia,CI,2022,1,3000
nl.wikipedia,BO,2022,1,3000
nl.wikipedia,BZ,2022,1,3000
nl.wikipedia,ET,2022,1,3000
nl.wikipedia,MM,2022,1,3000
nl.wikipedia,RW,2022,1,2000
nl.wikipedia,GM,2022,1,2000
nl.wikipedia,LA,2022,1,2000
nl.wikipedia,KW,2022,1,2000
nl.wikipedia,AD,2022,1,2000
nl.wikipedia,MU,2022,1,2000
nl.wikipedia,NA,2022,1,2000
nl.wikipedia,SC,2022,1,2000
nl.wikipedia,BH,2022,1,2000
nl.wikipedia,TG,2022,1,2000
nl.wikipedia,MV,2022,1,2000
nl.wikipedia,XK,2022,1,2000
nl.wikipedia,ME,2022,1,2000
nl.wikipedia,JM,2022,1,2000
nl.wikipedia,SV,2022,1,2000
nl.wikipedia,CU,2022,1,2000
nl.wikipedia,HN,2022,1,2000
nl.wikipedia,CD,2022,1,2000
nl.wikipedia,MF,2022,1,2000
nl.wikipedia,MC,2022,1,2000
nl.wikipedia,GF,2022,1,2000
nl.wikipedia,PR,2022,1,2000
nl.wikipedia,MZ,2022,1,2000
nl.wikipedia,AO,2022,1,2000
nl.wikipedia,GP,2022,1,2000
nl.wikipedia,BJ,2022,1,2000
nl.wikipedia,MG,2022,1,2000
nl.wikipedia,IM,2022,1,2000
nl.wikipedia,MN,2022,1,1000
nl.wikipedia,MW,2022,1,1000
nl.wikipedia,ZM,2022,1,1000
nl.wikipedia,ML,2022,1,1000
nl.wikipedia,MQ,2022,1,1000
nl.wikipedia,SO,2022,1,1000
nl.wikipedia,CM,2022,1,1000
nl.wikipedia,BN,2022,1,1000
nl.wikipedia,RE,2022,1,1000
nl.wikipedia,TT,2022,1,1000
nl.wikipedia,YE,2022,1,1000
nl.wikipedia,JE,2022,1,1000
nl.wikipedia,KG,2022,1,1000
nl.wikipedia,BB,2022,1,1000
nl.wikipedia,SD,2022,1,1000
nl.wikipedia,SY,2022,1,1000
nl.wikipedia,BW,2022,1,1000
nl.wikipedia,BF,2022,1,1000
nl.wikipedia,BS,2022,1,1000
nl.wikipedia,PS,2022,1,1000
nl.wikipedia,GY,2022,1,1000
nl.wikipedia,FJ,2022,1,1000
nl.wikipedia,LY,2022,1,1000
nl.wikipedia,LI,2022,1,1000
nl.wikipedia,SL,2022,1,1000
nl.wikipedia,AF,2022,1,1000
nl.wikipedia,GG,2022,1,1000
nl.wikipedia,BI,2022,1,1000
nl.wikipedia,GN,2022,1,1000
nl.wikipedia,GA,2022,1,1000
nl.wikipedia,NE,2022,1,1000
nl.wikipedia,CG,2022,1,1000
nl.wikipedia,AG,2022,1,1000
nl.wikipedia,ZW,2022,1,1000
nl.wikipedia,FO,2022,1,1000
nl.wikipedia,BL,2022,1,1000
nl.wikipedia,HT,2022,1,1000
nl.wikipedia,GU,2022,1,1000
