project,iso2,year,month,pageviews_ceil
nn.wikipedia,NO,2022,1,523000
nn.wikipedia,US,2022,1,123000
nn.wikipedia,DE,2022,1,56000
nn.wikipedia,CA,2022,1,45000
nn.wikipedia,FR,2022,1,36000
nn.wikipedia,IR,2022,1,36000
nn.wikipedia,TR,2022,1,17000
nn.wikipedia,RU,2022,1,17000
nn.wikipedia,SG,2022,1,16000
nn.wikipedia,SE,2022,1,16000
nn.wikipedia,NL,2022,1,16000
nn.wikipedia,GB,2022,1,15000
nn.wikipedia,--,2022,1,14000
nn.wikipedia,FI,2022,1,13000
nn.wikipedia,DK,2022,1,9000
nn.wikipedia,PL,2022,1,7000
nn.wikipedia,CZ,2022,1,5000
nn.wikipedia,JP,2022,1,5000
nn.wikipedia,ES,2022,1,5000
nn.wikipedia,IL,2022,1,5000
nn.wikipedia,IT,2022,1,3000
nn.wikipedia,IN,2022,1,3000
nn.wikipedia,MD,2022,1,3000
nn.wikipedia,BR,2022,1,3000
nn.wikipedia,UA,2022,1,3000
nn.wikipedia,BE,2022,1,3000
nn.wikipedia,KR,2022,1,2000
nn.wikipedia,CH,2022,1,2000
nn.wikipedia,VN,2022,1,2000
nn.wikipedia,HK,2022,1,2000
nn.wikipedia,ID,2022,1,2000
nn.wikipedia,PT,2022,1,2000
nn.wikipedia,CN,2022,1,2000
nn.wikipedia,RO,2022,1,2000
nn.wikipedia,AU,2022,1,2000
nn.wikipedia,TW,2022,1,2000
nn.wikipedia,AT,2022,1,2000
nn.wikipedia,TH,2022,1,1000
nn.wikipedia,LT,2022,1,1000
nn.wikipedia,HU,2022,1,1000
nn.wikipedia,BG,2022,1,1000
nn.wikipedia,RS,2022,1,1000
nn.wikipedia,IE,2022,1,1000
nn.wikipedia,GR,2022,1,1000
nn.wikipedia,ZA,2022,1,1000
nn.wikipedia,BD,2022,1,1000
nn.wikipedia,LV,2022,1,1000
nn.wikipedia,MX,2022,1,1000
nn.wikipedia,IS,2022,1,1000
nn.wikipedia,EE,2022,1,1000
nn.wikipedia,NG,2022,1,1000
nn.wikipedia,BJ,2022,1,1000
nn.wikipedia,CO,2022,1,1000
nn.wikipedia,MY,2022,1,1000
nn.wikipedia,PK,2022,1,1000
nn.wikipedia,LU,2022,1,1000
nn.wikipedia,GH,2022,1,1000
nn.wikipedia,BY,2022,1,1000
nn.wikipedia,SK,2022,1,1000
nn.wikipedia,PH,2022,1,1000
nn.wikipedia,AR,2022,1,1000
nn.wikipedia,HR,2022,1,1000
nn.wikipedia,SI,2022,1,1000
nn.wikipedia,CL,2022,1,1000
nn.wikipedia,EG,2022,1,1000
nn.wikipedia,AZ,2022,1,1000
nn.wikipedia,SC,2022,1,1000
nn.wikipedia,KH,2022,1,1000
nn.wikipedia,FO,2022,1,1000
nn.wikipedia,MA,2022,1,1000
nn.wikipedia,SA,2022,1,1000
nn.wikipedia,IQ,2022,1,1000
nn.wikipedia,AE,2022,1,1000
nn.wikipedia,GE,2022,1,1000
nn.wikipedia,NZ,2022,1,1000
nn.wikipedia,PE,2022,1,1000
nn.wikipedia,DZ,2022,1,1000
nn.wikipedia,BA,2022,1,1000
nn.wikipedia,MK,2022,1,1000
nn.wikipedia,UZ,2022,1,1000
nn.wikipedia,AM,2022,1,1000
nn.wikipedia,HN,2022,1,1000
nn.wikipedia,DO,2022,1,1000
nn.wikipedia,KZ,2022,1,1000
nn.wikipedia,KG,2022,1,1000
nn.wikipedia,NO,2022,2,465000
nn.wikipedia,IN,2022,2,162000
nn.wikipedia,US,2022,2,143000
nn.wikipedia,RU,2022,2,94000
nn.wikipedia,DE,2022,2,52000
nn.wikipedia,IR,2022,2,49000
nn.wikipedia,UZ,2022,2,41000
nn.wikipedia,FR,2022,2,29000
nn.wikipedia,PK,2022,2,28000
nn.wikipedia,CA,2022,2,27000
nn.wikipedia,KZ,2022,2,26000
nn.wikipedia,GB,2022,2,22000
nn.wikipedia,UA,2022,2,20000
nn.wikipedia,SG,2022,2,20000
nn.wikipedia,BY,2022,2,19000
nn.wikipedia,NL,2022,2,17000
nn.wikipedia,SE,2022,2,15000
nn.wikipedia,TR,2022,2,14000
nn.wikipedia,TJ,2022,2,10000
nn.wikipedia,FI,2022,2,9000
nn.wikipedia,DK,2022,2,8000
nn.wikipedia,--,2022,2,7000
nn.wikipedia,GE,2022,2,7000
nn.wikipedia,IL,2022,2,7000
nn.wikipedia,PL,2022,2,6000
nn.wikipedia,KG,2022,2,5000
nn.wikipedia,MN,2022,2,5000
nn.wikipedia,IT,2022,2,5000
nn.wikipedia,PH,2022,2,5000
nn.wikipedia,CZ,2022,2,5000
