project,iso2,year,month,pageviews_ceil
nso.wikipedia,US,2022,1,26000
nso.wikipedia,FR,2022,1,16000
nso.wikipedia,NL,2022,1,9000
nso.wikipedia,ZA,2022,1,6000
nso.wikipedia,IR,2022,1,5000
nso.wikipedia,SG,2022,1,5000
nso.wikipedia,CA,2022,1,5000
nso.wikipedia,DE,2022,1,4000
nso.wikipedia,RU,2022,1,2000
nso.wikipedia,PL,2022,1,2000
nso.wikipedia,FI,2022,1,1000
nso.wikipedia,GB,2022,1,1000
nso.wikipedia,JP,2022,1,1000
nso.wikipedia,HK,2022,1,1000
nso.wikipedia,ES,2022,1,1000
nso.wikipedia,--,2022,1,1000
nso.wikipedia,CN,2022,1,1000
nso.wikipedia,IT,2022,1,1000
nso.wikipedia,BR,2022,1,1000
nso.wikipedia,UA,2022,1,1000
nso.wikipedia,IN,2022,1,1000
nso.wikipedia,DK,2022,1,1000
nso.wikipedia,BE,2022,1,1000
nso.wikipedia,CZ,2022,1,1000
nso.wikipedia,PT,2022,1,1000
nso.wikipedia,ID,2022,1,1000
nso.wikipedia,KR,2022,1,1000
nso.wikipedia,AU,2022,1,1000
nso.wikipedia,TW,2022,1,1000
nso.wikipedia,CH,2022,1,1000
nso.wikipedia,VN,2022,1,1000
nso.wikipedia,IN,2022,2,143000
nso.wikipedia,RU,2022,2,69000
nso.wikipedia,UZ,2022,2,33000
nso.wikipedia,PK,2022,2,23000
nso.wikipedia,KZ,2022,2,22000
nso.wikipedia,US,2022,2,22000
nso.wikipedia,BY,2022,2,16000
nso.wikipedia,UA,2022,2,15000
nso.wikipedia,FR,2022,2,15000
nso.wikipedia,NL,2022,2,10000
nso.wikipedia,TJ,2022,2,9000
nso.wikipedia,ZA,2022,2,7000
nso.wikipedia,GE,2022,2,6000
nso.wikipedia,IR,2022,2,5000
nso.wikipedia,MN,2022,2,5000
nso.wikipedia,KG,2022,2,4000
nso.wikipedia,DE,2022,2,4000
nso.wikipedia,PH,2022,2,4000
nso.wikipedia,CA,2022,2,3000
nso.wikipedia,SG,2022,2,3000
nso.wikipedia,VN,2022,2,3000
nso.wikipedia,GB,2022,2,2000
nso.wikipedia,AF,2022,2,2000
nso.wikipedia,TW,2022,2,2000
nso.wikipedia,BR,2022,2,2000
nso.wikipedia,MD,2022,2,1000
nso.wikipedia,AZ,2022,2,1000
nso.wikipedia,ID,2022,2,1000
nso.wikipedia,PL,2022,2,1000
nso.wikipedia,TR,2022,2,1000
nso.wikipedia,AM,2022,2,1000
nso.wikipedia,EG,2022,2,1000
nso.wikipedia,MM,2022,2,1000
nso.wikipedia,ES,2022,2,1000
nso.wikipedia,FI,2022,2,1000
nso.wikipedia,AE,2022,2,1000
nso.wikipedia,LK,2022,2,1000
nso.wikipedia,IE,2022,2,1000
nso.wikipedia,--,2022,2,1000
nso.wikipedia,CN,2022,2,1000
nso.wikipedia,AU,2022,2,1000
nso.wikipedia,JP,2022,2,1000
nso.wikipedia,BH,2022,2,1000
nso.wikipedia,MY,2022,2,1000
nso.wikipedia,SA,2022,2,1000
nso.wikipedia,IT,2022,2,1000
nso.wikipedia,BD,2022,2,1000
nso.wikipedia,SC,2022,2,1000
nso.wikipedia,NO,2022,2,1000
nso.wikipedia,ET,2022,2,1000
nso.wikipedia,HK,2022,2,1000
nso.wikipedia,NG,2022,2,1000
nso.wikipedia,IL,2022,2,1000
nso.wikipedia,NE,2022,2,1000
nso.wikipedia,DK,2022,2,1000
nso.wikipedia,GR,2022,2,1000
nso.wikipedia,RW,2022,2,1000
nso.wikipedia,CY,2022,2,1000
nso.wikipedia,KW,2022,2,1000
nso.wikipedia,LV,2022,2,1000
nso.wikipedia,LY,2022,2,1000
nso.wikipedia,FM,2022,2,1000
nso.wikipedia,TM,2022,2,1000
nso.wikipedia,DZ,2022,2,1000
nso.wikipedia,BJ,2022,2,1000
nso.wikipedia,CH,2022,2,1000
nso.wikipedia,KE,2022,2,1000
nso.wikipedia,GU,2022,2,1000
nso.wikipedia,SE,2022,2,1000
nso.wikipedia,IN,2022,3,263000
nso.wikipedia,RU,2022,3,108000
nso.wikipedia,UZ,2022,3,73000
nso.wikipedia,PK,2022,3,46000
nso.wikipedia,KZ,2022,3,42000
nso.wikipedia,US,2022,3,22000
nso.wikipedia,BY,2022,3,21000
nso.wikipedia,TJ,2022,3,20000
nso.wikipedia,UA,2022,3,15000
nso.wikipedia,NL,2022,3,10000
nso.wikipedia,GE,2022,3,10000
nso.wikipedia,IR,2022,3,9000
nso.wikipedia,KG,2022,3,8000
nso.wikipedia,FR,2022,3,8000
nso.wikipedia,MN,2022,3,7000
nso.wikipedia,AF,2022,3,6000
nso.wikipedia,ZA,2022,3,6000
nso.wikipedia,CA,2022,3,5000
nso.wikipedia,DE,2022,3,5000
nso.wikipedia,PH,2022,3,5000
nso.wikipedia,VN,2022,3,4000
nso.wikipedia,TR,2022,3,3000
nso.wikipedia,ID,2022,3,3000
nso.wikipedia,SG,2022,3,2000
nso.wikipedia,AZ,2022,3,2000
nso.wikipedia,GB,2022,3,2000
nso.wikipedia,AT,2022,3,2000
nso.wikipedia,PL,2022,3,2000
nso.wikipedia,IE,2022,3,2000
nso.wikipedia,MD,2022,3,2000
nso.wikipedia,TM,2022,3,2000
nso.wikipedia,IQ,2022,3,1000
nso.wikipedia,MM,2022,3,1000
nso.wikipedia,BD,2022,3,1000
nso.wikipedia,ET,2022,3,1000
nso.wikipedia,AE,2022,3,1000
nso.wikipedia,NO,2022,3,1000
nso.wikipedia,MY,2022,3,1000
nso.wikipedia,SA,2022,3,1000
nso.wikipedia,HK,2022,3,1000
nso.wikipedia,NP,2022,3,1000
nso.wikipedia,BH,2022,3,1000
nso.wikipedia,JP,2022,3,1000
nso.wikipedia,IT,2022,3,1000
nso.wikipedia,LK,2022,3,1000
nso.wikipedia,TH,2022,3,1000
nso.wikipedia,IL,2022,3,1000
nso.wikipedia,CZ,2022,3,1000
nso.wikipedia,GR,2022,3,1000
nso.wikipedia,EG,2022,3,1000
nso.wikipedia,--,2022,3,1000
nso.wikipedia,TW,2022,3,1000
nso.wikipedia,AM,2022,3,1000
nso.wikipedia,NG,2022,3,1000
nso.wikipedia,LV,2022,3,1000
nso.wikipedia,MX,2022,3,1000
nso.wikipedia,BR,2022,3,1000
nso.wikipedia,CD,2022,3,1000
nso.wikipedia,CI,2022,3,1000
nso.wikipedia,MZ,2022,3,1000
nso.wikipedia,BT,2022,3,1000
