project,iso2,year,month,pageviews_ceil
nv.wikipedia,US,2022,1,27000
nv.wikipedia,TR,2022,1,17000
nv.wikipedia,FR,2022,1,14000
nv.wikipedia,CA,2022,1,9000
nv.wikipedia,NL,2022,1,8000
nv.wikipedia,SG,2022,1,6000
nv.wikipedia,DE,2022,1,4000
nv.wikipedia,RU,2022,1,3000
nv.wikipedia,PL,2022,1,2000
nv.wikipedia,GB,2022,1,1000
nv.wikipedia,JP,2022,1,1000
nv.wikipedia,FI,2022,1,1000
nv.wikipedia,IR,2022,1,1000
nv.wikipedia,HK,2022,1,1000
nv.wikipedia,BY,2022,1,1000
nv.wikipedia,AU,2022,1,1000
nv.wikipedia,IT,2022,1,1000
nv.wikipedia,BR,2022,1,1000
nv.wikipedia,TH,2022,1,1000
nv.wikipedia,--,2022,1,1000
nv.wikipedia,ES,2022,1,1000
nv.wikipedia,KR,2022,1,1000
nv.wikipedia,IN,2022,1,1000
nv.wikipedia,LV,2022,1,1000
nv.wikipedia,SE,2022,1,1000
nv.wikipedia,DK,2022,1,1000
nv.wikipedia,UA,2022,1,1000
nv.wikipedia,CN,2022,1,1000
nv.wikipedia,CH,2022,1,1000
nv.wikipedia,CZ,2022,1,1000
nv.wikipedia,SC,2022,1,1000
nv.wikipedia,TW,2022,1,1000
nv.wikipedia,VN,2022,1,1000
nv.wikipedia,AT,2022,1,1000
nv.wikipedia,ID,2022,1,1000
nv.wikipedia,BE,2022,1,1000
nv.wikipedia,IL,2022,1,1000
nv.wikipedia,PE,2022,1,1000
nv.wikipedia,PT,2022,1,1000
nv.wikipedia,EG,2022,1,1000
nv.wikipedia,US,2022,2,30000
nv.wikipedia,TR,2022,2,14000
nv.wikipedia,FR,2022,2,12000
nv.wikipedia,NL,2022,2,9000
nv.wikipedia,CA,2022,2,6000
nv.wikipedia,RU,2022,2,4000
nv.wikipedia,DE,2022,2,3000
nv.wikipedia,SG,2022,2,3000
nv.wikipedia,BR,2022,2,2000
nv.wikipedia,GB,2022,2,2000
nv.wikipedia,IR,2022,2,2000
nv.wikipedia,PL,2022,2,1000
nv.wikipedia,UA,2022,2,1000
nv.wikipedia,IN,2022,2,1000
nv.wikipedia,--,2022,2,1000
nv.wikipedia,LV,2022,2,1000
nv.wikipedia,BY,2022,2,1000
nv.wikipedia,HK,2022,2,1000
nv.wikipedia,IT,2022,2,1000
nv.wikipedia,AU,2022,2,1000
nv.wikipedia,FI,2022,2,1000
nv.wikipedia,JP,2022,2,1000
nv.wikipedia,ID,2022,2,1000
nv.wikipedia,ES,2022,2,1000
nv.wikipedia,VN,2022,2,1000
nv.wikipedia,SE,2022,2,1000
nv.wikipedia,CN,2022,2,1000
nv.wikipedia,DK,2022,2,1000
nv.wikipedia,GR,2022,2,1000
nv.wikipedia,CH,2022,2,1000
nv.wikipedia,SC,2022,2,1000
nv.wikipedia,KR,2022,2,1000
nv.wikipedia,UZ,2022,2,1000
nv.wikipedia,IL,2022,2,1000
nv.wikipedia,CZ,2022,2,1000
nv.wikipedia,MX,2022,2,1000
nv.wikipedia,AT,2022,2,1000
nv.wikipedia,MA,2022,2,1000
nv.wikipedia,ZA,2022,2,1000
nv.wikipedia,US,2022,3,25000
nv.wikipedia,CA,2022,3,9000
nv.wikipedia,FR,2022,3,8000
nv.wikipedia,NL,2022,3,6000
nv.wikipedia,AU,2022,3,5000
nv.wikipedia,DE,2022,3,5000
nv.wikipedia,RU,2022,3,5000
nv.wikipedia,TR,2022,3,3000
nv.wikipedia,SG,2022,3,2000
nv.wikipedia,GB,2022,3,2000
