project,iso2,year,month,pageviews_ceil
olo.wikipedia,US,2022,1,26000
olo.wikipedia,DE,2022,1,25000
olo.wikipedia,FR,2022,1,17000
olo.wikipedia,--,2022,1,11000
olo.wikipedia,NL,2022,1,7000
olo.wikipedia,RU,2022,1,6000
olo.wikipedia,FI,2022,1,5000
olo.wikipedia,IR,2022,1,4000
olo.wikipedia,SG,2022,1,4000
olo.wikipedia,CA,2022,1,3000
olo.wikipedia,NO,2022,1,2000
olo.wikipedia,PL,2022,1,2000
olo.wikipedia,DK,2022,1,2000
olo.wikipedia,GB,2022,1,2000
olo.wikipedia,LU,2022,1,1000
olo.wikipedia,HK,2022,1,1000
olo.wikipedia,JP,2022,1,1000
olo.wikipedia,CN,2022,1,1000
olo.wikipedia,SE,2022,1,1000
olo.wikipedia,RO,2022,1,1000
olo.wikipedia,IT,2022,1,1000
olo.wikipedia,CH,2022,1,1000
olo.wikipedia,ES,2022,1,1000
olo.wikipedia,KR,2022,1,1000
olo.wikipedia,UA,2022,1,1000
olo.wikipedia,BR,2022,1,1000
olo.wikipedia,TW,2022,1,1000
olo.wikipedia,CZ,2022,1,1000
olo.wikipedia,PT,2022,1,1000
olo.wikipedia,EE,2022,1,1000
olo.wikipedia,IN,2022,1,1000
olo.wikipedia,AT,2022,1,1000
olo.wikipedia,VN,2022,1,1000
olo.wikipedia,ID,2022,1,1000
olo.wikipedia,TR,2022,1,1000
olo.wikipedia,AU,2022,1,1000
olo.wikipedia,BE,2022,1,1000
olo.wikipedia,IN,2022,2,113000
olo.wikipedia,RU,2022,2,55000
olo.wikipedia,DE,2022,2,25000
olo.wikipedia,UZ,2022,2,24000
olo.wikipedia,US,2022,2,24000
olo.wikipedia,PK,2022,2,18000
olo.wikipedia,KZ,2022,2,17000
olo.wikipedia,FR,2022,2,16000
olo.wikipedia,UA,2022,2,12000
olo.wikipedia,BY,2022,2,12000
olo.wikipedia,--,2022,2,12000
olo.wikipedia,NL,2022,2,7000
olo.wikipedia,TJ,2022,2,7000
olo.wikipedia,AT,2022,2,6000
olo.wikipedia,FI,2022,2,5000
olo.wikipedia,GE,2022,2,5000
olo.wikipedia,IR,2022,2,4000
olo.wikipedia,LU,2022,2,4000
olo.wikipedia,MN,2022,2,4000
olo.wikipedia,KG,2022,2,4000
olo.wikipedia,PH,2022,2,3000
olo.wikipedia,SG,2022,2,3000
olo.wikipedia,GB,2022,2,3000
olo.wikipedia,CA,2022,2,3000
olo.wikipedia,BR,2022,2,2000
olo.wikipedia,VN,2022,2,2000
olo.wikipedia,TW,2022,2,2000
olo.wikipedia,TR,2022,2,2000
olo.wikipedia,AF,2022,2,2000
olo.wikipedia,NO,2022,2,2000
olo.wikipedia,CH,2022,2,2000
olo.wikipedia,PL,2022,2,1000
olo.wikipedia,MD,2022,2,1000
olo.wikipedia,AZ,2022,2,1000
olo.wikipedia,ID,2022,2,1000
olo.wikipedia,EG,2022,2,1000
olo.wikipedia,SE,2022,2,1000
olo.wikipedia,MM,2022,2,1000
olo.wikipedia,ZA,2022,2,1000
olo.wikipedia,AU,2022,2,1000
olo.wikipedia,RO,2022,2,1000
olo.wikipedia,CZ,2022,2,1000
olo.wikipedia,AE,2022,2,1000
olo.wikipedia,IT,2022,2,1000
olo.wikipedia,AM,2022,2,1000
olo.wikipedia,ES,2022,2,1000
olo.wikipedia,LK,2022,2,1000
olo.wikipedia,JP,2022,2,1000
olo.wikipedia,DK,2022,2,1000
olo.wikipedia,SC,2022,2,1000
