project,iso2,year,month,pageviews_ceil
pa.wikipedia,IN,2022,1,413000
pa.wikipedia,US,2022,1,69000
pa.wikipedia,CA,2022,1,22000
pa.wikipedia,NL,2022,1,22000
pa.wikipedia,DE,2022,1,18000
pa.wikipedia,SG,2022,1,15000
pa.wikipedia,FR,2022,1,14000
pa.wikipedia,IR,2022,1,12000
pa.wikipedia,GB,2022,1,7000
pa.wikipedia,RU,2022,1,4000
pa.wikipedia,FI,2022,1,4000
pa.wikipedia,AU,2022,1,3000
pa.wikipedia,PL,2022,1,3000
pa.wikipedia,JP,2022,1,2000
pa.wikipedia,IT,2022,1,2000
pa.wikipedia,--,2022,1,2000
pa.wikipedia,AE,2022,1,2000
pa.wikipedia,HK,2022,1,2000
pa.wikipedia,BR,2022,1,1000
pa.wikipedia,KR,2022,1,1000
pa.wikipedia,ES,2022,1,1000
pa.wikipedia,PK,2022,1,1000
pa.wikipedia,ID,2022,1,1000
pa.wikipedia,TW,2022,1,1000
pa.wikipedia,VN,2022,1,1000
pa.wikipedia,CN,2022,1,1000
pa.wikipedia,BE,2022,1,1000
pa.wikipedia,DK,2022,1,1000
pa.wikipedia,MY,2022,1,1000
pa.wikipedia,PT,2022,1,1000
pa.wikipedia,NZ,2022,1,1000
pa.wikipedia,QA,2022,1,1000
pa.wikipedia,CH,2022,1,1000
pa.wikipedia,UA,2022,1,1000
pa.wikipedia,SE,2022,1,1000
pa.wikipedia,CO,2022,1,1000
pa.wikipedia,RS,2022,1,1000
pa.wikipedia,AT,2022,1,1000
pa.wikipedia,PH,2022,1,1000
pa.wikipedia,SA,2022,1,1000
pa.wikipedia,BD,2022,1,1000
pa.wikipedia,NO,2022,1,1000
pa.wikipedia,KW,2022,1,1000
pa.wikipedia,TH,2022,1,1000
pa.wikipedia,TR,2022,1,1000
pa.wikipedia,CZ,2022,1,1000
pa.wikipedia,GR,2022,1,1000
pa.wikipedia,LV,2022,1,1000
pa.wikipedia,GH,2022,1,1000
pa.wikipedia,DO,2022,1,1000
pa.wikipedia,BH,2022,1,1000
pa.wikipedia,SC,2022,1,1000
pa.wikipedia,IL,2022,1,1000
pa.wikipedia,CY,2022,1,1000
pa.wikipedia,BG,2022,1,1000
pa.wikipedia,RO,2022,1,1000
pa.wikipedia,EG,2022,1,1000
pa.wikipedia,OM,2022,1,1000
pa.wikipedia,ZA,2022,1,1000
pa.wikipedia,IN,2022,2,613000
pa.wikipedia,US,2022,2,118000
pa.wikipedia,NL,2022,2,23000
pa.wikipedia,RU,2022,2,23000
pa.wikipedia,FR,2022,2,17000
pa.wikipedia,CA,2022,2,17000
pa.wikipedia,DE,2022,2,14000
pa.wikipedia,SG,2022,2,13000
pa.wikipedia,IR,2022,2,12000
pa.wikipedia,GB,2022,2,10000
pa.wikipedia,UZ,2022,2,9000
pa.wikipedia,PK,2022,2,8000
pa.wikipedia,KZ,2022,2,6000
