project,date,pageviews
pap.wikipedia,2022-01-01,2646
pap.wikipedia,2022-01-02,2590
pap.wikipedia,2022-01-03,2884
pap.wikipedia,2022-01-04,2967
pap.wikipedia,2022-01-05,3043
pap.wikipedia,2022-01-06,2866
pap.wikipedia,2022-01-07,2469
pap.wikipedia,2022-01-08,2266
pap.wikipedia,2022-01-09,2682
pap.wikipedia,2022-01-10,2502
pap.wikipedia,2022-01-11,2264
pap.wikipedia,2022-01-12,2526
pap.wikipedia,2022-01-13,3131
pap.wikipedia,2022-01-14,3480
pap.wikipedia,2022-01-15,3009
pap.wikipedia,2022-01-16,2661
pap.wikipedia,2022-01-17,3260
pap.wikipedia,2022-01-18,2824
pap.wikipedia,2022-01-19,3209
pap.wikipedia,2022-01-20,3230
pap.wikipedia,2022-01-21,2841
pap.wikipedia,2022-01-22,2931
pap.wikipedia,2022-01-23,2643
pap.wikipedia,2022-01-24,2692
pap.wikipedia,2022-01-25,2891
pap.wikipedia,2022-01-26,2723
pap.wikipedia,2022-01-27,2778
pap.wikipedia,2022-01-28,3160
pap.wikipedia,2022-01-29,3016
pap.wikipedia,2022-01-30,2996
pap.wikipedia,2022-01-31,2736
pap.wikipedia,2022-02-01,3027
pap.wikipedia,2022-02-02,2312
pap.wikipedia,2022-02-03,2968
pap.wikipedia,2022-02-04,2582
pap.wikipedia,2022-02-05,2227
pap.wikipedia,2022-02-06,2606
pap.wikipedia,2022-02-07,2679
pap.wikipedia,2022-02-08,3289
pap.wikipedia,2022-02-09,2787
pap.wikipedia,2022-02-10,2747
pap.wikipedia,2022-02-11,2827
pap.wikipedia,2022-02-12,3069
pap.wikipedia,2022-02-13,2899
pap.wikipedia,2022-02-14,2734
pap.wikipedia,2022-02-15,3306
pap.wikipedia,2022-02-16,2844
pap.wikipedia,2022-02-17,4335
pap.wikipedia,2022-02-18,6260
pap.wikipedia,2022-02-19,5896
pap.wikipedia,2022-02-20,6859
pap.wikipedia,2022-02-21,4834
pap.wikipedia,2022-02-22,5915
pap.wikipedia,2022-02-23,25713
pap.wikipedia,2022-02-24,47015
pap.wikipedia,2022-02-25,46212
pap.wikipedia,2022-02-26,36564
pap.wikipedia,2022-02-27,37107
pap.wikipedia,2022-02-28,48847
pap.wikipedia,2022-03-01,14386
pap.wikipedia,2022-03-02,33612
pap.wikipedia,2022-03-03,27107
pap.wikipedia,2022-03-04,27800
pap.wikipedia,2022-03-05,22939
pap.wikipedia,2022-03-06,15222
pap.wikipedia,2022-03-07,22328
pap.wikipedia,2022-03-08,20873
pap.wikipedia,2022-03-09,19733
pap.wikipedia,2022-03-10,20176
pap.wikipedia,2022-03-11,19255
pap.wikipedia,2022-03-12,15654
pap.wikipedia,2022-03-13,15117
pap.wikipedia,2022-03-14,19285
pap.wikipedia,2022-03-15,16877
pap.wikipedia,2022-03-16,16740
pap.wikipedia,2022-03-17,13395
pap.wikipedia,2022-03-18,10319
pap.wikipedia,2022-03-19,9807
pap.wikipedia,2022-03-20,7469
pap.wikipedia,2022-03-21,9555
pap.wikipedia,2022-03-22,9578
pap.wikipedia,2022-03-23,10447
pap.wikipedia,2022-03-24,11435
pap.wikipedia,2022-03-25,10683
pap.wikipedia,2022-03-26,8313
pap.wikipedia,2022-03-27,5706
pap.wikipedia,2022-03-28,8586
pap.wikipedia,2022-03-29,7501
pap.wikipedia,2022-03-30,8074
pap.wikipedia,2022-03-31,9153
pap.wikipedia,2022-04-01,6993
pap.wikipedia,2022-04-02,5675
pap.wikipedia,2022-04-03,5779
pap.wikipedia,2022-04-04,7602
pap.wikipedia,2022-04-05,6622
pap.wikipedia,2022-04-06,6183
pap.wikipedia,2022-04-07,7239
pap.wikipedia,2022-04-08,12267
pap.wikipedia,2022-04-09,6750
pap.wikipedia,2022-04-10,4911
pap.wikipedia,2022-04-11,13805
pap.wikipedia,2022-04-12,13726
pap.wikipedia,2022-04-13,13093
pap.wikipedia,2022-04-14,11707
pap.wikipedia,2022-04-15,11476
pap.wikipedia,2022-04-16,10164
pap.wikipedia,2022-04-17,8404
pap.wikipedia,2022-04-18,11100
pap.wikipedia,2022-04-19,14507
pap.wikipedia,2022-04-20,10163
pap.wikipedia,2022-04-21,8292
pap.wikipedia,2022-04-22,8550
pap.wikipedia,2022-04-23,6832
pap.wikipedia,2022-04-24,5322
pap.wikipedia,2022-04-25,7282
pap.wikipedia,2022-04-26,8537
pap.wikipedia,2022-04-27,6761
pap.wikipedia,2022-04-28,7221
pap.wikipedia,2022-04-29,6836
pap.wikipedia,2022-04-30,5127
pap.wikipedia,2022-05-01,4093
pap.wikipedia,2022-05-02,4312
pap.wikipedia,2022-05-03,7216
pap.wikipedia,2022-05-04,10189
pap.wikipedia,2022-05-05,9395
pap.wikipedia,2022-05-06,8241
pap.wikipedia,2022-05-07,6687
pap.wikipedia,2022-05-08,6708
pap.wikipedia,2022-05-09,8860
pap.wikipedia,2022-05-10,9581
pap.wikipedia,2022-05-11,9919
pap.wikipedia,2022-05-12,9080
pap.wikipedia,2022-05-13,7280
pap.wikipedia,2022-05-14,6397
pap.wikipedia,2022-05-15,5331
pap.wikipedia,2022-05-16,8237
pap.wikipedia,2022-05-17,7999
pap.wikipedia,2022-05-18,7737
pap.wikipedia,2022-05-19,6634
pap.wikipedia,2022-05-20,5778
pap.wikipedia,2022-05-21,5603
pap.wikipedia,2022-05-22,5684
pap.wikipedia,2022-05-23,8855
pap.wikipedia,2022-05-24,7718
pap.wikipedia,2022-05-25,7175
pap.wikipedia,2022-05-26,6866
pap.wikipedia,2022-05-27,7220
pap.wikipedia,2022-05-28,5936
pap.wikipedia,2022-05-29,5569
pap.wikipedia,2022-05-30,8161
pap.wikipedia,2022-05-31,8092
pap.wikipedia,2022-06-01,7303
pap.wikipedia,2022-06-02,8512
pap.wikipedia,2022-06-03,7920
pap.wikipedia,2022-06-04,6979
pap.wikipedia,2022-06-05,5785
pap.wikipedia,2022-06-06,8909
pap.wikipedia,2022-06-07,9404
pap.wikipedia,2022-06-08,10098
pap.wikipedia,2022-06-09,7664
pap.wikipedia,2022-06-10,8536
pap.wikipedia,2022-06-11,8381
pap.wikipedia,2022-06-12,8130
pap.wikipedia,2022-06-13,11568
pap.wikipedia,2022-06-14,10101
pap.wikipedia,2022-06-15,9475
pap.wikipedia,2022-06-16,8554
pap.wikipedia,2022-06-17,8864
pap.wikipedia,2022-06-18,7885
pap.wikipedia,2022-06-19,8174
pap.wikipedia,2022-06-20,7696
pap.wikipedia,2022-06-21,7363
pap.wikipedia,2022-06-22,8045
pap.wikipedia,2022-06-23,7954
pap.wikipedia,2022-06-24,7680
pap.wikipedia,2022-06-25,7367
pap.wikipedia,2022-06-26,6325
pap.wikipedia,2022-06-27,7219
pap.wikipedia,2022-06-28,6712
pap.wikipedia,2022-06-29,6575
pap.wikipedia,2022-06-30,7804
pap.wikipedia,2022-07-01,7564
pap.wikipedia,2022-07-02,5672
pap.wikipedia,2022-07-03,5380
pap.wikipedia,2022-07-04,6996
pap.wikipedia,2022-07-05,6610
pap.wikipedia,2022-07-06,7017
pap.wikipedia,2022-07-07,6935
pap.wikipedia,2022-07-08,5875
pap.wikipedia,2022-07-09,5760
pap.wikipedia,2022-07-10,5096
pap.wikipedia,2022-07-11,7528
pap.wikipedia,2022-07-12,6764
pap.wikipedia,2022-07-13,5143
pap.wikipedia,2022-07-14,6445
pap.wikipedia,2022-07-15,7923
pap.wikipedia,2022-07-16,7148
pap.wikipedia,2022-07-17,6464
pap.wikipedia,2022-07-18,5287
pap.wikipedia,2022-07-19,3359
pap.wikipedia,2022-07-20,3679
pap.wikipedia,2022-07-21,4667
pap.wikipedia,2022-07-22,3666
pap.wikipedia,2022-07-23,3588
pap.wikipedia,2022-07-24,3091
pap.wikipedia,2022-07-25,4464
pap.wikipedia,2022-07-26,2813
pap.wikipedia,2022-07-27,3144
pap.wikipedia,2022-07-28,2746
pap.wikipedia,2022-07-29,3324
pap.wikipedia,2022-07-30,3235
pap.wikipedia,2022-07-31,2442
pap.wikipedia,2022-08-01,3434
pap.wikipedia,2022-08-02,3538
pap.wikipedia,2022-08-03,3452
pap.wikipedia,2022-08-04,2690
pap.wikipedia,2022-08-05,3279
pap.wikipedia,2022-08-06,2446
pap.wikipedia,2022-08-07,2440
pap.wikipedia,2022-08-08,3008
pap.wikipedia,2022-08-09,2774
pap.wikipedia,2022-08-10,5189
pap.wikipedia,2022-08-11,6898
pap.wikipedia,2022-08-12,7332
pap.wikipedia,2022-08-13,4366
pap.wikipedia,2022-08-14,2952
pap.wikipedia,2022-08-15,3329
pap.wikipedia,2022-08-16,3988
