project,iso2,year,month,pageviews_ceil
pms.wikipedia,US,2022,1,37000
pms.wikipedia,NL,2022,1,21000
pms.wikipedia,FR,2022,1,19000
pms.wikipedia,CA,2022,1,12000
pms.wikipedia,DE,2022,1,12000
pms.wikipedia,IT,2022,1,9000
pms.wikipedia,IR,2022,1,7000
pms.wikipedia,SG,2022,1,6000
pms.wikipedia,RU,2022,1,4000
pms.wikipedia,FI,2022,1,3000
pms.wikipedia,PL,2022,1,2000
pms.wikipedia,--,2022,1,2000
pms.wikipedia,GB,2022,1,2000
pms.wikipedia,JP,2022,1,1000
pms.wikipedia,IE,2022,1,1000
pms.wikipedia,HK,2022,1,1000
pms.wikipedia,ES,2022,1,1000
pms.wikipedia,CN,2022,1,1000
pms.wikipedia,UA,2022,1,1000
pms.wikipedia,DK,2022,1,1000
pms.wikipedia,BR,2022,1,1000
pms.wikipedia,BE,2022,1,1000
pms.wikipedia,PT,2022,1,1000
pms.wikipedia,KR,2022,1,1000
pms.wikipedia,IN,2022,1,1000
pms.wikipedia,VN,2022,1,1000
pms.wikipedia,SE,2022,1,1000
pms.wikipedia,ID,2022,1,1000
pms.wikipedia,TW,2022,1,1000
pms.wikipedia,AT,2022,1,1000
pms.wikipedia,CH,2022,1,1000
pms.wikipedia,CZ,2022,1,1000
pms.wikipedia,LV,2022,1,1000
pms.wikipedia,AU,2022,1,1000
pms.wikipedia,RO,2022,1,1000
pms.wikipedia,TR,2022,1,1000
pms.wikipedia,SC,2022,1,1000
pms.wikipedia,AR,2022,1,1000
pms.wikipedia,MY,2022,1,1000
pms.wikipedia,BG,2022,1,1000
pms.wikipedia,CO,2022,1,1000
pms.wikipedia,IN,2022,2,68000
pms.wikipedia,US,2022,2,40000
pms.wikipedia,RU,2022,2,35000
pms.wikipedia,NL,2022,2,20000
pms.wikipedia,FR,2022,2,18000
pms.wikipedia,UZ,2022,2,14000
pms.wikipedia,PK,2022,2,11000
pms.wikipedia,KZ,2022,2,10000
pms.wikipedia,DE,2022,2,9000
pms.wikipedia,IR,2022,2,9000
pms.wikipedia,UA,2022,2,8000
pms.wikipedia,IT,2022,2,8000
pms.wikipedia,CA,2022,2,7000
pms.wikipedia,BY,2022,2,7000
pms.wikipedia,SG,2022,2,6000
pms.wikipedia,TJ,2022,2,5000
pms.wikipedia,GB,2022,2,4000
