project,iso2,year,month,pageviews_ceil
ps.wikipedia,US,2022,1,61000
ps.wikipedia,AF,2022,1,34000
ps.wikipedia,FR,2022,1,18000
ps.wikipedia,DE,2022,1,16000
ps.wikipedia,IR,2022,1,15000
ps.wikipedia,SG,2022,1,15000
ps.wikipedia,NL,2022,1,15000
ps.wikipedia,CA,2022,1,9000
ps.wikipedia,PK,2022,1,8000
ps.wikipedia,GB,2022,1,5000
ps.wikipedia,RU,2022,1,4000
ps.wikipedia,TR,2022,1,4000
ps.wikipedia,PL,2022,1,3000
ps.wikipedia,JP,2022,1,2000
ps.wikipedia,FI,2022,1,2000
ps.wikipedia,BE,2022,1,2000
ps.wikipedia,IN,2022,1,2000
ps.wikipedia,HK,2022,1,2000
ps.wikipedia,AE,2022,1,2000
ps.wikipedia,--,2022,1,2000
ps.wikipedia,NO,2022,1,2000
ps.wikipedia,BR,2022,1,1000
ps.wikipedia,IT,2022,1,1000
ps.wikipedia,SE,2022,1,1000
ps.wikipedia,SA,2022,1,1000
ps.wikipedia,DK,2022,1,1000
ps.wikipedia,TW,2022,1,1000
ps.wikipedia,RS,2022,1,1000
ps.wikipedia,CN,2022,1,1000
ps.wikipedia,KR,2022,1,1000
ps.wikipedia,ID,2022,1,1000
ps.wikipedia,UA,2022,1,1000
ps.wikipedia,CH,2022,1,1000
ps.wikipedia,ES,2022,1,1000
ps.wikipedia,AU,2022,1,1000
ps.wikipedia,AT,2022,1,1000
ps.wikipedia,VN,2022,1,1000
ps.wikipedia,EG,2022,1,1000
ps.wikipedia,CZ,2022,1,1000
ps.wikipedia,NG,2022,1,1000
ps.wikipedia,PT,2022,1,1000
ps.wikipedia,IE,2022,1,1000
ps.wikipedia,QA,2022,1,1000
ps.wikipedia,IL,2022,1,1000
ps.wikipedia,RO,2022,1,1000
ps.wikipedia,GR,2022,1,1000
ps.wikipedia,TH,2022,1,1000
ps.wikipedia,BD,2022,1,1000
ps.wikipedia,MY,2022,1,1000
ps.wikipedia,LV,2022,1,1000
ps.wikipedia,BG,2022,1,1000
ps.wikipedia,IQ,2022,1,1000
ps.wikipedia,SC,2022,1,1000
ps.wikipedia,SD,2022,1,1000
ps.wikipedia,MA,2022,1,1000
ps.wikipedia,US,2022,2,63000
ps.wikipedia,AF,2022,2,37000
ps.wikipedia,FR,2022,2,18000
ps.wikipedia,NL,2022,2,17000
ps.wikipedia,DE,2022,2,11000
ps.wikipedia,SG,2022,2,11000
ps.wikipedia,IR,2022,2,11000
ps.wikipedia,PK,2022,2,8000
ps.wikipedia,CA,2022,2,6000
ps.wikipedia,GB,2022,2,6000
ps.wikipedia,TR,2022,2,5000
ps.wikipedia,IN,2022,2,5000
ps.wikipedia,RU,2022,2,5000
ps.wikipedia,BR,2022,2,3000
ps.wikipedia,AE,2022,2,2000
ps.wikipedia,--,2022,2,2000
ps.wikipedia,PL,2022,2,2000
ps.wikipedia,UA,2022,2,2000
ps.wikipedia,ID,2022,2,2000
ps.wikipedia,IT,2022,2,2000
ps.wikipedia,JP,2022,2,1000
ps.wikipedia,HK,2022,2,1000
ps.wikipedia,DK,2022,2,1000
ps.wikipedia,SE,2022,2,1000
ps.wikipedia,SA,2022,2,1000
ps.wikipedia,FI,2022,2,1000
ps.wikipedia,ES,2022,2,1000
ps.wikipedia,AU,2022,2,1000
ps.wikipedia,BE,2022,2,1000
ps.wikipedia,VN,2022,2,1000
ps.wikipedia,CN,2022,2,1000
ps.wikipedia,NO,2022,2,1000
ps.wikipedia,GR,2022,2,1000
ps.wikipedia,CH,2022,2,1000
ps.wikipedia,IE,2022,2,1000
ps.wikipedia,UZ,2022,2,1000
ps.wikipedia,KR,2022,2,1000
ps.wikipedia,EG,2022,2,1000
ps.wikipedia,IQ,2022,2,1000
ps.wikipedia,KZ,2022,2,1000
ps.wikipedia,AT,2022,2,1000
ps.wikipedia,MA,2022,2,1000
ps.wikipedia,CZ,2022,2,1000
ps.wikipedia,PT,2022,2,1000
ps.wikipedia,MY,2022,2,1000
ps.wikipedia,RO,2022,2,1000
ps.wikipedia,BY,2022,2,1000
ps.wikipedia,LV,2022,2,1000
ps.wikipedia,TW,2022,2,1000
ps.wikipedia,QA,2022,2,1000
ps.wikipedia,IL,2022,2,1000
ps.wikipedia,BD,2022,2,1000
ps.wikipedia,SC,2022,2,1000
ps.wikipedia,SD,2022,2,1000
ps.wikipedia,TJ,2022,2,1000
ps.wikipedia,SI,2022,2,1000
