project,date,pageviews
pt.wikipedia,2022-01-01,6715888
pt.wikipedia,2022-01-02,8345016
pt.wikipedia,2022-01-03,8103103
pt.wikipedia,2022-01-04,8120838
pt.wikipedia,2022-01-05,8087002
pt.wikipedia,2022-01-06,8070653
pt.wikipedia,2022-01-07,7916140
pt.wikipedia,2022-01-08,7973234
pt.wikipedia,2022-01-09,8884863
pt.wikipedia,2022-01-10,8543186
pt.wikipedia,2022-01-11,8089552
pt.wikipedia,2022-01-12,7937656
pt.wikipedia,2022-01-13,7852898
pt.wikipedia,2022-01-14,7534906
pt.wikipedia,2022-01-15,7600417
pt.wikipedia,2022-01-16,8261985
pt.wikipedia,2022-01-17,8196874
pt.wikipedia,2022-01-18,7832965
pt.wikipedia,2022-01-19,7719913
pt.wikipedia,2022-01-20,7722777
pt.wikipedia,2022-01-21,7429396
pt.wikipedia,2022-01-22,7157055
pt.wikipedia,2022-01-23,7933724
pt.wikipedia,2022-01-24,7914994
pt.wikipedia,2022-01-25,7887531
pt.wikipedia,2022-01-26,7987656
pt.wikipedia,2022-01-27,8456741
pt.wikipedia,2022-01-28,8251361
pt.wikipedia,2022-01-29,8436416
pt.wikipedia,2022-01-30,9624055
pt.wikipedia,2022-01-31,9071364
pt.wikipedia,2022-02-01,8467069
pt.wikipedia,2022-02-02,8484399
pt.wikipedia,2022-02-03,8229256
pt.wikipedia,2022-02-04,7882247
pt.wikipedia,2022-02-05,8004371
pt.wikipedia,2022-02-06,9116443
pt.wikipedia,2022-02-07,8627960
pt.wikipedia,2022-02-08,8619332
pt.wikipedia,2022-02-09,8546110
pt.wikipedia,2022-02-10,8179273
pt.wikipedia,2022-02-11,7861878
pt.wikipedia,2022-02-12,8202790
pt.wikipedia,2022-02-13,9163865
pt.wikipedia,2022-02-14,8878578
pt.wikipedia,2022-02-15,8571563
pt.wikipedia,2022-02-16,8548206
pt.wikipedia,2022-02-17,8500008
pt.wikipedia,2022-02-18,8358632
pt.wikipedia,2022-02-19,8309627
pt.wikipedia,2022-02-20,9015857
pt.wikipedia,2022-02-21,9034073
pt.wikipedia,2022-02-22,9424418
pt.wikipedia,2022-02-23,9127694
pt.wikipedia,2022-02-24,10817498
pt.wikipedia,2022-02-25,9535353
pt.wikipedia,2022-02-26,8638486
pt.wikipedia,2022-02-27,8910197
pt.wikipedia,2022-02-28,9013930
pt.wikipedia,2022-03-01,9337816
pt.wikipedia,2022-03-02,9337498
pt.wikipedia,2022-03-03,9021963
pt.wikipedia,2022-03-04,8341277
pt.wikipedia,2022-03-05,7718401
pt.wikipedia,2022-03-06,8535432
pt.wikipedia,2022-03-07,8359565
pt.wikipedia,2022-03-08,8165523
pt.wikipedia,2022-03-09,8199038
pt.wikipedia,2022-03-10,8184361
pt.wikipedia,2022-03-11,7677264
pt.wikipedia,2022-03-12,7560878
pt.wikipedia,2022-03-13,8871853
pt.wikipedia,2022-03-14,8872629
pt.wikipedia,2022-03-15,8563486
pt.wikipedia,2022-03-16,8583059
pt.wikipedia,2022-03-17,8388667
pt.wikipedia,2022-03-18,7711366
pt.wikipedia,2022-03-19,7519597
pt.wikipedia,2022-03-20,9120496
pt.wikipedia,2022-03-21,8850302
pt.wikipedia,2022-03-22,8611567
pt.wikipedia,2022-03-23,8625112
pt.wikipedia,2022-03-24,8642471
pt.wikipedia,2022-03-25,8160246
pt.wikipedia,2022-03-26,7777865
pt.wikipedia,2022-03-27,8977101
pt.wikipedia,2022-03-28,9501983
pt.wikipedia,2022-03-29,9128992
pt.wikipedia,2022-03-30,8932166
pt.wikipedia,2022-03-31,8490245
pt.wikipedia,2022-04-01,7887878
pt.wikipedia,2022-04-02,7509339
pt.wikipedia,2022-04-03,8738655
pt.wikipedia,2022-04-04,8575782
pt.wikipedia,2022-04-05,8343421
pt.wikipedia,2022-04-06,8225944
pt.wikipedia,2022-04-07,8082567
pt.wikipedia,2022-04-08,7500582
pt.wikipedia,2022-04-09,7109535
pt.wikipedia,2022-04-10,8254146
pt.wikipedia,2022-04-11,8259301
pt.wikipedia,2022-04-12,8105133
pt.wikipedia,2022-04-13,7764495
pt.wikipedia,2022-04-14,7491526
pt.wikipedia,2022-04-15,7729981
pt.wikipedia,2022-04-16,7489794
pt.wikipedia,2022-04-17,7983242
pt.wikipedia,2022-04-18,8303384
pt.wikipedia,2022-04-19,8347763
pt.wikipedia,2022-04-20,7922653
pt.wikipedia,2022-04-21,7918920
pt.wikipedia,2022-04-22,7888871
