project,date,pageviews
ro.wikipedia,2022-01-01,1280286
ro.wikipedia,2022-01-02,1514566
ro.wikipedia,2022-01-03,1601574
ro.wikipedia,2022-01-04,1662463
ro.wikipedia,2022-01-05,1728979
ro.wikipedia,2022-01-06,1838650
ro.wikipedia,2022-01-07,1488383
ro.wikipedia,2022-01-08,1390226
ro.wikipedia,2022-01-09,1721427
ro.wikipedia,2022-01-10,1794718
ro.wikipedia,2022-01-11,1686647
ro.wikipedia,2022-01-12,1528726
ro.wikipedia,2022-01-13,1345216
ro.wikipedia,2022-01-14,1214183
ro.wikipedia,2022-01-15,1323593
ro.wikipedia,2022-01-16,1435878
ro.wikipedia,2022-01-17,1539418
ro.wikipedia,2022-01-18,1514691
ro.wikipedia,2022-01-19,1501876
ro.wikipedia,2022-01-20,1541529
ro.wikipedia,2022-01-21,1421493
ro.wikipedia,2022-01-22,1311831
ro.wikipedia,2022-01-23,1471637
ro.wikipedia,2022-01-24,1696122
ro.wikipedia,2022-01-25,1658681
ro.wikipedia,2022-01-26,1651856
ro.wikipedia,2022-01-27,1759599
ro.wikipedia,2022-01-28,1538952
ro.wikipedia,2022-01-29,1377236
ro.wikipedia,2022-01-30,1657690
ro.wikipedia,2022-01-31,1713165
ro.wikipedia,2022-02-01,1652062
ro.wikipedia,2022-02-02,1648421
ro.wikipedia,2022-02-03,1634072
ro.wikipedia,2022-02-04,1391491
ro.wikipedia,2022-02-05,1239640
ro.wikipedia,2022-02-06,1509122
ro.wikipedia,2022-02-07,1637658
ro.wikipedia,2022-02-08,1645488
ro.wikipedia,2022-02-09,1568748
ro.wikipedia,2022-02-10,1534106
ro.wikipedia,2022-02-11,1306836
ro.wikipedia,2022-02-12,1240384
ro.wikipedia,2022-02-13,1498928
ro.wikipedia,2022-02-14,1560025
ro.wikipedia,2022-02-15,1553827
ro.wikipedia,2022-02-16,1531562
ro.wikipedia,2022-02-17,1559240
ro.wikipedia,2022-02-18,1328500
ro.wikipedia,2022-02-19,1192072
ro.wikipedia,2022-02-20,1492471
ro.wikipedia,2022-02-21,1592061
ro.wikipedia,2022-02-22,1683288
ro.wikipedia,2022-02-23,1700727
ro.wikipedia,2022-02-24,2181510
ro.wikipedia,2022-02-25,2065556
ro.wikipedia,2022-02-26,1888335
ro.wikipedia,2022-02-27,2186966
ro.wikipedia,2022-02-28,2127506
ro.wikipedia,2022-03-01,1950767
ro.wikipedia,2022-03-02,2049282
ro.wikipedia,2022-03-03,1920367
ro.wikipedia,2022-03-04,1692835
ro.wikipedia,2022-03-05,1453478
ro.wikipedia,2022-03-06,1625658
ro.wikipedia,2022-03-07,1666190
ro.wikipedia,2022-03-08,1509810
ro.wikipedia,2022-03-09,1591740
ro.wikipedia,2022-03-10,1562293
ro.wikipedia,2022-03-11,1374186
ro.wikipedia,2022-03-12,1281720
ro.wikipedia,2022-03-13,1535973
ro.wikipedia,2022-03-14,1584961
ro.wikipedia,2022-03-15,1546315
ro.wikipedia,2022-03-16,1607397
ro.wikipedia,2022-03-17,1555134
ro.wikipedia,2022-03-18,1288259
ro.wikipedia,2022-03-19,1194548
ro.wikipedia,2022-03-20,1470430
ro.wikipedia,2022-03-21,1550893
ro.wikipedia,2022-03-22,1528084
ro.wikipedia,2022-03-23,1463286
ro.wikipedia,2022-03-24,1443420
ro.wikipedia,2022-03-25,1272141
ro.wikipedia,2022-03-26,1073998
ro.wikipedia,2022-03-27,1346780
ro.wikipedia,2022-03-28,1428257
ro.wikipedia,2022-03-29,1423765
ro.wikipedia,2022-03-30,1402013
ro.wikipedia,2022-03-31,1387137
ro.wikipedia,2022-04-01,1163475
ro.wikipedia,2022-04-02,1154356
ro.wikipedia,2022-04-03,1423214
ro.wikipedia,2022-04-04,1482306
ro.wikipedia,2022-04-05,1412024
ro.wikipedia,2022-04-06,1391496
ro.wikipedia,2022-04-07,1448550
ro.wikipedia,2022-04-08,1144398
ro.wikipedia,2022-04-09,1019882
ro.wikipedia,2022-04-10,1447886
ro.wikipedia,2022-04-11,1523023
ro.wikipedia,2022-04-12,1444959
ro.wikipedia,2022-04-13,1252019
ro.wikipedia,2022-04-14,1137923
ro.wikipedia,2022-04-15,961796
ro.wikipedia,2022-04-16,940526
ro.wikipedia,2022-04-17,1198891
ro.wikipedia,2022-04-18,1143121
ro.wikipedia,2022-04-19,1114873
ro.wikipedia,2022-04-20,1044196
ro.wikipedia,2022-04-21,963302
ro.wikipedia,2022-04-22,930132
ro.wikipedia,2022-04-23,953156
ro.wikipedia,2022-04-24,1022120
ro.wikipedia,2022-04-25,1084448
ro.wikipedia,2022-04-26,1091428
ro.wikipedia,2022-04-27,1093968
ro.wikipedia,2022-04-28,1183555
ro.wikipedia,2022-04-29,1092089
ro.wikipedia,2022-04-30,1009236
ro.wikipedia,2022-05-01,1131180
ro.wikipedia,2022-05-02,1267517
ro.wikipedia,2022-05-03,1379729
ro.wikipedia,2022-05-04,1433561
ro.wikipedia,2022-05-05,1389256
ro.wikipedia,2022-05-06,1128972
ro.wikipedia,2022-05-07,1041765
ro.wikipedia,2022-05-08,1294609
ro.wikipedia,2022-05-09,1480854
ro.wikipedia,2022-05-10,1507712
ro.wikipedia,2022-05-11,1424827
ro.wikipedia,2022-05-12,1380687
ro.wikipedia,2022-05-13,1172273
ro.wikipedia,2022-05-14,1046479
ro.wikipedia,2022-05-15,1317202
ro.wikipedia,2022-05-16,1486396
ro.wikipedia,2022-05-17,1480454
ro.wikipedia,2022-05-18,1497237
ro.wikipedia,2022-05-19,1388587
ro.wikipedia,2022-05-20,1114233
ro.wikipedia,2022-05-21,1005202
ro.wikipedia,2022-05-22,1291403
ro.wikipedia,2022-05-23,1484937
ro.wikipedia,2022-05-24,1447670
ro.wikipedia,2022-05-25,1355198
ro.wikipedia,2022-05-26,1305744
ro.wikipedia,2022-05-27,1084812
ro.wikipedia,2022-05-28,1070815
ro.wikipedia,2022-05-29,1317991
ro.wikipedia,2022-05-30,1354317
ro.wikipedia,2022-05-31,1155592
ro.wikipedia,2022-06-01,1055461
ro.wikipedia,2022-06-02,1238843
ro.wikipedia,2022-06-03,1040144
ro.wikipedia,2022-06-04,981104
ro.wikipedia,2022-06-05,1167660
ro.wikipedia,2022-06-06,1174111
ro.wikipedia,2022-06-07,1117924
ro.wikipedia,2022-06-08,1175696
ro.wikipedia,2022-06-09,1144710
ro.wikipedia,2022-06-10,1009705
ro.wikipedia,2022-06-11,1012008
ro.wikipedia,2022-06-12,1177734
ro.wikipedia,2022-06-13,1183997
ro.wikipedia,2022-06-14,1062965
ro.wikipedia,2022-06-15,992318
ro.wikipedia,2022-06-16,984458
ro.wikipedia,2022-06-17,968007
ro.wikipedia,2022-06-18,952891
ro.wikipedia,2022-06-19,1053117
ro.wikipedia,2022-06-20,1024180
ro.wikipedia,2022-06-21,1037895
ro.wikipedia,2022-06-22,1033333
ro.wikipedia,2022-06-23,975027
ro.wikipedia,2022-06-24,929767
ro.wikipedia,2022-06-25,878687
ro.wikipedia,2022-06-26,1005911
ro.wikipedia,2022-06-27,942783
ro.wikipedia,2022-06-28,925942
ro.wikipedia,2022-06-29,931792
ro.wikipedia,2022-06-30,890604
ro.wikipedia,2022-07-01,868480
ro.wikipedia,2022-07-02,863905
ro.wikipedia,2022-07-03,952034
ro.wikipedia,2022-07-04,932404
ro.wikipedia,2022-07-05,918187
ro.wikipedia,2022-07-06,932747
ro.wikipedia,2022-07-07,933533
ro.wikipedia,2022-07-08,890141
ro.wikipedia,2022-07-09,878279
ro.wikipedia,2022-07-10,978093
ro.wikipedia,2022-07-11,902005
ro.wikipedia,2022-07-12,899936
ro.wikipedia,2022-07-13,872881
ro.wikipedia,2022-07-14,869365
ro.wikipedia,2022-07-15,838035
ro.wikipedia,2022-07-16,836330
ro.wikipedia,2022-07-17,923497
ro.wikipedia,2022-07-18,876355
ro.wikipedia,2022-07-19,855360
ro.wikipedia,2022-07-20,888490
ro.wikipedia,2022-07-21,883248
ro.wikipedia,2022-07-22,856993
ro.wikipedia,2022-07-23,856790
ro.wikipedia,2022-07-24,949781
ro.wikipedia,2022-07-25,908323
ro.wikipedia,2022-07-26,896054
ro.wikipedia,2022-07-27,887187
ro.wikipedia,2022-07-28,890215
ro.wikipedia,2022-07-29,862379
ro.wikipedia,2022-07-30,869988
ro.wikipedia,2022-07-31,967884
ro.wikipedia,2022-08-01,937274
ro.wikipedia,2022-08-02,919848
ro.wikipedia,2022-08-03,907537
ro.wikipedia,2022-08-04,903900
ro.wikipedia,2022-08-05,886187
ro.wikipedia,2022-08-06,921559
ro.wikipedia,2022-08-07,980439
ro.wikipedia,2022-08-08,936827
ro.wikipedia,2022-08-09,905947
ro.wikipedia,2022-08-10,923696
ro.wikipedia,2022-08-11,887675
ro.wikipedia,2022-08-12,876981
ro.wikipedia,2022-08-13,925667
ro.wikipedia,2022-08-14,1008708
ro.wikipedia,2022-08-15,1010812
ro.wikipedia,2022-08-16,943577
ro.wikipedia,2022-08-17,921376
ro.wikipedia,2022-08-18,909452
ro.wikipedia,2022-08-19,889782
ro.wikipedia,2022-08-20,890375
ro.wikipedia,2022-08-21,997662
ro.wikipedia,2022-08-22,940377
