project,iso2,year,month,pageviews_ceil
roa-rup.wikipedia,US,2022,1,15000
roa-rup.wikipedia,FR,2022,1,12000
roa-rup.wikipedia,NL,2022,1,5000
roa-rup.wikipedia,DE,2022,1,4000
roa-rup.wikipedia,CA,2022,1,2000
roa-rup.wikipedia,RU,2022,1,2000
roa-rup.wikipedia,SG,2022,1,2000
roa-rup.wikipedia,IR,2022,1,2000
roa-rup.wikipedia,RO,2022,1,2000
roa-rup.wikipedia,PL,2022,1,1000
roa-rup.wikipedia,GB,2022,1,1000
roa-rup.wikipedia,IT,2022,1,1000
roa-rup.wikipedia,IN,2022,1,1000
roa-rup.wikipedia,HK,2022,1,1000
roa-rup.wikipedia,JP,2022,1,1000
roa-rup.wikipedia,--,2022,1,1000
roa-rup.wikipedia,FI,2022,1,1000
roa-rup.wikipedia,CN,2022,1,1000
roa-rup.wikipedia,ID,2022,1,1000
roa-rup.wikipedia,GR,2022,1,1000
roa-rup.wikipedia,BR,2022,1,1000
roa-rup.wikipedia,UA,2022,1,1000
roa-rup.wikipedia,KR,2022,1,1000
roa-rup.wikipedia,DK,2022,1,1000
roa-rup.wikipedia,ES,2022,1,1000
roa-rup.wikipedia,MX,2022,1,1000
roa-rup.wikipedia,TW,2022,1,1000
roa-rup.wikipedia,TR,2022,1,1000
roa-rup.wikipedia,AT,2022,1,1000
roa-rup.wikipedia,VN,2022,1,1000
roa-rup.wikipedia,CZ,2022,1,1000
roa-rup.wikipedia,SE,2022,1,1000
roa-rup.wikipedia,CH,2022,1,1000
roa-rup.wikipedia,ZA,2022,1,1000
roa-rup.wikipedia,PT,2022,1,1000
roa-rup.wikipedia,BE,2022,1,1000
roa-rup.wikipedia,AU,2022,1,1000
roa-rup.wikipedia,CO,2022,1,1000
roa-rup.wikipedia,SC,2022,1,1000
roa-rup.wikipedia,TH,2022,1,1000
roa-rup.wikipedia,IN,2022,2,53000
roa-rup.wikipedia,RU,2022,2,24000
roa-rup.wikipedia,US,2022,2,13000
roa-rup.wikipedia,UZ,2022,2,11000
roa-rup.wikipedia,FR,2022,2,9000
roa-rup.wikipedia,PK,2022,2,8000
