project,date,pageviews
ru.wikipedia,2022-01-01,30029814
ru.wikipedia,2022-01-02,32221867
ru.wikipedia,2022-01-03,31980441
ru.wikipedia,2022-01-04,32209425
ru.wikipedia,2022-01-05,31070629
ru.wikipedia,2022-01-06,30725234
ru.wikipedia,2022-01-07,32629873
ru.wikipedia,2022-01-08,33215581
ru.wikipedia,2022-01-09,32586046
ru.wikipedia,2022-01-10,31387158
ru.wikipedia,2022-01-11,32508661
ru.wikipedia,2022-01-12,32303600
ru.wikipedia,2022-01-13,32005237
ru.wikipedia,2022-01-14,32707455
ru.wikipedia,2022-01-15,32815402
ru.wikipedia,2022-01-16,34644079
ru.wikipedia,2022-01-17,33051818
ru.wikipedia,2022-01-18,32640593
ru.wikipedia,2022-01-19,32969493
ru.wikipedia,2022-01-20,32407497
ru.wikipedia,2022-01-21,31537172
ru.wikipedia,2022-01-22,32044168
ru.wikipedia,2022-01-23,34268451
ru.wikipedia,2022-01-24,32848011
ru.wikipedia,2022-01-25,32085189
ru.wikipedia,2022-01-26,32148396
ru.wikipedia,2022-01-27,32701654
ru.wikipedia,2022-01-28,31854573
ru.wikipedia,2022-01-29,32335797
ru.wikipedia,2022-01-30,35004077
ru.wikipedia,2022-01-31,33484111
ru.wikipedia,2022-02-01,32713395
ru.wikipedia,2022-02-02,32771556
ru.wikipedia,2022-02-03,32830002
ru.wikipedia,2022-02-04,32345914
ru.wikipedia,2022-02-05,32233322
ru.wikipedia,2022-02-06,34416689
ru.wikipedia,2022-02-07,33715369
ru.wikipedia,2022-02-08,33299473
ru.wikipedia,2022-02-09,32602781
ru.wikipedia,2022-02-10,32619716
ru.wikipedia,2022-02-11,32737282
ru.wikipedia,2022-02-12,32601174
ru.wikipedia,2022-02-13,34304600
ru.wikipedia,2022-02-14,32994091
ru.wikipedia,2022-02-15,32948826
ru.wikipedia,2022-02-16,32453251
ru.wikipedia,2022-02-17,32917218
ru.wikipedia,2022-02-18,32712404
ru.wikipedia,2022-02-19,33477210
ru.wikipedia,2022-02-20,34104057
ru.wikipedia,2022-02-21,33135845
ru.wikipedia,2022-02-22,32139022
ru.wikipedia,2022-02-23,32428628
ru.wikipedia,2022-02-24,33143103
ru.wikipedia,2022-02-25,32966197
ru.wikipedia,2022-02-26,32856624
ru.wikipedia,2022-02-27,34979228
ru.wikipedia,2022-02-28,34425374
ru.wikipedia,2022-03-01,34034976
ru.wikipedia,2022-03-02,34832811
ru.wikipedia,2022-03-03,33944890
ru.wikipedia,2022-03-04,32466485
ru.wikipedia,2022-03-05,30988462
ru.wikipedia,2022-03-06,31062813
ru.wikipedia,2022-03-07,32117766
ru.wikipedia,2022-03-08,32008475
ru.wikipedia,2022-03-09,32492478
ru.wikipedia,2022-03-10,32513544
ru.wikipedia,2022-03-11,31916615
ru.wikipedia,2022-03-12,31514076
ru.wikipedia,2022-03-13,33238751
ru.wikipedia,2022-03-14,33532147
ru.wikipedia,2022-03-15,33943129
ru.wikipedia,2022-03-16,34212263
ru.wikipedia,2022-03-17,33503814
ru.wikipedia,2022-03-18,32567268
ru.wikipedia,2022-03-19,32376348
ru.wikipedia,2022-03-20,34533600
ru.wikipedia,2022-03-21,33403812
ru.wikipedia,2022-03-22,33733312
ru.wikipedia,2022-03-23,33058361
ru.wikipedia,2022-03-24,33489284
ru.wikipedia,2022-03-25,34208189
ru.wikipedia,2022-03-26,33459359
ru.wikipedia,2022-03-27,35085063
ru.wikipedia,2022-03-28,34219932
ru.wikipedia,2022-03-29,32807156
ru.wikipedia,2022-03-30,33625751
ru.wikipedia,2022-03-31,33214600
ru.wikipedia,2022-04-01,31417333
ru.wikipedia,2022-04-02,31910578
ru.wikipedia,2022-04-03,34119906
ru.wikipedia,2022-04-04,34264213
ru.wikipedia,2022-04-05,33779462
ru.wikipedia,2022-04-06,35567644
ru.wikipedia,2022-04-07,33624775
ru.wikipedia,2022-04-08,32184411
ru.wikipedia,2022-04-09,31059971
ru.wikipedia,2022-04-10,34058086
ru.wikipedia,2022-04-11,33854833
ru.wikipedia,2022-04-12,33773076
ru.wikipedia,2022-04-13,33785091
ru.wikipedia,2022-04-14,34477650
ru.wikipedia,2022-04-15,33148340
ru.wikipedia,2022-04-16,31230104
ru.wikipedia,2022-04-17,33416535
ru.wikipedia,2022-04-18,33992937
ru.wikipedia,2022-04-19,32940979
ru.wikipedia,2022-04-20,33202704
ru.wikipedia,2022-04-21,32662359
ru.wikipedia,2022-04-22,31299220
ru.wikipedia,2022-04-23,29656905
ru.wikipedia,2022-04-24,32595468
ru.wikipedia,2022-04-25,32639577
ru.wikipedia,2022-04-26,32780503
ru.wikipedia,2022-04-27,31982946
ru.wikipedia,2022-04-28,31737485
ru.wikipedia,2022-04-29,29394629
ru.wikipedia,2022-04-30,27447143
ru.wikipedia,2022-05-01,28122077
ru.wikipedia,2022-05-02,29533767
ru.wikipedia,2022-05-03,31215664
ru.wikipedia,2022-05-04,31576525
ru.wikipedia,2022-05-05,30813526
ru.wikipedia,2022-05-06,29807943
ru.wikipedia,2022-05-07,27740978
ru.wikipedia,2022-05-08,29619443
ru.wikipedia,2022-05-09,32470092
ru.wikipedia,2022-05-10,33671930
ru.wikipedia,2022-05-11,32046920
ru.wikipedia,2022-05-12,30968596
ru.wikipedia,2022-05-13,29826299
ru.wikipedia,2022-05-14,29043376
ru.wikipedia,2022-05-15,31205356
ru.wikipedia,2022-05-16,31304386
ru.wikipedia,2022-05-17,30919200
ru.wikipedia,2022-05-18,30813920
ru.wikipedia,2022-05-19,30238194
ru.wikipedia,2022-05-20,28376617
ru.wikipedia,2022-05-21,27386422
ru.wikipedia,2022-05-22,30172124
ru.wikipedia,2022-05-23,30232575
ru.wikipedia,2022-05-24,29485449
ru.wikipedia,2022-05-25,28406293
ru.wikipedia,2022-05-26,28707528
ru.wikipedia,2022-05-27,28058397
ru.wikipedia,2022-05-28,28452063
ru.wikipedia,2022-05-29,28775020
ru.wikipedia,2022-05-30,28352840
ru.wikipedia,2022-05-31,27572953
ru.wikipedia,2022-06-01,26529848
ru.wikipedia,2022-06-02,27142564
ru.wikipedia,2022-06-03,26695970
ru.wikipedia,2022-06-04,26047128
ru.wikipedia,2022-06-05,28041231
ru.wikipedia,2022-06-06,27897351
ru.wikipedia,2022-06-07,27251923
ru.wikipedia,2022-06-08,26652154
ru.wikipedia,2022-06-09,26137088
ru.wikipedia,2022-06-10,25293387
ru.wikipedia,2022-06-11,24589192
ru.wikipedia,2022-06-12,26649382
ru.wikipedia,2022-06-13,27845221
ru.wikipedia,2022-06-14,27054691
ru.wikipedia,2022-06-15,26549627
ru.wikipedia,2022-06-16,25909841
ru.wikipedia,2022-06-17,25812144
ru.wikipedia,2022-06-18,25154834
ru.wikipedia,2022-06-19,26702872
ru.wikipedia,2022-06-20,27010888
ru.wikipedia,2022-06-21,27243831
ru.wikipedia,2022-06-22,27089200
ru.wikipedia,2022-06-23,28028992
ru.wikipedia,2022-06-24,25951627
ru.wikipedia,2022-06-25,24420041
ru.wikipedia,2022-06-26,25851423
ru.wikipedia,2022-06-27,26396644
ru.wikipedia,2022-06-28,25825740
ru.wikipedia,2022-06-29,25438168
ru.wikipedia,2022-06-30,24607511
ru.wikipedia,2022-07-01,24313510
ru.wikipedia,2022-07-02,24159375
ru.wikipedia,2022-07-03,25491024
ru.wikipedia,2022-07-04,25503100
ru.wikipedia,2022-07-05,25039874
ru.wikipedia,2022-07-06,24882693
ru.wikipedia,2022-07-07,25289991
ru.wikipedia,2022-07-08,24908723
ru.wikipedia,2022-07-09,24332795
ru.wikipedia,2022-07-10,25551213
ru.wikipedia,2022-07-11,25604886
ru.wikipedia,2022-07-12,25551651
ru.wikipedia,2022-07-13,25320034
ru.wikipedia,2022-07-14,25129287
ru.wikipedia,2022-07-15,25431040
ru.wikipedia,2022-07-16,24710289
ru.wikipedia,2022-07-17,26146878
ru.wikipedia,2022-07-18,25814718
ru.wikipedia,2022-07-19,25663054
ru.wikipedia,2022-07-20,25438460
ru.wikipedia,2022-07-21,25498241
ru.wikipedia,2022-07-22,25069190
ru.wikipedia,2022-07-23,24353397
ru.wikipedia,2022-07-24,26222514
ru.wikipedia,2022-07-25,26201741
ru.wikipedia,2022-07-26,26244151
ru.wikipedia,2022-07-27,25872715
ru.wikipedia,2022-07-28,25882213
ru.wikipedia,2022-07-29,25084135
ru.wikipedia,2022-07-30,25381182
ru.wikipedia,2022-07-31,28331534
ru.wikipedia,2022-08-01,27225097
ru.wikipedia,2022-08-02,27496631
ru.wikipedia,2022-08-03,26033523
ru.wikipedia,2022-08-04,25342972
ru.wikipedia,2022-08-05,25288241
ru.wikipedia,2022-08-06,24945135
ru.wikipedia,2022-08-07,26612128
ru.wikipedia,2022-08-08,26319044
ru.wikipedia,2022-08-09,25669600
ru.wikipedia,2022-08-10,25554773
ru.wikipedia,2022-08-11,25330987
ru.wikipedia,2022-08-12,25389184
ru.wikipedia,2022-08-13,24933073
ru.wikipedia,2022-08-14,26479332
ru.wikipedia,2022-08-15,26274890
ru.wikipedia,2022-08-16,25855043
ru.wikipedia,2022-08-17,25763052
ru.wikipedia,2022-08-18,25461934
ru.wikipedia,2022-08-19,25789529
ru.wikipedia,2022-08-20,26118889
ru.wikipedia,2022-08-21,27310757
ru.wikipedia,2022-08-22,26299344
ru.wikipedia,2022-08-23,26036866
ru.wikipedia,2022-08-24,25570368
ru.wikipedia,2022-08-25,25687189
ru.wikipedia,2022-08-26,25432060
ru.wikipedia,2022-08-27,25337486
ru.wikipedia,2022-08-28,26436931
ru.wikipedia,2022-08-29,25793821
ru.wikipedia,2022-08-30,25904981
ru.wikipedia,2022-08-31,25771260
ru.wikipedia,2022-09-01,24345977
ru.wikipedia,2022-09-02,25603496
ru.wikipedia,2022-09-03,26647824
ru.wikipedia,2022-09-04,27159608
ru.wikipedia,2022-09-05,27096284
ru.wikipedia,2022-09-06,27485930
ru.wikipedia,2022-09-07,27653691
ru.wikipedia,2022-09-08,32887817
ru.wikipedia,2022-09-09,31959176
ru.wikipedia,2022-09-10,28549008
ru.wikipedia,2022-09-11,30392635
ru.wikipedia,2022-09-12,29906837
ru.wikipedia,2022-09-13,29844599
ru.wikipedia,2022-09-14,29932050
ru.wikipedia,2022-09-15,29975575
ru.wikipedia,2022-09-16,28323188
ru.wikipedia,2022-09-17,27643464
ru.wikipedia,2022-09-18,30391270
ru.wikipedia,2022-09-19,30465114
ru.wikipedia,2022-09-20,30485379
ru.wikipedia,2022-09-21,29922657
ru.wikipedia,2022-09-22,29115022
ru.wikipedia,2022-09-23,28006485
ru.wikipedia,2022-09-24,28283908
ru.wikipedia,2022-09-25,30424699
ru.wikipedia,2022-09-26,30388411
ru.wikipedia,2022-09-27,30863330
ru.wikipedia,2022-09-28,29871427
ru.wikipedia,2022-09-29,29446965
ru.wikipedia,2022-09-30,29572463
ru.wikipedia,2022-10-01,29254652
