project,iso2,year,month,pageviews_ceil
sa.wikipedia,IN,2022,1,73000
sa.wikipedia,US,2022,1,47000
sa.wikipedia,NL,2022,1,14000
sa.wikipedia,CA,2022,1,12000
sa.wikipedia,FR,2022,1,10000
sa.wikipedia,SG,2022,1,9000
sa.wikipedia,DE,2022,1,9000
sa.wikipedia,IR,2022,1,5000
sa.wikipedia,GB,2022,1,3000
sa.wikipedia,RU,2022,1,3000
sa.wikipedia,JP,2022,1,2000
sa.wikipedia,PL,2022,1,2000
sa.wikipedia,FI,2022,1,2000
sa.wikipedia,HK,2022,1,2000
sa.wikipedia,ID,2022,1,1000
sa.wikipedia,--,2022,1,1000
sa.wikipedia,KR,2022,1,1000
sa.wikipedia,VN,2022,1,1000
sa.wikipedia,TH,2022,1,1000
sa.wikipedia,IT,2022,1,1000
sa.wikipedia,BR,2022,1,1000
sa.wikipedia,CN,2022,1,1000
sa.wikipedia,TW,2022,1,1000
sa.wikipedia,NP,2022,1,1000
sa.wikipedia,AU,2022,1,1000
sa.wikipedia,ES,2022,1,1000
sa.wikipedia,DK,2022,1,1000
sa.wikipedia,UA,2022,1,1000
sa.wikipedia,CH,2022,1,1000
sa.wikipedia,CZ,2022,1,1000
sa.wikipedia,TR,2022,1,1000
sa.wikipedia,BE,2022,1,1000
sa.wikipedia,AT,2022,1,1000
sa.wikipedia,PT,2022,1,1000
sa.wikipedia,BD,2022,1,1000
sa.wikipedia,LV,2022,1,1000
sa.wikipedia,SC,2022,1,1000
sa.wikipedia,SE,2022,1,1000
sa.wikipedia,KH,2022,1,1000
sa.wikipedia,NO,2022,1,1000
sa.wikipedia,IL,2022,1,1000
sa.wikipedia,MY,2022,1,1000
sa.wikipedia,PH,2022,1,1000
sa.wikipedia,IN,2022,2,74000
sa.wikipedia,US,2022,2,49000
sa.wikipedia,NL,2022,2,14000
sa.wikipedia,FR,2022,2,13000
sa.wikipedia,SG,2022,2,9000
sa.wikipedia,DE,2022,2,7000
sa.wikipedia,CA,2022,2,5000
sa.wikipedia,IR,2022,2,4000
sa.wikipedia,GB,2022,2,4000
sa.wikipedia,RU,2022,2,4000
sa.wikipedia,UA,2022,2,2000
sa.wikipedia,JP,2022,2,2000
sa.wikipedia,IT,2022,2,2000
sa.wikipedia,--,2022,2,2000
sa.wikipedia,PL,2022,2,1000
sa.wikipedia,FI,2022,2,1000
sa.wikipedia,ID,2022,2,1000
sa.wikipedia,HK,2022,2,1000
sa.wikipedia,KR,2022,2,1000
sa.wikipedia,VN,2022,2,1000
sa.wikipedia,BR,2022,2,1000
sa.wikipedia,ES,2022,2,1000
sa.wikipedia,NP,2022,2,1000
