project,iso2,year,month,pageviews_ceil
sc.wikipedia,US,2022,1,31000
sc.wikipedia,FR,2022,1,21000
sc.wikipedia,DE,2022,1,17000
sc.wikipedia,IT,2022,1,13000
sc.wikipedia,CA,2022,1,9000
sc.wikipedia,NL,2022,1,6000
sc.wikipedia,SG,2022,1,5000
sc.wikipedia,IR,2022,1,5000
sc.wikipedia,RU,2022,1,4000
sc.wikipedia,ES,2022,1,3000
sc.wikipedia,GB,2022,1,2000
sc.wikipedia,PL,2022,1,2000
sc.wikipedia,FI,2022,1,2000
sc.wikipedia,JP,2022,1,2000
sc.wikipedia,--,2022,1,2000
sc.wikipedia,BR,2022,1,2000
sc.wikipedia,HK,2022,1,1000
sc.wikipedia,CH,2022,1,1000
sc.wikipedia,CN,2022,1,1000
sc.wikipedia,IE,2022,1,1000
sc.wikipedia,RO,2022,1,1000
sc.wikipedia,PT,2022,1,1000
sc.wikipedia,SE,2022,1,1000
sc.wikipedia,DK,2022,1,1000
sc.wikipedia,MX,2022,1,1000
sc.wikipedia,BE,2022,1,1000
sc.wikipedia,KR,2022,1,1000
sc.wikipedia,TW,2022,1,1000
sc.wikipedia,IN,2022,1,1000
sc.wikipedia,UA,2022,1,1000
sc.wikipedia,ID,2022,1,1000
sc.wikipedia,AU,2022,1,1000
sc.wikipedia,CZ,2022,1,1000
sc.wikipedia,AT,2022,1,1000
sc.wikipedia,VN,2022,1,1000
sc.wikipedia,TR,2022,1,1000
sc.wikipedia,AR,2022,1,1000
sc.wikipedia,LV,2022,1,1000
sc.wikipedia,GR,2022,1,1000
sc.wikipedia,CO,2022,1,1000
sc.wikipedia,HU,2022,1,1000
sc.wikipedia,IL,2022,1,1000
sc.wikipedia,EG,2022,1,1000
sc.wikipedia,SC,2022,1,1000
sc.wikipedia,BG,2022,1,1000
sc.wikipedia,MY,2022,1,1000
sc.wikipedia,RS,2022,1,1000
sc.wikipedia,MD,2022,1,1000
sc.wikipedia,NO,2022,1,1000
sc.wikipedia,IN,2022,2,95000
sc.wikipedia,RU,2022,2,47000
sc.wikipedia,US,2022,2,35000
sc.wikipedia,UZ,2022,2,20000
sc.wikipedia,FR,2022,2,17000
sc.wikipedia,PK,2022,2,15000
sc.wikipedia,KZ,2022,2,15000
sc.wikipedia,IT,2022,2,13000
sc.wikipedia,DE,2022,2,13000
sc.wikipedia,UA,2022,2,11000
sc.wikipedia,BY,2022,2,10000
sc.wikipedia,NL,2022,2,7000
sc.wikipedia,IR,2022,2,7000
sc.wikipedia,CA,2022,2,6000
sc.wikipedia,TJ,2022,2,6000
sc.wikipedia,GB,2022,2,5000
sc.wikipedia,SG,2022,2,5000
sc.wikipedia,GE,2022,2,4000
sc.wikipedia,MN,2022,2,3000
sc.wikipedia,BR,2022,2,3000
sc.wikipedia,ES,2022,2,3000
sc.wikipedia,PH,2022,2,3000
sc.wikipedia,KG,2022,2,3000
sc.wikipedia,VN,2022,2,2000
sc.wikipedia,PL,2022,2,2000
sc.wikipedia,TW,2022,2,2000
sc.wikipedia,AF,2022,2,2000
sc.wikipedia,--,2022,2,2000
sc.wikipedia,TR,2022,2,1000
sc.wikipedia,AU,2022,2,1000
sc.wikipedia,ID,2022,2,1000
sc.wikipedia,IE,2022,2,1000
sc.wikipedia,CN,2022,2,1000
sc.wikipedia,JP,2022,2,1000
sc.wikipedia,AZ,2022,2,1000
sc.wikipedia,FI,2022,2,1000
sc.wikipedia,MD,2022,2,1000
sc.wikipedia,HK,2022,2,1000
sc.wikipedia,LK,2022,2,1000
sc.wikipedia,MX,2022,2,1000
sc.wikipedia,RO,2022,2,1000
sc.wikipedia,DK,2022,2,1000
sc.wikipedia,EG,2022,2,1000
sc.wikipedia,ZA,2022,2,1000
sc.wikipedia,MM,2022,2,1000
sc.wikipedia,CH,2022,2,1000
sc.wikipedia,GR,2022,2,1000
sc.wikipedia,MY,2022,2,1000
sc.wikipedia,NO,2022,2,1000
sc.wikipedia,AE,2022,2,1000
sc.wikipedia,PT,2022,2,1000
sc.wikipedia,BH,2022,2,1000
sc.wikipedia,IL,2022,2,1000
sc.wikipedia,SA,2022,2,1000
sc.wikipedia,CZ,2022,2,1000
sc.wikipedia,SC,2022,2,1000
sc.wikipedia,BD,2022,2,1000
sc.wikipedia,SE,2022,2,1000
sc.wikipedia,AM,2022,2,1000
sc.wikipedia,CO,2022,2,1000
sc.wikipedia,KW,2022,2,1000
sc.wikipedia,CL,2022,2,1000
sc.wikipedia,KR,2022,2,1000
sc.wikipedia,AR,2022,2,1000
sc.wikipedia,BE,2022,2,1000
sc.wikipedia,NE,2022,2,1000
sc.wikipedia,TM,2022,2,1000
sc.wikipedia,ET,2022,2,1000
sc.wikipedia,HU,2022,2,1000
sc.wikipedia,LV,2022,2,1000
sc.wikipedia,MA,2022,2,1000
sc.wikipedia,BG,2022,2,1000
sc.wikipedia,KE,2022,2,1000
sc.wikipedia,RS,2022,2,1000
sc.wikipedia,BJ,2022,2,1000
sc.wikipedia,AL,2022,2,1000
sc.wikipedia,AT,2022,2,1000
sc.wikipedia,RW,2022,2,1000
sc.wikipedia,CY,2022,2,1000
sc.wikipedia,FM,2022,2,1000
sc.wikipedia,DZ,2022,2,1000
sc.wikipedia,IN,2022,3,159000
sc.wikipedia,RU,2022,3,64000
sc.wikipedia,UZ,2022,3,39000
sc.wikipedia,PK,2022,3,29000
sc.wikipedia,US,2022,3,28000
sc.wikipedia,KZ,2022,3,24000
sc.wikipedia,DE,2022,3,19000
sc.wikipedia,IT,2022,3,16000
sc.wikipedia,TJ,2022,3,14000
sc.wikipedia,CA,2022,3,11000
sc.wikipedia,BY,2022,3,11000
sc.wikipedia,FR,2022,3,11000
sc.wikipedia,UA,2022,3,9000
sc.wikipedia,IR,2022,3,8000
sc.wikipedia,GE,2022,3,6000
sc.wikipedia,NL,2022,3,6000
sc.wikipedia,AF,2022,3,4000
sc.wikipedia,AT,2022,3,4000
sc.wikipedia,KG,2022,3,4000
sc.wikipedia,GB,2022,3,4000
sc.wikipedia,SG,2022,3,4000
sc.wikipedia,ES,2022,3,4000
sc.wikipedia,MN,2022,3,4000
sc.wikipedia,PH,2022,3,3000
sc.wikipedia,VN,2022,3,3000
sc.wikipedia,TR,2022,3,3000
sc.wikipedia,PL,2022,3,3000
sc.wikipedia,IE,2022,3,3000
sc.wikipedia,ID,2022,3,2000
sc.wikipedia,BR,2022,3,2000
sc.wikipedia,HK,2022,3,1000
sc.wikipedia,JP,2022,3,1000
sc.wikipedia,AZ,2022,3,1000
sc.wikipedia,RO,2022,3,1000
sc.wikipedia,TM,2022,3,1000
sc.wikipedia,BD,2022,3,1000
sc.wikipedia,MX,2022,3,1000
sc.wikipedia,GR,2022,3,1000
sc.wikipedia,--,2022,3,1000
sc.wikipedia,MY,2022,3,1000
sc.wikipedia,IQ,2022,3,1000
sc.wikipedia,PT,2022,3,1000
sc.wikipedia,LV,2022,3,1000
sc.wikipedia,AE,2022,3,1000
sc.wikipedia,DK,2022,3,1000
sc.wikipedia,MD,2022,3,1000
sc.wikipedia,CO,2022,3,1000
sc.wikipedia,ZA,2022,3,1000
sc.wikipedia,CZ,2022,3,1000
sc.wikipedia,AU,2022,3,1000
sc.wikipedia,MM,2022,3,1000
sc.wikipedia,SA,2022,3,1000
sc.wikipedia,KR,2022,3,1000
sc.wikipedia,SE,2022,3,1000
sc.wikipedia,ET,2022,3,1000
sc.wikipedia,BH,2022,3,1000
sc.wikipedia,FI,2022,3,1000
sc.wikipedia,NO,2022,3,1000
sc.wikipedia,LK,2022,3,1000
sc.wikipedia,AR,2022,3,1000
sc.wikipedia,BE,2022,3,1000
sc.wikipedia,CH,2022,3,1000
sc.wikipedia,TW,2022,3,1000
sc.wikipedia,CI,2022,3,1000
sc.wikipedia,TH,2022,3,1000
sc.wikipedia,IL,2022,3,1000
sc.wikipedia,CD,2022,3,1000
sc.wikipedia,OM,2022,3,1000
sc.wikipedia,CN,2022,3,1000
sc.wikipedia,EG,2022,3,1000
sc.wikipedia,NP,2022,3,1000
sc.wikipedia,AL,2022,3,1000
sc.wikipedia,CL,2022,3,1000
sc.wikipedia,NG,2022,3,1000
sc.wikipedia,TG,2022,3,1000
sc.wikipedia,HU,2022,3,1000
sc.wikipedia,SC,2022,3,1000
sc.wikipedia,KE,2022,3,1000
sc.wikipedia,CY,2022,3,1000
sc.wikipedia,NE,2022,3,1000
sc.wikipedia,KW,2022,3,1000
sc.wikipedia,LT,2022,3,1000
sc.wikipedia,PE,2022,3,1000
sc.wikipedia,SL,2022,3,1000
sc.wikipedia,ZM,2022,3,1000
sc.wikipedia,RS,2022,3,1000
sc.wikipedia,BG,2022,3,1000
sc.wikipedia,IN,2022,4,61000
sc.wikipedia,RU,2022,4,46000
sc.wikipedia,US,2022,4,29000
sc.wikipedia,IT,2022,4,18000
