project,iso2,year,month,pageviews_ceil
scn.wikipedia,US,2022,1,52000
scn.wikipedia,IT,2022,1,48000
scn.wikipedia,TW,2022,1,29000
scn.wikipedia,NL,2022,1,24000
scn.wikipedia,DE,2022,1,17000
scn.wikipedia,CA,2022,1,15000
scn.wikipedia,FR,2022,1,14000
scn.wikipedia,IR,2022,1,11000
scn.wikipedia,SG,2022,1,10000
scn.wikipedia,RU,2022,1,5000
scn.wikipedia,JP,2022,1,4000
scn.wikipedia,GB,2022,1,4000
scn.wikipedia,FI,2022,1,3000
scn.wikipedia,--,2022,1,3000
scn.wikipedia,PL,2022,1,3000
scn.wikipedia,SE,2022,1,2000
scn.wikipedia,HK,2022,1,2000
scn.wikipedia,ES,2022,1,2000
scn.wikipedia,CH,2022,1,2000
scn.wikipedia,BR,2022,1,1000
scn.wikipedia,RO,2022,1,1000
scn.wikipedia,BE,2022,1,1000
scn.wikipedia,CN,2022,1,1000
scn.wikipedia,DK,2022,1,1000
scn.wikipedia,PT,2022,1,1000
scn.wikipedia,AU,2022,1,1000
scn.wikipedia,IN,2022,1,1000
scn.wikipedia,ID,2022,1,1000
scn.wikipedia,KR,2022,1,1000
scn.wikipedia,IE,2022,1,1000
scn.wikipedia,UA,2022,1,1000
scn.wikipedia,VN,2022,1,1000
scn.wikipedia,CZ,2022,1,1000
scn.wikipedia,AT,2022,1,1000
scn.wikipedia,LV,2022,1,1000
scn.wikipedia,AL,2022,1,1000
scn.wikipedia,GR,2022,1,1000
scn.wikipedia,TR,2022,1,1000
scn.wikipedia,IL,2022,1,1000
scn.wikipedia,NO,2022,1,1000
scn.wikipedia,MX,2022,1,1000
scn.wikipedia,SC,2022,1,1000
scn.wikipedia,BG,2022,1,1000
scn.wikipedia,CO,2022,1,1000
scn.wikipedia,EG,2022,1,1000
scn.wikipedia,RS,2022,1,1000
scn.wikipedia,AR,2022,1,1000
scn.wikipedia,MY,2022,1,1000
scn.wikipedia,IQ,2022,1,1000
scn.wikipedia,MD,2022,1,1000
scn.wikipedia,MT,2022,1,1000
scn.wikipedia,TH,2022,1,1000
scn.wikipedia,SI,2022,1,1000
scn.wikipedia,GH,2022,1,1000
scn.wikipedia,EE,2022,1,1000
scn.wikipedia,HU,2022,1,1000
scn.wikipedia,IN,2022,2,134000
scn.wikipedia,RU,2022,2,70000
scn.wikipedia,US,2022,2,57000
scn.wikipedia,IT,2022,2,44000
scn.wikipedia,UZ,2022,2,31000
scn.wikipedia,NL,2022,2,22000
scn.wikipedia,KZ,2022,2,21000
scn.wikipedia,PK,2022,2,21000
scn.wikipedia,UA,2022,2,15000
scn.wikipedia,BY,2022,2,15000
scn.wikipedia,DE,2022,2,13000
scn.wikipedia,FR,2022,2,13000
scn.wikipedia,IR,2022,2,12000
scn.wikipedia,CA,2022,2,10000
scn.wikipedia,TJ,2022,2,8000
scn.wikipedia,SG,2022,2,8000
scn.wikipedia,GB,2022,2,6000
scn.wikipedia,GE,2022,2,6000
scn.wikipedia,MN,2022,2,4000
scn.wikipedia,KG,2022,2,4000
scn.wikipedia,PH,2022,2,4000
scn.wikipedia,BR,2022,2,3000
scn.wikipedia,VN,2022,2,3000
scn.wikipedia,--,2022,2,3000
scn.wikipedia,TW,2022,2,3000
scn.wikipedia,PL,2022,2,2000
scn.wikipedia,ES,2022,2,2000
scn.wikipedia,JP,2022,2,2000
scn.wikipedia,ID,2022,2,2000
scn.wikipedia,AF,2022,2,2000
scn.wikipedia,FI,2022,2,2000
scn.wikipedia,TR,2022,2,2000
scn.wikipedia,AU,2022,2,1000
scn.wikipedia,MD,2022,2,1000
scn.wikipedia,AZ,2022,2,1000
scn.wikipedia,CH,2022,2,1000
scn.wikipedia,HK,2022,2,1000
scn.wikipedia,ZA,2022,2,1000
scn.wikipedia,RO,2022,2,1000
scn.wikipedia,AM,2022,2,1000
scn.wikipedia,EG,2022,2,1000
scn.wikipedia,IE,2022,2,1000
scn.wikipedia,DK,2022,2,1000
scn.wikipedia,CN,2022,2,1000
scn.wikipedia,MM,2022,2,1000
scn.wikipedia,SE,2022,2,1000
scn.wikipedia,LV,2022,2,1000
scn.wikipedia,GR,2022,2,1000
scn.wikipedia,AE,2022,2,1000
scn.wikipedia,LK,2022,2,1000
scn.wikipedia,MY,2022,2,1000
scn.wikipedia,SA,2022,2,1000
scn.wikipedia,BE,2022,2,1000
scn.wikipedia,AL,2022,2,1000
scn.wikipedia,SC,2022,2,1000
scn.wikipedia,BD,2022,2,1000
scn.wikipedia,CZ,2022,2,1000
scn.wikipedia,NO,2022,2,1000
scn.wikipedia,BH,2022,2,1000
scn.wikipedia,IL,2022,2,1000
scn.wikipedia,KR,2022,2,1000
scn.wikipedia,KW,2022,2,1000
scn.wikipedia,ET,2022,2,1000
scn.wikipedia,PT,2022,2,1000
scn.wikipedia,AT,2022,2,1000
scn.wikipedia,CL,2022,2,1000
scn.wikipedia,NE,2022,2,1000
scn.wikipedia,MA,2022,2,1000
scn.wikipedia,AR,2022,2,1000
scn.wikipedia,CY,2022,2,1000
scn.wikipedia,BG,2022,2,1000
scn.wikipedia,LY,2022,2,1000
scn.wikipedia,NG,2022,2,1000
scn.wikipedia,RW,2022,2,1000
scn.wikipedia,KE,2022,2,1000
scn.wikipedia,SI,2022,2,1000
scn.wikipedia,DZ,2022,2,1000
scn.wikipedia,MX,2022,2,1000
scn.wikipedia,RS,2022,2,1000
scn.wikipedia,BJ,2022,2,1000
scn.wikipedia,LT,2022,2,1000
scn.wikipedia,TM,2022,2,1000
scn.wikipedia,FM,2022,2,1000
scn.wikipedia,EE,2022,2,1000
scn.wikipedia,IN,2022,3,248000
scn.wikipedia,RU,2022,3,108000
scn.wikipedia,UZ,2022,3,69000
scn.wikipedia,IT,2022,3,49000
scn.wikipedia,PK,2022,3,44000
scn.wikipedia,US,2022,3,42000
scn.wikipedia,KZ,2022,3,42000
scn.wikipedia,NL,2022,3,25000
scn.wikipedia,BY,2022,3,19000
scn.wikipedia,CA,2022,3,18000
scn.wikipedia,DE,2022,3,18000
scn.wikipedia,TJ,2022,3,18000
scn.wikipedia,IR,2022,3,17000
scn.wikipedia,UA,2022,3,15000
scn.wikipedia,FR,2022,3,12000
scn.wikipedia,GE,2022,3,10000
scn.wikipedia,KG,2022,3,8000
scn.wikipedia,MN,2022,3,7000
scn.wikipedia,AT,2022,3,6000
