project,iso2,year,month,pageviews_ceil
sh.wikipedia,RS,2022,1,2425000
sh.wikipedia,HR,2022,1,792000
sh.wikipedia,BA,2022,1,607000
sh.wikipedia,US,2022,1,404000
sh.wikipedia,RU,2022,1,317000
sh.wikipedia,DE,2022,1,242000
sh.wikipedia,ME,2022,1,209000
sh.wikipedia,ID,2022,1,105000
sh.wikipedia,BR,2022,1,104000
sh.wikipedia,IR,2022,1,104000
sh.wikipedia,CA,2022,1,96000
sh.wikipedia,SI,2022,1,84000
sh.wikipedia,MK,2022,1,72000
sh.wikipedia,AT,2022,1,72000
sh.wikipedia,NL,2022,1,70000
sh.wikipedia,SG,2022,1,69000
sh.wikipedia,TW,2022,1,67000
sh.wikipedia,FR,2022,1,67000
sh.wikipedia,--,2022,1,63000
sh.wikipedia,HK,2022,1,56000
sh.wikipedia,MY,2022,1,45000
sh.wikipedia,GB,2022,1,38000
sh.wikipedia,CH,2022,1,36000
sh.wikipedia,SE,2022,1,32000
sh.wikipedia,PH,2022,1,28000
sh.wikipedia,IT,2022,1,26000
sh.wikipedia,AU,2022,1,25000
sh.wikipedia,TR,2022,1,23000
sh.wikipedia,TH,2022,1,22000
sh.wikipedia,BD,2022,1,20000
sh.wikipedia,XK,2022,1,20000
sh.wikipedia,JP,2022,1,17000
sh.wikipedia,IN,2022,1,16000
sh.wikipedia,FI,2022,1,15000
sh.wikipedia,VN,2022,1,15000
sh.wikipedia,ES,2022,1,14000
sh.wikipedia,EC,2022,1,14000
sh.wikipedia,PL,2022,1,14000
sh.wikipedia,MX,2022,1,12000
sh.wikipedia,CZ,2022,1,11000
sh.wikipedia,AL,2022,1,11000
sh.wikipedia,NO,2022,1,11000
sh.wikipedia,DK,2022,1,10000
sh.wikipedia,UA,2022,1,10000
sh.wikipedia,BE,2022,1,9000
sh.wikipedia,HU,2022,1,8000
sh.wikipedia,SK,2022,1,7000
sh.wikipedia,IE,2022,1,6000
sh.wikipedia,KZ,2022,1,6000
sh.wikipedia,RO,2022,1,6000
sh.wikipedia,IL,2022,1,6000
sh.wikipedia,BG,2022,1,6000
sh.wikipedia,AR,2022,1,5000
sh.wikipedia,GR,2022,1,5000
sh.wikipedia,IQ,2022,1,5000
sh.wikipedia,KR,2022,1,5000
sh.wikipedia,CO,2022,1,5000
sh.wikipedia,PK,2022,1,5000
sh.wikipedia,PT,2022,1,4000
sh.wikipedia,LU,2022,1,4000
sh.wikipedia,MO,2022,1,4000
sh.wikipedia,ZA,2022,1,4000
sh.wikipedia,AE,2022,1,4000
sh.wikipedia,NZ,2022,1,3000
sh.wikipedia,NP,2022,1,3000
sh.wikipedia,LT,2022,1,3000
sh.wikipedia,DZ,2022,1,3000
sh.wikipedia,PE,2022,1,3000
sh.wikipedia,MT,2022,1,3000
sh.wikipedia,UZ,2022,1,3000
sh.wikipedia,EG,2022,1,2000
sh.wikipedia,LV,2022,1,2000
sh.wikipedia,CL,2022,1,2000
sh.wikipedia,QA,2022,1,2000
sh.wikipedia,KH,2022,1,2000
sh.wikipedia,GE,2022,1,2000
sh.wikipedia,PY,2022,1,2000
sh.wikipedia,CN,2022,1,2000
sh.wikipedia,TN,2022,1,2000
sh.wikipedia,MA,2022,1,2000
sh.wikipedia,MD,2022,1,2000
sh.wikipedia,AZ,2022,1,2000
sh.wikipedia,VE,2022,1,2000
sh.wikipedia,MM,2022,1,2000
sh.wikipedia,DO,2022,1,2000
sh.wikipedia,GH,2022,1,1000
sh.wikipedia,SA,2022,1,1000
sh.wikipedia,BY,2022,1,1000
sh.wikipedia,ET,2022,1,1000
sh.wikipedia,LA,2022,1,1000
sh.wikipedia,NG,2022,1,1000
sh.wikipedia,CY,2022,1,1000
sh.wikipedia,BH,2022,1,1000
sh.wikipedia,EE,2022,1,1000
sh.wikipedia,PA,2022,1,1000
sh.wikipedia,SN,2022,1,1000
sh.wikipedia,TG,2022,1,1000
sh.wikipedia,AM,2022,1,1000
sh.wikipedia,KE,2022,1,1000
sh.wikipedia,IS,2022,1,1000
sh.wikipedia,KW,2022,1,1000
sh.wikipedia,CR,2022,1,1000
sh.wikipedia,JO,2022,1,1000
sh.wikipedia,LK,2022,1,1000
sh.wikipedia,HN,2022,1,1000
sh.wikipedia,UY,2022,1,1000
sh.wikipedia,JM,2022,1,1000
sh.wikipedia,OM,2022,1,1000
sh.wikipedia,LB,2022,1,1000
sh.wikipedia,KG,2022,1,1000
sh.wikipedia,AO,2022,1,1000
sh.wikipedia,BO,2022,1,1000
sh.wikipedia,GT,2022,1,1000
sh.wikipedia,CI,2022,1,1000
sh.wikipedia,MN,2022,1,1000
sh.wikipedia,BN,2022,1,1000
sh.wikipedia,UG,2022,1,1000
sh.wikipedia,TZ,2022,1,1000
sh.wikipedia,MG,2022,1,1000
sh.wikipedia,PR,2022,1,1000
sh.wikipedia,SC,2022,1,1000
sh.wikipedia,SV,2022,1,1000
sh.wikipedia,LY,2022,1,1000
sh.wikipedia,MV,2022,1,1000
sh.wikipedia,GA,2022,1,1000
sh.wikipedia,GU,2022,1,1000
sh.wikipedia,BW,2022,1,1000
sh.wikipedia,ML,2022,1,1000
sh.wikipedia,MU,2022,1,1000
sh.wikipedia,SD,2022,1,1000
sh.wikipedia,GL,2022,1,1000
sh.wikipedia,SR,2022,1,1000
sh.wikipedia,BJ,2022,1,1000
sh.wikipedia,LI,2022,1,1000
sh.wikipedia,SY,2022,1,1000
sh.wikipedia,SO,2022,1,1000
sh.wikipedia,CG,2022,1,1000
sh.wikipedia,CM,2022,1,1000
sh.wikipedia,GY,2022,1,1000
sh.wikipedia,CD,2022,1,1000
sh.wikipedia,NI,2022,1,1000
sh.wikipedia,BF,2022,1,1000
sh.wikipedia,RS,2022,2,2411000
sh.wikipedia,HR,2022,2,671000
sh.wikipedia,BA,2022,2,617000
sh.wikipedia,BR,2022,2,536000
sh.wikipedia,US,2022,2,411000
sh.wikipedia,ME,2022,2,224000
sh.wikipedia,DE,2022,2,207000
