project,iso2,year,month,pageviews_ceil
si.wikipedia,LK,2022,1,2060000
si.wikipedia,US,2022,1,298000
si.wikipedia,BR,2022,1,95000
si.wikipedia,ID,2022,1,94000
si.wikipedia,SG,2022,1,63000
si.wikipedia,TW,2022,1,62000
si.wikipedia,CA,2022,1,61000
si.wikipedia,HK,2022,1,52000
si.wikipedia,DE,2022,1,43000
si.wikipedia,MY,2022,1,43000
si.wikipedia,PH,2022,1,26000
si.wikipedia,FR,2022,1,25000
si.wikipedia,GB,2022,1,25000
si.wikipedia,TH,2022,1,20000
si.wikipedia,RU,2022,1,18000
si.wikipedia,BD,2022,1,18000
si.wikipedia,AU,2022,1,17000
si.wikipedia,NL,2022,1,16000
si.wikipedia,EC,2022,1,14000
si.wikipedia,JP,2022,1,13000
si.wikipedia,VN,2022,1,13000
si.wikipedia,--,2022,1,12000
si.wikipedia,IR,2022,1,11000
si.wikipedia,MX,2022,1,10000
si.wikipedia,IT,2022,1,10000
si.wikipedia,IN,2022,1,10000
si.wikipedia,ES,2022,1,8000
si.wikipedia,NZ,2022,1,6000
si.wikipedia,UA,2022,1,5000
si.wikipedia,KR,2022,1,5000
si.wikipedia,IQ,2022,1,5000
si.wikipedia,AR,2022,1,4000
si.wikipedia,CO,2022,1,4000
si.wikipedia,MO,2022,1,4000
si.wikipedia,PL,2022,1,3000
si.wikipedia,PK,2022,1,3000
si.wikipedia,AE,2022,1,3000
si.wikipedia,KW,2022,1,3000
si.wikipedia,NP,2022,1,3000
si.wikipedia,DK,2022,1,3000
si.wikipedia,ZA,2022,1,3000
si.wikipedia,BE,2022,1,3000
si.wikipedia,DZ,2022,1,3000
si.wikipedia,QA,2022,1,3000
si.wikipedia,FI,2022,1,3000
si.wikipedia,PT,2022,1,2000
si.wikipedia,PE,2022,1,2000
si.wikipedia,RO,2022,1,2000
si.wikipedia,IL,2022,1,2000
si.wikipedia,UZ,2022,1,2000
si.wikipedia,PY,2022,1,2000
si.wikipedia,TR,2022,1,2000
si.wikipedia,EG,2022,1,2000
si.wikipedia,CH,2022,1,2000
si.wikipedia,CL,2022,1,2000
si.wikipedia,SE,2022,1,2000
si.wikipedia,KH,2022,1,2000
si.wikipedia,NO,2022,1,2000
si.wikipedia,SA,2022,1,2000
si.wikipedia,MA,2022,1,2000
si.wikipedia,VE,2022,1,2000
si.wikipedia,GR,2022,1,1000
si.wikipedia,TN,2022,1,1000
si.wikipedia,MM,2022,1,1000
si.wikipedia,IE,2022,1,1000
si.wikipedia,CZ,2022,1,1000
si.wikipedia,BH,2022,1,1000
si.wikipedia,LU,2022,1,1000
si.wikipedia,BG,2022,1,1000
si.wikipedia,BA,2022,1,1000
si.wikipedia,DO,2022,1,1000
si.wikipedia,HU,2022,1,1000
si.wikipedia,LA,2022,1,1000
si.wikipedia,AT,2022,1,1000
si.wikipedia,LB,2022,1,1000
si.wikipedia,OM,2022,1,1000
si.wikipedia,ET,2022,1,1000
si.wikipedia,RS,2022,1,1000
si.wikipedia,TG,2022,1,1000
si.wikipedia,SN,2022,1,1000
si.wikipedia,LV,2022,1,1000
si.wikipedia,GE,2022,1,1000
si.wikipedia,CN,2022,1,1000
si.wikipedia,PA,2022,1,1000
si.wikipedia,KE,2022,1,1000
si.wikipedia,JO,2022,1,1000
si.wikipedia,UY,2022,1,1000
si.wikipedia,AL,2022,1,1000
si.wikipedia,SK,2022,1,1000
si.wikipedia,BY,2022,1,1000
si.wikipedia,LT,2022,1,1000
si.wikipedia,JM,2022,1,1000
si.wikipedia,HN,2022,1,1000
si.wikipedia,BO,2022,1,1000
si.wikipedia,GT,2022,1,1000
si.wikipedia,AO,2022,1,1000
si.wikipedia,CR,2022,1,1000
si.wikipedia,MV,2022,1,1000
si.wikipedia,BN,2022,1,1000
si.wikipedia,KZ,2022,1,1000
si.wikipedia,CY,2022,1,1000
si.wikipedia,MG,2022,1,1000
si.wikipedia,HR,2022,1,1000
si.wikipedia,NG,2022,1,1000
si.wikipedia,MN,2022,1,1000
si.wikipedia,PR,2022,1,1000
si.wikipedia,SV,2022,1,1000
si.wikipedia,CI,2022,1,1000
si.wikipedia,AZ,2022,1,1000
si.wikipedia,MK,2022,1,1000
si.wikipedia,SI,2022,1,1000
si.wikipedia,MD,2022,1,1000
si.wikipedia,UG,2022,1,1000
si.wikipedia,AM,2022,1,1000
si.wikipedia,SC,2022,1,1000
si.wikipedia,GH,2022,1,1000
si.wikipedia,MT,2022,1,1000
si.wikipedia,GA,2022,1,1000
si.wikipedia,GU,2022,1,1000
si.wikipedia,IS,2022,1,1000
si.wikipedia,KG,2022,1,1000
si.wikipedia,ML,2022,1,1000
si.wikipedia,GY,2022,1,1000
si.wikipedia,EE,2022,1,1000
si.wikipedia,BW,2022,1,1000
si.wikipedia,CG,2022,1,1000
