project,iso2,year,month,pageviews_ceil
simple.wikipedia,US,2022,1,3045000
simple.wikipedia,IN,2022,1,2273000
simple.wikipedia,ZA,2022,1,836000
simple.wikipedia,GB,2022,1,794000
simple.wikipedia,CA,2022,1,401000
simple.wikipedia,DE,2022,1,333000
simple.wikipedia,PH,2022,1,253000
simple.wikipedia,FR,2022,1,207000
simple.wikipedia,AU,2022,1,191000
simple.wikipedia,PK,2022,1,145000
simple.wikipedia,IT,2022,1,118000
simple.wikipedia,NL,2022,1,115000
simple.wikipedia,RU,2022,1,115000
simple.wikipedia,NG,2022,1,114000
simple.wikipedia,SG,2022,1,90000
simple.wikipedia,ID,2022,1,89000
simple.wikipedia,MY,2022,1,86000
simple.wikipedia,IR,2022,1,77000
simple.wikipedia,BD,2022,1,77000
simple.wikipedia,JP,2022,1,75000
simple.wikipedia,SE,2022,1,68000
simple.wikipedia,ES,2022,1,65000
simple.wikipedia,PL,2022,1,62000
simple.wikipedia,TR,2022,1,60000
simple.wikipedia,IE,2022,1,58000
simple.wikipedia,RO,2022,1,52000
simple.wikipedia,FI,2022,1,48000
simple.wikipedia,BR,2022,1,48000
simple.wikipedia,DK,2022,1,47000
simple.wikipedia,NO,2022,1,45000
simple.wikipedia,CH,2022,1,44000
simple.wikipedia,BE,2022,1,42000
simple.wikipedia,HK,2022,1,42000
simple.wikipedia,AE,2022,1,40000
simple.wikipedia,VN,2022,1,37000
simple.wikipedia,TH,2022,1,37000
simple.wikipedia,CZ,2022,1,35000
simple.wikipedia,--,2022,1,35000
simple.wikipedia,UA,2022,1,34000
simple.wikipedia,KR,2022,1,33000
simple.wikipedia,SA,2022,1,33000
simple.wikipedia,MX,2022,1,32000
simple.wikipedia,EG,2022,1,32000
simple.wikipedia,IL,2022,1,31000
simple.wikipedia,TW,2022,1,31000
simple.wikipedia,NP,2022,1,29000
simple.wikipedia,LK,2022,1,29000
simple.wikipedia,AT,2022,1,28000
simple.wikipedia,NZ,2022,1,28000
simple.wikipedia,KE,2022,1,26000
simple.wikipedia,GR,2022,1,24000
simple.wikipedia,RS,2022,1,22000
simple.wikipedia,GH,2022,1,21000
simple.wikipedia,HU,2022,1,21000
simple.wikipedia,HR,2022,1,21000
simple.wikipedia,PT,2022,1,20000
simple.wikipedia,MA,2022,1,19000
simple.wikipedia,IQ,2022,1,19000
simple.wikipedia,BG,2022,1,17000
simple.wikipedia,DZ,2022,1,16000
simple.wikipedia,AF,2022,1,15000
simple.wikipedia,SK,2022,1,15000
simple.wikipedia,AR,2022,1,14000
simple.wikipedia,TZ,2022,1,13000
simple.wikipedia,SI,2022,1,13000
simple.wikipedia,LT,2022,1,11000
simple.wikipedia,LU,2022,1,11000
simple.wikipedia,TN,2022,1,11000
simple.wikipedia,QA,2022,1,11000
simple.wikipedia,ET,2022,1,10000
simple.wikipedia,UZ,2022,1,10000
simple.wikipedia,KW,2022,1,10000
simple.wikipedia,EE,2022,1,10000
simple.wikipedia,CO,2022,1,9000
simple.wikipedia,LB,2022,1,9000
simple.wikipedia,AL,2022,1,9000
simple.wikipedia,AZ,2022,1,9000
simple.wikipedia,MD,2022,1,8000
simple.wikipedia,LV,2022,1,8000
simple.wikipedia,OM,2022,1,7000
simple.wikipedia,GE,2022,1,7000
simple.wikipedia,KH,2022,1,7000
simple.wikipedia,CL,2022,1,7000
simple.wikipedia,JM,2022,1,7000
simple.wikipedia,UG,2022,1,7000
simple.wikipedia,MK,2022,1,6000
simple.wikipedia,BA,2022,1,6000
simple.wikipedia,MM,2022,1,6000
simple.wikipedia,ZM,2022,1,6000
simple.wikipedia,TT,2022,1,6000
simple.wikipedia,JO,2022,1,6000
simple.wikipedia,CY,2022,1,6000
simple.wikipedia,PR,2022,1,6000
simple.wikipedia,KZ,2022,1,6000
simple.wikipedia,IS,2022,1,5000
simple.wikipedia,MT,2022,1,5000
simple.wikipedia,SO,2022,1,5000
simple.wikipedia,PE,2022,1,5000
simple.wikipedia,BY,2022,1,5000
simple.wikipedia,EC,2022,1,5000
simple.wikipedia,AM,2022,1,5000
simple.wikipedia,CN,2022,1,4000
simple.wikipedia,CM,2022,1,4000
simple.wikipedia,DO,2022,1,4000
simple.wikipedia,BH,2022,1,4000
simple.wikipedia,MU,2022,1,4000
simple.wikipedia,BN,2022,1,4000
simple.wikipedia,ZW,2022,1,4000
simple.wikipedia,VE,2022,1,3000
simple.wikipedia,CR,2022,1,3000
simple.wikipedia,SD,2022,1,3000
simple.wikipedia,LR,2022,1,3000
simple.wikipedia,PS,2022,1,3000
simple.wikipedia,YE,2022,1,3000
simple.wikipedia,MN,2022,1,3000
simple.wikipedia,BW,2022,1,3000
simple.wikipedia,KG,2022,1,3000
simple.wikipedia,SN,2022,1,3000
simple.wikipedia,PA,2022,1,2000
simple.wikipedia,MV,2022,1,2000
simple.wikipedia,RW,2022,1,2000
simple.wikipedia,LY,2022,1,2000
simple.wikipedia,SL,2022,1,2000
simple.wikipedia,HN,2022,1,2000
simple.wikipedia,ME,2022,1,2000
simple.wikipedia,GY,2022,1,2000
simple.wikipedia,GT,2022,1,2000
simple.wikipedia,XK,2022,1,2000
simple.wikipedia,UY,2022,1,2000
simple.wikipedia,CI,2022,1,2000
simple.wikipedia,BS,2022,1,2000
simple.wikipedia,NA,2022,1,2000
simple.wikipedia,BJ,2022,1,2000
simple.wikipedia,SY,2022,1,2000
simple.wikipedia,MW,2022,1,2000
simple.wikipedia,BB,2022,1,2000
simple.wikipedia,SV,2022,1,2000
simple.wikipedia,NI,2022,1,2000
simple.wikipedia,JE,2022,1,2000
simple.wikipedia,BO,2022,1,2000
simple.wikipedia,TM,2022,1,1000
simple.wikipedia,MZ,2022,1,1000
simple.wikipedia,LA,2022,1,1000
simple.wikipedia,CD,2022,1,1000
simple.wikipedia,MO,2022,1,1000
simple.wikipedia,SC,2022,1,1000
