project,iso2,year,month,pageviews_ceil
sq.wikipedia,AL,2022,1,3402000
sq.wikipedia,XK,2022,1,710000
sq.wikipedia,RS,2022,1,244000
sq.wikipedia,US,2022,1,221000
sq.wikipedia,DE,2022,1,196000
sq.wikipedia,MK,2022,1,178000
sq.wikipedia,IT,2022,1,119000
sq.wikipedia,CH,2022,1,75000
sq.wikipedia,GR,2022,1,68000
sq.wikipedia,FR,2022,1,57000
sq.wikipedia,GB,2022,1,51000
sq.wikipedia,CA,2022,1,40000
sq.wikipedia,NL,2022,1,36000
sq.wikipedia,SE,2022,1,26000
sq.wikipedia,BE,2022,1,22000
sq.wikipedia,AT,2022,1,21000
sq.wikipedia,SG,2022,1,21000
sq.wikipedia,RU,2022,1,18000
sq.wikipedia,IR,2022,1,17000
sq.wikipedia,FI,2022,1,13000
sq.wikipedia,ME,2022,1,12000
sq.wikipedia,TR,2022,1,10000
sq.wikipedia,PL,2022,1,9000
sq.wikipedia,SI,2022,1,9000
sq.wikipedia,--,2022,1,9000
sq.wikipedia,NO,2022,1,8000
sq.wikipedia,ES,2022,1,7000
sq.wikipedia,DK,2022,1,6000
sq.wikipedia,HR,2022,1,6000
sq.wikipedia,JP,2022,1,6000
sq.wikipedia,IL,2022,1,5000
sq.wikipedia,BG,2022,1,4000
sq.wikipedia,IN,2022,1,4000
sq.wikipedia,AU,2022,1,4000
sq.wikipedia,RO,2022,1,4000
sq.wikipedia,CZ,2022,1,3000
sq.wikipedia,HU,2022,1,3000
sq.wikipedia,BR,2022,1,3000
sq.wikipedia,UA,2022,1,3000
sq.wikipedia,HK,2022,1,3000
sq.wikipedia,ID,2022,1,3000
sq.wikipedia,BA,2022,1,2000
sq.wikipedia,LU,2022,1,2000
sq.wikipedia,KR,2022,1,2000
sq.wikipedia,IE,2022,1,2000
sq.wikipedia,MT,2022,1,2000
sq.wikipedia,PT,2022,1,2000
sq.wikipedia,TW,2022,1,2000
sq.wikipedia,AZ,2022,1,2000
sq.wikipedia,EG,2022,1,2000
sq.wikipedia,CN,2022,1,2000
sq.wikipedia,MD,2022,1,2000
sq.wikipedia,LT,2022,1,2000
sq.wikipedia,VN,2022,1,2000
sq.wikipedia,PH,2022,1,1000
sq.wikipedia,MX,2022,1,1000
sq.wikipedia,SK,2022,1,1000
sq.wikipedia,AE,2022,1,1000
sq.wikipedia,GE,2022,1,1000
sq.wikipedia,SA,2022,1,1000
sq.wikipedia,KZ,2022,1,1000
sq.wikipedia,TH,2022,1,1000
sq.wikipedia,ZA,2022,1,1000
sq.wikipedia,BD,2022,1,1000
sq.wikipedia,PK,2022,1,1000
sq.wikipedia,LV,2022,1,1000
sq.wikipedia,MY,2022,1,1000
sq.wikipedia,IS,2022,1,1000
sq.wikipedia,NG,2022,1,1000
sq.wikipedia,AR,2022,1,1000
sq.wikipedia,CO,2022,1,1000
sq.wikipedia,EE,2022,1,1000
sq.wikipedia,CY,2022,1,1000
sq.wikipedia,BY,2022,1,1000
sq.wikipedia,AM,2022,1,1000
sq.wikipedia,IQ,2022,1,1000
sq.wikipedia,MA,2022,1,1000
sq.wikipedia,GH,2022,1,1000
sq.wikipedia,DZ,2022,1,1000
sq.wikipedia,UZ,2022,1,1000
sq.wikipedia,CL,2022,1,1000
sq.wikipedia,QA,2022,1,1000
sq.wikipedia,TN,2022,1,1000
sq.wikipedia,NZ,2022,1,1000
sq.wikipedia,SC,2022,1,1000
sq.wikipedia,HN,2022,1,1000
sq.wikipedia,JO,2022,1,1000
sq.wikipedia,PE,2022,1,1000
sq.wikipedia,KW,2022,1,1000
sq.wikipedia,KE,2022,1,1000
sq.wikipedia,DO,2022,1,1000
sq.wikipedia,BJ,2022,1,1000
sq.wikipedia,EC,2022,1,1000
sq.wikipedia,SN,2022,1,1000
sq.wikipedia,TZ,2022,1,1000
sq.wikipedia,KH,2022,1,1000
sq.wikipedia,LK,2022,1,1000
sq.wikipedia,AL,2022,2,4310000
sq.wikipedia,XK,2022,2,820000
sq.wikipedia,RS,2022,2,336000
sq.wikipedia,MK,2022,2,299000
sq.wikipedia,US,2022,2,230000
sq.wikipedia,DE,2022,2,199000
sq.wikipedia,IN,2022,2,148000
sq.wikipedia,IT,2022,2,114000
sq.wikipedia,RU,2022,2,90000
sq.wikipedia,CH,2022,2,69000
sq.wikipedia,GR,2022,2,69000
sq.wikipedia,FR,2022,2,59000
sq.wikipedia,GB,2022,2,55000
sq.wikipedia,UZ,2022,2,35000
sq.wikipedia,NL,2022,2,28000
sq.wikipedia,CA,2022,2,27000
sq.wikipedia,SE,2022,2,26000
sq.wikipedia,PK,2022,2,25000
sq.wikipedia,IR,2022,2,25000
sq.wikipedia,KZ,2022,2,24000
sq.wikipedia,SG,2022,2,21000
sq.wikipedia,AT,2022,2,20000
sq.wikipedia,BE,2022,2,19000
sq.wikipedia,UA,2022,2,19000
sq.wikipedia,ME,2022,2,17000
sq.wikipedia,BY,2022,2,17000
sq.wikipedia,--,2022,2,16000
sq.wikipedia,SI,2022,2,11000
sq.wikipedia,FI,2022,2,10000
sq.wikipedia,TR,2022,2,10000
sq.wikipedia,TJ,2022,2,9000
sq.wikipedia,NO,2022,2,8000
sq.wikipedia,ES,2022,2,7000
sq.wikipedia,GE,2022,2,7000
sq.wikipedia,PL,2022,2,7000
sq.wikipedia,HR,2022,2,7000
sq.wikipedia,DK,2022,2,6000
sq.wikipedia,MN,2022,2,5000
sq.wikipedia,PH,2022,2,5000
sq.wikipedia,KG,2022,2,5000
sq.wikipedia,BR,2022,2,4000
sq.wikipedia,ID,2022,2,4000
sq.wikipedia,IL,2022,2,4000
sq.wikipedia,VN,2022,2,4000
sq.wikipedia,BG,2022,2,4000
sq.wikipedia,JP,2022,2,4000
sq.wikipedia,HU,2022,2,4000
sq.wikipedia,AU,2022,2,4000
sq.wikipedia,CZ,2022,2,3000
sq.wikipedia,RO,2022,2,3000
sq.wikipedia,TW,2022,2,3000
sq.wikipedia,IE,2022,2,3000
sq.wikipedia,AF,2022,2,2000
sq.wikipedia,LU,2022,2,2000
sq.wikipedia,BA,2022,2,2000
sq.wikipedia,MT,2022,2,2000
sq.wikipedia,HK,2022,2,2000
sq.wikipedia,SA,2022,2,2000
sq.wikipedia,AE,2022,2,2000
sq.wikipedia,AZ,2022,2,2000
sq.wikipedia,EG,2022,2,2000
sq.wikipedia,MD,2022,2,2000
sq.wikipedia,KR,2022,2,2000
sq.wikipedia,CN,2022,2,2000
sq.wikipedia,ZA,2022,2,1000
sq.wikipedia,PT,2022,2,1000
sq.wikipedia,BD,2022,2,1000
sq.wikipedia,SK,2022,2,1000
sq.wikipedia,AM,2022,2,1000
sq.wikipedia,MY,2022,2,1000
sq.wikipedia,LT,2022,2,1000
sq.wikipedia,MX,2022,2,1000
sq.wikipedia,MM,2022,2,1000
sq.wikipedia,LK,2022,2,1000
sq.wikipedia,LV,2022,2,1000
sq.wikipedia,CY,2022,2,1000
sq.wikipedia,NG,2022,2,1000
sq.wikipedia,MA,2022,2,1000
sq.wikipedia,IS,2022,2,1000
sq.wikipedia,AR,2022,2,1000
sq.wikipedia,TH,2022,2,1000
sq.wikipedia,IQ,2022,2,1000
sq.wikipedia,BH,2022,2,1000
sq.wikipedia,CL,2022,2,1000
sq.wikipedia,ET,2022,2,1000
