project,iso2,year,month,pageviews_ceil
st.wikipedia,TR,2022,1,16000
st.wikipedia,ZA,2022,1,11000
st.wikipedia,US,2022,1,9000
st.wikipedia,FR,2022,1,6000
st.wikipedia,NL,2022,1,4000
st.wikipedia,CA,2022,1,3000
st.wikipedia,DE,2022,1,3000
st.wikipedia,RU,2022,1,2000
st.wikipedia,SG,2022,1,2000
st.wikipedia,PL,2022,1,1000
st.wikipedia,HK,2022,1,1000
st.wikipedia,IR,2022,1,1000
st.wikipedia,IT,2022,1,1000
st.wikipedia,GB,2022,1,1000
st.wikipedia,JP,2022,1,1000
st.wikipedia,--,2022,1,1000
st.wikipedia,KR,2022,1,1000
st.wikipedia,UA,2022,1,1000
st.wikipedia,CN,2022,1,1000
st.wikipedia,FI,2022,1,1000
st.wikipedia,IN,2022,1,1000
st.wikipedia,SE,2022,1,1000
st.wikipedia,LS,2022,1,1000
st.wikipedia,BR,2022,1,1000
st.wikipedia,CH,2022,1,1000
st.wikipedia,LV,2022,1,1000
st.wikipedia,ZA,2022,2,12000
st.wikipedia,US,2022,2,10000
st.wikipedia,IN,2022,2,10000
st.wikipedia,TR,2022,2,7000
st.wikipedia,RU,2022,2,7000
st.wikipedia,NL,2022,2,6000
st.wikipedia,FR,2022,2,4000
st.wikipedia,UZ,2022,2,3000
st.wikipedia,DE,2022,2,2000
st.wikipedia,CA,2022,2,2000
st.wikipedia,UA,2022,2,2000
st.wikipedia,PK,2022,2,2000
st.wikipedia,KZ,2022,2,2000
st.wikipedia,BY,2022,2,2000
st.wikipedia,SG,2022,2,1000
st.wikipedia,GB,2022,2,1000
st.wikipedia,PL,2022,2,1000
st.wikipedia,TJ,2022,2,1000
st.wikipedia,KR,2022,2,1000
st.wikipedia,IR,2022,2,1000
st.wikipedia,GE,2022,2,1000
st.wikipedia,CN,2022,2,1000
st.wikipedia,TW,2022,2,1000
st.wikipedia,BR,2022,2,1000
st.wikipedia,VN,2022,2,1000
st.wikipedia,--,2022,2,1000
st.wikipedia,IT,2022,2,1000
st.wikipedia,PH,2022,2,1000
st.wikipedia,KG,2022,2,1000
st.wikipedia,MN,2022,2,1000
st.wikipedia,HK,2022,2,1000
st.wikipedia,LV,2022,2,1000
st.wikipedia,GR,2022,2,1000
st.wikipedia,ES,2022,2,1000
st.wikipedia,ID,2022,2,1000
st.wikipedia,SC,2022,2,1000
st.wikipedia,AU,2022,2,1000
st.wikipedia,FI,2022,2,1000
st.wikipedia,SE,2022,2,1000
st.wikipedia,JP,2022,2,1000
st.wikipedia,LS,2022,2,1000
st.wikipedia,IN,2022,3,22000
st.wikipedia,RU,2022,3,12000
st.wikipedia,ZA,2022,3,11000
st.wikipedia,US,2022,3,10000
st.wikipedia,UZ,2022,3,7000
st.wikipedia,KZ,2022,3,4000
st.wikipedia,PK,2022,3,4000
st.wikipedia,TJ,2022,3,4000
st.wikipedia,CA,2022,3,4000
st.wikipedia,FR,2022,3,3000
st.wikipedia,NL,2022,3,3000
st.wikipedia,BY,2022,3,3000
st.wikipedia,DE,2022,3,3000
st.wikipedia,UA,2022,3,2000
st.wikipedia,GE,2022,3,1000
st.wikipedia,SE,2022,3,1000
st.wikipedia,VN,2022,3,1000
st.wikipedia,GB,2022,3,1000
st.wikipedia,SG,2022,3,1000
st.wikipedia,IR,2022,3,1000
st.wikipedia,KR,2022,3,1000
st.wikipedia,KG,2022,3,1000
st.wikipedia,PL,2022,3,1000
st.wikipedia,MN,2022,3,1000
st.wikipedia,HK,2022,3,1000
st.wikipedia,AT,2022,3,1000
st.wikipedia,IT,2022,3,1000
st.wikipedia,AF,2022,3,1000
st.wikipedia,TR,2022,3,1000
st.wikipedia,GR,2022,3,1000
st.wikipedia,BD,2022,3,1000
st.wikipedia,PH,2022,3,1000
st.wikipedia,CN,2022,3,1000
st.wikipedia,JP,2022,3,1000
st.wikipedia,BR,2022,3,1000
st.wikipedia,IE,2022,3,1000
st.wikipedia,--,2022,3,1000
st.wikipedia,LS,2022,3,1000
st.wikipedia,ID,2022,3,1000
st.wikipedia,AE,2022,3,1000
st.wikipedia,LV,2022,3,1000
st.wikipedia,AZ,2022,3,1000
st.wikipedia,CZ,2022,3,1000
st.wikipedia,SC,2022,3,1000
st.wikipedia,CO,2022,3,1000
st.wikipedia,ES,2022,3,1000
st.wikipedia,SA,2022,3,1000
st.wikipedia,MY,2022,3,1000
st.wikipedia,US,2022,4,10000
st.wikipedia,IN,2022,4,9000
st.wikipedia,ZA,2022,4,8000
st.wikipedia,RU,2022,4,8000
st.wikipedia,CA,2022,4,4000
st.wikipedia,NL,2022,4,3000
st.wikipedia,UZ,2022,4,3000
st.wikipedia,DE,2022,4,2000
st.wikipedia,KZ,2022,4,2000
st.wikipedia,FR,2022,4,2000
st.wikipedia,UA,2022,4,2000
st.wikipedia,TJ,2022,4,2000
st.wikipedia,BY,2022,4,2000
st.wikipedia,GB,2022,4,1000
st.wikipedia,PK,2022,4,1000
st.wikipedia,--,2022,4,1000
st.wikipedia,SG,2022,4,1000
st.wikipedia,PL,2022,4,1000
st.wikipedia,IR,2022,4,1000
st.wikipedia,IT,2022,4,1000
st.wikipedia,MN,2022,4,1000
st.wikipedia,GE,2022,4,1000
st.wikipedia,KR,2022,4,1000
st.wikipedia,JP,2022,4,1000
st.wikipedia,VN,2022,4,1000
st.wikipedia,TR,2022,4,1000
st.wikipedia,NG,2022,4,1000
st.wikipedia,KG,2022,4,1000
st.wikipedia,HK,2022,4,1000
st.wikipedia,EE,2022,4,1000
st.wikipedia,EG,2022,4,1000
st.wikipedia,SE,2022,4,1000
st.wikipedia,AF,2022,4,1000
st.wikipedia,LS,2022,4,1000
st.wikipedia,CN,2022,4,1000
st.wikipedia,DK,2022,4,1000
st.wikipedia,MA,2022,4,1000
st.wikipedia,BD,2022,4,1000
st.wikipedia,AE,2022,4,1000
st.wikipedia,ID,2022,4,1000
st.wikipedia,AT,2022,4,1000
st.wikipedia,BR,2022,4,1000
st.wikipedia,TW,2022,4,1000
st.wikipedia,LV,2022,4,1000
st.wikipedia,LT,2022,4,1000
st.wikipedia,GR,2022,4,1000
st.wikipedia,CZ,2022,4,1000
st.wikipedia,US,2022,5,14000
st.wikipedia,ZA,2022,5,9000
st.wikipedia,RU,2022,5,8000
st.wikipedia,IN,2022,5,6000
st.wikipedia,CA,2022,5,5000
st.wikipedia,NL,2022,5,3000
st.wikipedia,DE,2022,5,3000
st.wikipedia,FR,2022,5,2000
st.wikipedia,UZ,2022,5,2000
st.wikipedia,UA,2022,5,2000
st.wikipedia,KZ,2022,5,2000
st.wikipedia,IT,2022,5,2000
st.wikipedia,PK,2022,5,1000
st.wikipedia,GB,2022,5,1000
st.wikipedia,BY,2022,5,1000
st.wikipedia,PL,2022,5,1000
st.wikipedia,--,2022,5,1000
st.wikipedia,SE,2022,5,1000
st.wikipedia,TJ,2022,5,1000
st.wikipedia,SG,2022,5,1000
st.wikipedia,GE,2022,5,1000
st.wikipedia,NG,2022,5,1000
st.wikipedia,IR,2022,5,1000
st.wikipedia,HK,2022,5,1000
st.wikipedia,KR,2022,5,1000
st.wikipedia,VN,2022,5,1000
st.wikipedia,BR,2022,5,1000
st.wikipedia,JP,2022,5,1000
st.wikipedia,KE,2022,5,1000
st.wikipedia,KG,2022,5,1000
st.wikipedia,IL,2022,5,1000
st.wikipedia,TR,2022,5,1000
st.wikipedia,PT,2022,5,1000
st.wikipedia,PH,2022,5,1000
st.wikipedia,AU,2022,5,1000
st.wikipedia,MN,2022,5,1000
st.wikipedia,ES,2022,5,1000
