project,iso2,year,month,pageviews_ceil
su.wikipedia,ID,2022,1,66000
su.wikipedia,US,2022,1,57000
su.wikipedia,NL,2022,1,22000
su.wikipedia,FR,2022,1,16000
su.wikipedia,DE,2022,1,16000
su.wikipedia,IR,2022,1,13000
su.wikipedia,CA,2022,1,13000
su.wikipedia,SG,2022,1,10000
su.wikipedia,RU,2022,1,4000
su.wikipedia,GB,2022,1,4000
su.wikipedia,PL,2022,1,3000
su.wikipedia,FI,2022,1,3000
su.wikipedia,--,2022,1,2000
su.wikipedia,JP,2022,1,2000
su.wikipedia,KR,2022,1,2000
su.wikipedia,HK,2022,1,2000
su.wikipedia,IN,2022,1,1000
su.wikipedia,VN,2022,1,1000
su.wikipedia,BR,2022,1,1000
su.wikipedia,UA,2022,1,1000
su.wikipedia,CN,2022,1,1000
su.wikipedia,TH,2022,1,1000
su.wikipedia,IT,2022,1,1000
su.wikipedia,TW,2022,1,1000
su.wikipedia,TR,2022,1,1000
su.wikipedia,DK,2022,1,1000
su.wikipedia,BE,2022,1,1000
su.wikipedia,AU,2022,1,1000
su.wikipedia,ES,2022,1,1000
su.wikipedia,CZ,2022,1,1000
su.wikipedia,SE,2022,1,1000
su.wikipedia,PT,2022,1,1000
su.wikipedia,MY,2022,1,1000
su.wikipedia,KH,2022,1,1000
su.wikipedia,ZA,2022,1,1000
su.wikipedia,SC,2022,1,1000
su.wikipedia,CH,2022,1,1000
su.wikipedia,LV,2022,1,1000
su.wikipedia,RO,2022,1,1000
su.wikipedia,BG,2022,1,1000
su.wikipedia,NO,2022,1,1000
su.wikipedia,AT,2022,1,1000
su.wikipedia,IL,2022,1,1000
su.wikipedia,IE,2022,1,1000
su.wikipedia,HN,2022,1,1000
su.wikipedia,CO,2022,1,1000
su.wikipedia,GH,2022,1,1000
su.wikipedia,IN,2022,2,144000
su.wikipedia,ID,2022,2,94000
su.wikipedia,RU,2022,2,72000
su.wikipedia,US,2022,2,70000
su.wikipedia,UZ,2022,2,34000
su.wikipedia,PK,2022,2,24000
su.wikipedia,KZ,2022,2,23000
su.wikipedia,NL,2022,2,22000
su.wikipedia,BY,2022,2,16000
su.wikipedia,UA,2022,2,16000
su.wikipedia,DE,2022,2,14000
su.wikipedia,FR,2022,2,14000
su.wikipedia,SG,2022,2,10000
su.wikipedia,CA,2022,2,9000
su.wikipedia,TJ,2022,2,9000
su.wikipedia,IR,2022,2,9000
su.wikipedia,GB,2022,2,6000
su.wikipedia,GE,2022,2,6000
su.wikipedia,MN,2022,2,5000
su.wikipedia,KG,2022,2,4000
su.wikipedia,PH,2022,2,4000
su.wikipedia,VN,2022,2,4000
su.wikipedia,TW,2022,2,3000
su.wikipedia,KR,2022,2,2000
su.wikipedia,AF,2022,2,2000
su.wikipedia,PL,2022,2,2000
su.wikipedia,--,2022,2,2000
su.wikipedia,BR,2022,2,2000
su.wikipedia,FI,2022,2,2000
su.wikipedia,TR,2022,2,2000
su.wikipedia,IT,2022,2,2000
su.wikipedia,JP,2022,2,2000
su.wikipedia,MD,2022,2,2000
su.wikipedia,CN,2022,2,1000
su.wikipedia,AZ,2022,2,1000
su.wikipedia,ZA,2022,2,1000
su.wikipedia,ES,2022,2,1000
su.wikipedia,AU,2022,2,1000
su.wikipedia,HK,2022,2,1000
su.wikipedia,IE,2022,2,1000
su.wikipedia,MY,2022,2,1000
su.wikipedia,AE,2022,2,1000
su.wikipedia,DK,2022,2,1000
su.wikipedia,AM,2022,2,1000
su.wikipedia,LK,2022,2,1000
su.wikipedia,EG,2022,2,1000
su.wikipedia,TH,2022,2,1000
su.wikipedia,MM,2022,2,1000
su.wikipedia,SA,2022,2,1000
su.wikipedia,BD,2022,2,1000
su.wikipedia,SC,2022,2,1000
su.wikipedia,SE,2022,2,1000
su.wikipedia,NO,2022,2,1000
su.wikipedia,BH,2022,2,1000
su.wikipedia,GR,2022,2,1000
su.wikipedia,CZ,2022,2,1000
su.wikipedia,ET,2022,2,1000
su.wikipedia,LV,2022,2,1000
su.wikipedia,IL,2022,2,1000
su.wikipedia,RO,2022,2,1000
su.wikipedia,CH,2022,2,1000
su.wikipedia,KW,2022,2,1000
su.wikipedia,NG,2022,2,1000
su.wikipedia,NE,2022,2,1000
su.wikipedia,TM,2022,2,1000
su.wikipedia,CY,2022,2,1000
su.wikipedia,DZ,2022,2,1000
su.wikipedia,GU,2022,2,1000
su.wikipedia,KE,2022,2,1000
su.wikipedia,MA,2022,2,1000
su.wikipedia,PT,2022,2,1000
su.wikipedia,HN,2022,2,1000
su.wikipedia,LY,2022,2,1000
su.wikipedia,RW,2022,2,1000
su.wikipedia,AT,2022,2,1000
su.wikipedia,FM,2022,2,1000
su.wikipedia,BE,2022,2,1000
su.wikipedia,RS,2022,2,1000
su.wikipedia,BG,2022,2,1000
su.wikipedia,SI,2022,2,1000
su.wikipedia,IN,2022,3,267000
su.wikipedia,ID,2022,3,118000
su.wikipedia,RU,2022,3,117000
su.wikipedia,UZ,2022,3,76000
su.wikipedia,US,2022,3,49000
su.wikipedia,PK,2022,3,47000
su.wikipedia,KZ,2022,3,43000
su.wikipedia,NL,2022,3,23000
su.wikipedia,BY,2022,3,22000
su.wikipedia,DE,2022,3,20000
su.wikipedia,TJ,2022,3,18000
su.wikipedia,IR,2022,3,17000
su.wikipedia,UA,2022,3,16000
su.wikipedia,CA,2022,3,15000
