project,date,pageviews
sv.wikipedia,2022-01-01,3500735
sv.wikipedia,2022-01-02,3364390
sv.wikipedia,2022-01-03,2884433
sv.wikipedia,2022-01-04,2899414
sv.wikipedia,2022-01-05,3061979
sv.wikipedia,2022-01-06,3225563
sv.wikipedia,2022-01-07,3366145
sv.wikipedia,2022-01-08,3289752
sv.wikipedia,2022-01-09,3237750
sv.wikipedia,2022-01-10,2874680
sv.wikipedia,2022-01-11,2771936
sv.wikipedia,2022-01-12,2758573
sv.wikipedia,2022-01-13,2808809
sv.wikipedia,2022-01-14,3199131
sv.wikipedia,2022-01-15,3369764
sv.wikipedia,2022-01-16,3178327
sv.wikipedia,2022-01-17,2936671
sv.wikipedia,2022-01-18,2904088
sv.wikipedia,2022-01-19,2889893
sv.wikipedia,2022-01-20,2882362
sv.wikipedia,2022-01-21,3260773
sv.wikipedia,2022-01-22,3371300
sv.wikipedia,2022-01-23,3221408
sv.wikipedia,2022-01-24,3022706
sv.wikipedia,2022-01-25,2859813
sv.wikipedia,2022-01-26,2991556
sv.wikipedia,2022-01-27,2944626
sv.wikipedia,2022-01-28,3213672
sv.wikipedia,2022-01-29,3353402
sv.wikipedia,2022-01-30,3299499
sv.wikipedia,2022-01-31,2861812
sv.wikipedia,2022-02-01,2857308
sv.wikipedia,2022-02-02,2844305
sv.wikipedia,2022-02-03,2822088
sv.wikipedia,2022-02-04,3119970
sv.wikipedia,2022-02-05,3242342
sv.wikipedia,2022-02-06,3194041
sv.wikipedia,2022-02-07,2732004
sv.wikipedia,2022-02-08,2714072
sv.wikipedia,2022-02-09,2700962
sv.wikipedia,2022-02-10,2650332
sv.wikipedia,2022-02-11,2905738
sv.wikipedia,2022-02-12,3015295
sv.wikipedia,2022-02-13,2862956
sv.wikipedia,2022-02-14,2641587
sv.wikipedia,2022-02-15,2618601
sv.wikipedia,2022-02-16,2624404
sv.wikipedia,2022-02-17,2598176
sv.wikipedia,2022-02-18,2868967
sv.wikipedia,2022-02-19,3148601
sv.wikipedia,2022-02-20,2926408
sv.wikipedia,2022-02-21,2734334
sv.wikipedia,2022-02-22,2674462
sv.wikipedia,2022-02-23,2798225
sv.wikipedia,2022-02-24,3167837
sv.wikipedia,2022-02-25,3116861
sv.wikipedia,2022-02-26,3270255
sv.wikipedia,2022-02-27,3227425
sv.wikipedia,2022-02-28,2939442
sv.wikipedia,2022-03-01,2914718
sv.wikipedia,2022-03-02,2915594
sv.wikipedia,2022-03-03,2803570
sv.wikipedia,2022-03-04,2854211
sv.wikipedia,2022-03-05,3234711
sv.wikipedia,2022-03-06,2932712
sv.wikipedia,2022-03-07,2724147
sv.wikipedia,2022-03-08,2637142
sv.wikipedia,2022-03-09,2605816
sv.wikipedia,2022-03-10,2632274
sv.wikipedia,2022-03-11,2654042
sv.wikipedia,2022-03-12,3359981
sv.wikipedia,2022-03-13,2946964
sv.wikipedia,2022-03-14,2742608
sv.wikipedia,2022-03-15,2727210
sv.wikipedia,2022-03-16,2762684
sv.wikipedia,2022-03-17,2748127
sv.wikipedia,2022-03-18,2774396
sv.wikipedia,2022-03-19,2858077
sv.wikipedia,2022-03-20,2814380
sv.wikipedia,2022-03-21,2669969
sv.wikipedia,2022-03-22,2587676
