project,date,pageviews
ta.wikipedia,2022-01-01,317525
ta.wikipedia,2022-01-02,443660
ta.wikipedia,2022-01-03,465071
ta.wikipedia,2022-01-04,466393
ta.wikipedia,2022-01-05,428546
ta.wikipedia,2022-01-06,388870
ta.wikipedia,2022-01-07,388160
ta.wikipedia,2022-01-08,348405
ta.wikipedia,2022-01-09,394405
ta.wikipedia,2022-01-10,380623
ta.wikipedia,2022-01-11,376664
ta.wikipedia,2022-01-12,343317
ta.wikipedia,2022-01-13,275669
ta.wikipedia,2022-01-14,259126
ta.wikipedia,2022-01-15,288903
ta.wikipedia,2022-01-16,337460
ta.wikipedia,2022-01-17,323370
ta.wikipedia,2022-01-18,353157
ta.wikipedia,2022-01-19,355173
ta.wikipedia,2022-01-20,354152
ta.wikipedia,2022-01-21,362657
ta.wikipedia,2022-01-22,359696
ta.wikipedia,2022-01-23,388884
ta.wikipedia,2022-01-24,432364
ta.wikipedia,2022-01-25,437189
ta.wikipedia,2022-01-26,409243
ta.wikipedia,2022-01-27,420363
ta.wikipedia,2022-01-28,422696
ta.wikipedia,2022-01-29,405593
ta.wikipedia,2022-01-30,387719
ta.wikipedia,2022-01-31,411686
ta.wikipedia,2022-02-01,609306
ta.wikipedia,2022-02-02,559261
ta.wikipedia,2022-02-03,512383
ta.wikipedia,2022-02-04,526962
ta.wikipedia,2022-02-05,436314
ta.wikipedia,2022-02-06,439530
ta.wikipedia,2022-02-07,511475
ta.wikipedia,2022-02-08,541273
ta.wikipedia,2022-02-09,575003
ta.wikipedia,2022-02-10,526982
ta.wikipedia,2022-02-11,442318
ta.wikipedia,2022-02-12,460516
ta.wikipedia,2022-02-13,404018
ta.wikipedia,2022-02-14,498105
ta.wikipedia,2022-02-15,468536
ta.wikipedia,2022-02-16,459742
ta.wikipedia,2022-02-17,462808
ta.wikipedia,2022-02-18,417320
ta.wikipedia,2022-02-19,367641
ta.wikipedia,2022-02-20,402288
ta.wikipedia,2022-02-21,497631
ta.wikipedia,2022-02-22,471373
ta.wikipedia,2022-02-23,496269
ta.wikipedia,2022-02-24,530065
ta.wikipedia,2022-02-25,501856
ta.wikipedia,2022-02-26,466638
ta.wikipedia,2022-02-27,461074
ta.wikipedia,2022-02-28,492921
ta.wikipedia,2022-03-01,461366
ta.wikipedia,2022-03-02,440098
ta.wikipedia,2022-03-03,449092
ta.wikipedia,2022-03-04,468992
ta.wikipedia,2022-03-05,404929
ta.wikipedia,2022-03-06,411555
ta.wikipedia,2022-03-07,437874
ta.wikipedia,2022-03-08,408815
ta.wikipedia,2022-03-09,400190
ta.wikipedia,2022-03-10,397037
ta.wikipedia,2022-03-11,380495
ta.wikipedia,2022-03-12,349825
ta.wikipedia,2022-03-13,385572
ta.wikipedia,2022-03-14,390246
ta.wikipedia,2022-03-15,400150
ta.wikipedia,2022-03-16,385259
ta.wikipedia,2022-03-17,390692
ta.wikipedia,2022-03-18,364604
ta.wikipedia,2022-03-19,359585
ta.wikipedia,2022-03-20,418438
ta.wikipedia,2022-03-21,407546
ta.wikipedia,2022-03-22,427030
ta.wikipedia,2022-03-23,422027
ta.wikipedia,2022-03-24,420305
ta.wikipedia,2022-03-25,393586
ta.wikipedia,2022-03-26,357462
ta.wikipedia,2022-03-27,413182
ta.wikipedia,2022-03-28,410615
ta.wikipedia,2022-03-29,409487
ta.wikipedia,2022-03-30,390130
ta.wikipedia,2022-03-31,383701
ta.wikipedia,2022-04-01,342029
ta.wikipedia,2022-04-02,347262
ta.wikipedia,2022-04-03,398271
ta.wikipedia,2022-04-04,406503
ta.wikipedia,2022-04-05,397469
ta.wikipedia,2022-04-06,392333
ta.wikipedia,2022-04-07,411773
ta.wikipedia,2022-04-08,391687
ta.wikipedia,2022-04-09,368506
ta.wikipedia,2022-04-10,411421
ta.wikipedia,2022-04-11,411363
ta.wikipedia,2022-04-12,400578
ta.wikipedia,2022-04-13,339931
ta.wikipedia,2022-04-14,336689
ta.wikipedia,2022-04-15,359821
ta.wikipedia,2022-04-16,368855
ta.wikipedia,2022-04-17,419726
ta.wikipedia,2022-04-18,416343
ta.wikipedia,2022-04-19,431965
ta.wikipedia,2022-04-20,417239
ta.wikipedia,2022-04-21,397774
ta.wikipedia,2022-04-22,385706
ta.wikipedia,2022-04-23,366273
ta.wikipedia,2022-04-24,394911
ta.wikipedia,2022-04-25,392802
ta.wikipedia,2022-04-26,399045
ta.wikipedia,2022-04-27,385999
ta.wikipedia,2022-04-28,399061
ta.wikipedia,2022-04-29,369288
ta.wikipedia,2022-04-30,343665
ta.wikipedia,2022-05-01,341611
ta.wikipedia,2022-05-02,335700
ta.wikipedia,2022-05-03,356702
ta.wikipedia,2022-05-04,376938
ta.wikipedia,2022-05-05,393222
ta.wikipedia,2022-05-06,353942
ta.wikipedia,2022-05-07,328122
ta.wikipedia,2022-05-08,331723
ta.wikipedia,2022-05-09,399459
ta.wikipedia,2022-05-10,390031
ta.wikipedia,2022-05-11,381912
ta.wikipedia,2022-05-12,391017
ta.wikipedia,2022-05-13,364860
ta.wikipedia,2022-05-14,336064
ta.wikipedia,2022-05-15,340397
ta.wikipedia,2022-05-16,390538
ta.wikipedia,2022-05-17,389901
ta.wikipedia,2022-05-18,425356
ta.wikipedia,2022-05-19,404185
ta.wikipedia,2022-05-20,396391
ta.wikipedia,2022-05-21,463726
ta.wikipedia,2022-05-22,341731
ta.wikipedia,2022-05-23,371987
ta.wikipedia,2022-05-24,352528
ta.wikipedia,2022-05-25,344347
ta.wikipedia,2022-05-26,343611
ta.wikipedia,2022-05-27,334391
ta.wikipedia,2022-05-28,325786
ta.wikipedia,2022-05-29,317375
ta.wikipedia,2022-05-30,347992
ta.wikipedia,2022-05-31,344391
ta.wikipedia,2022-06-01,334405
ta.wikipedia,2022-06-02,328367
ta.wikipedia,2022-06-03,306719
ta.wikipedia,2022-06-04,310292
ta.wikipedia,2022-06-05,305638
ta.wikipedia,2022-06-06,348593
ta.wikipedia,2022-06-07,366417
ta.wikipedia,2022-06-08,335636
ta.wikipedia,2022-06-09,312912
ta.wikipedia,2022-06-10,302081
ta.wikipedia,2022-06-11,306656
ta.wikipedia,2022-06-12,326186
ta.wikipedia,2022-06-13,353034
ta.wikipedia,2022-06-14,404588
ta.wikipedia,2022-06-15,399936
ta.wikipedia,2022-06-16,393805
ta.wikipedia,2022-06-17,369012
ta.wikipedia,2022-06-18,349124
ta.wikipedia,2022-06-19,366417
ta.wikipedia,2022-06-20,383434
ta.wikipedia,2022-06-21,425434
ta.wikipedia,2022-06-22,435601
ta.wikipedia,2022-06-23,406588
ta.wikipedia,2022-06-24,378544
ta.wikipedia,2022-06-25,365426
ta.wikipedia,2022-06-26,375981
ta.wikipedia,2022-06-27,388250
ta.wikipedia,2022-06-28,413586
ta.wikipedia,2022-06-29,419171
ta.wikipedia,2022-06-30,403521
ta.wikipedia,2022-07-01,358617
