project,iso2,year,month,pageviews_ceil
tcy.wikipedia,IN,2022,1,48000
tcy.wikipedia,US,2022,1,12000
tcy.wikipedia,FR,2022,1,6000
tcy.wikipedia,CA,2022,1,3000
tcy.wikipedia,DE,2022,1,3000
tcy.wikipedia,SG,2022,1,2000
tcy.wikipedia,NL,2022,1,2000
tcy.wikipedia,IR,2022,1,1000
tcy.wikipedia,RU,2022,1,1000
tcy.wikipedia,PL,2022,1,1000
tcy.wikipedia,GB,2022,1,1000
tcy.wikipedia,HK,2022,1,1000
tcy.wikipedia,JP,2022,1,1000
tcy.wikipedia,IT,2022,1,1000
tcy.wikipedia,--,2022,1,1000
tcy.wikipedia,FI,2022,1,1000
tcy.wikipedia,KR,2022,1,1000
tcy.wikipedia,BR,2022,1,1000
tcy.wikipedia,AE,2022,1,1000
tcy.wikipedia,ID,2022,1,1000
tcy.wikipedia,IN,2022,2,50000
tcy.wikipedia,US,2022,2,11000
tcy.wikipedia,FR,2022,2,5000
tcy.wikipedia,CA,2022,2,2000
tcy.wikipedia,NL,2022,2,2000
tcy.wikipedia,DE,2022,2,2000
tcy.wikipedia,SG,2022,2,2000
tcy.wikipedia,GB,2022,2,1000
tcy.wikipedia,RU,2022,2,1000
tcy.wikipedia,IR,2022,2,1000
tcy.wikipedia,BR,2022,2,1000
tcy.wikipedia,PL,2022,2,1000
tcy.wikipedia,--,2022,2,1000
tcy.wikipedia,IT,2022,2,1000
tcy.wikipedia,UA,2022,2,1000
tcy.wikipedia,ID,2022,2,1000
tcy.wikipedia,TR,2022,2,1000
tcy.wikipedia,AE,2022,2,1000
tcy.wikipedia,VN,2022,2,1000
tcy.wikipedia,AU,2022,2,1000
tcy.wikipedia,HK,2022,2,1000
tcy.wikipedia,JP,2022,2,1000
tcy.wikipedia,GR,2022,2,1000
tcy.wikipedia,IN,2022,3,30000
tcy.wikipedia,US,2022,3,11000
tcy.wikipedia,CA,2022,3,4000
tcy.wikipedia,FR,2022,3,3000
tcy.wikipedia,DE,2022,3,3000
tcy.wikipedia,NL,2022,3,2000
tcy.wikipedia,SG,2022,3,2000
tcy.wikipedia,RU,2022,3,1000
tcy.wikipedia,GB,2022,3,1000
tcy.wikipedia,IR,2022,3,1000
tcy.wikipedia,VN,2022,3,1000
tcy.wikipedia,AT,2022,3,1000
tcy.wikipedia,IT,2022,3,1000
tcy.wikipedia,PL,2022,3,1000
tcy.wikipedia,HK,2022,3,1000
tcy.wikipedia,GR,2022,3,1000
tcy.wikipedia,JP,2022,3,1000
tcy.wikipedia,TR,2022,3,1000
tcy.wikipedia,IE,2022,3,1000
tcy.wikipedia,AE,2022,3,1000
tcy.wikipedia,--,2022,3,1000
tcy.wikipedia,ID,2022,3,1000
tcy.wikipedia,BR,2022,3,1000
tcy.wikipedia,LV,2022,3,1000
tcy.wikipedia,KR,2022,3,1000
tcy.wikipedia,IN,2022,4,19000
tcy.wikipedia,US,2022,4,8000
tcy.wikipedia,CA,2022,4,4000
tcy.wikipedia,FR,2022,4,3000
tcy.wikipedia,DE,2022,4,3000
tcy.wikipedia,SG,2022,4,2000
tcy.wikipedia,NL,2022,4,1000
tcy.wikipedia,--,2022,4,1000
tcy.wikipedia,RU,2022,4,1000
tcy.wikipedia,GB,2022,4,1000
tcy.wikipedia,JP,2022,4,1000
tcy.wikipedia,HK,2022,4,1000
tcy.wikipedia,IR,2022,4,1000
tcy.wikipedia,IT,2022,4,1000
tcy.wikipedia,ID,2022,4,1000
tcy.wikipedia,PL,2022,4,1000
tcy.wikipedia,LT,2022,4,1000
tcy.wikipedia,TR,2022,4,1000
tcy.wikipedia,KR,2022,4,1000
tcy.wikipedia,EG,2022,4,1000
tcy.wikipedia,VN,2022,4,1000
tcy.wikipedia,MA,2022,4,1000
tcy.wikipedia,AT,2022,4,1000
tcy.wikipedia,DK,2022,4,1000
tcy.wikipedia,IN,2022,5,18000
tcy.wikipedia,US,2022,5,14000
tcy.wikipedia,CA,2022,5,5000
tcy.wikipedia,FR,2022,5,2000
tcy.wikipedia,DE,2022,5,2000
tcy.wikipedia,SG,2022,5,2000
tcy.wikipedia,UA,2022,5,2000
tcy.wikipedia,IT,2022,5,2000
tcy.wikipedia,NL,2022,5,1000
tcy.wikipedia,GB,2022,5,1000
tcy.wikipedia,RU,2022,5,1000
tcy.wikipedia,HK,2022,5,1000
tcy.wikipedia,--,2022,5,1000
tcy.wikipedia,PL,2022,5,1000
tcy.wikipedia,IR,2022,5,1000
tcy.wikipedia,KE,2022,5,1000
tcy.wikipedia,SE,2022,5,1000
tcy.wikipedia,ID,2022,5,1000
tcy.wikipedia,VN,2022,5,1000
tcy.wikipedia,JP,2022,5,1000
tcy.wikipedia,BR,2022,5,1000
tcy.wikipedia,AE,2022,5,1000
tcy.wikipedia,TR,2022,5,1000
tcy.wikipedia,IN,2022,6,29000
tcy.wikipedia,US,2022,6,20000
tcy.wikipedia,GB,2022,6,7000
