project,iso2,year,month,pageviews_ceil
te.wikipedia,IN,2022,1,4994000
te.wikipedia,US,2022,1,266000
te.wikipedia,NL,2022,1,23000
te.wikipedia,DE,2022,1,22000
te.wikipedia,SG,2022,1,22000
te.wikipedia,CA,2022,1,22000
te.wikipedia,FR,2022,1,19000
te.wikipedia,IR,2022,1,11000
te.wikipedia,GB,2022,1,9000
te.wikipedia,AU,2022,1,8000
te.wikipedia,TW,2022,1,8000
te.wikipedia,AE,2022,1,6000
te.wikipedia,RU,2022,1,5000
te.wikipedia,KW,2022,1,4000
te.wikipedia,JP,2022,1,4000
te.wikipedia,--,2022,1,3000
te.wikipedia,PL,2022,1,3000
te.wikipedia,FI,2022,1,3000
te.wikipedia,NZ,2022,1,3000
te.wikipedia,QA,2022,1,2000
te.wikipedia,SA,2022,1,2000
te.wikipedia,MY,2022,1,2000
te.wikipedia,HK,2022,1,2000
te.wikipedia,ID,2022,1,2000
te.wikipedia,IT,2022,1,2000
te.wikipedia,CZ,2022,1,2000
te.wikipedia,KR,2022,1,1000
te.wikipedia,BR,2022,1,1000
te.wikipedia,OM,2022,1,1000
te.wikipedia,BH,2022,1,1000
te.wikipedia,BE,2022,1,1000
te.wikipedia,SE,2022,1,1000
te.wikipedia,ES,2022,1,1000
te.wikipedia,VN,2022,1,1000
te.wikipedia,DK,2022,1,1000
te.wikipedia,UA,2022,1,1000
te.wikipedia,CH,2022,1,1000
te.wikipedia,CN,2022,1,1000
te.wikipedia,PH,2022,1,1000
te.wikipedia,TH,2022,1,1000
te.wikipedia,IL,2022,1,1000
te.wikipedia,BD,2022,1,1000
te.wikipedia,IE,2022,1,1000
te.wikipedia,PT,2022,1,1000
te.wikipedia,ZA,2022,1,1000
te.wikipedia,TR,2022,1,1000
te.wikipedia,NG,2022,1,1000
te.wikipedia,AT,2022,1,1000
te.wikipedia,UG,2022,1,1000
te.wikipedia,LV,2022,1,1000
te.wikipedia,NO,2022,1,1000
te.wikipedia,RO,2022,1,1000
te.wikipedia,SC,2022,1,1000
te.wikipedia,CO,2022,1,1000
te.wikipedia,BG,2022,1,1000
te.wikipedia,PK,2022,1,1000
te.wikipedia,IQ,2022,1,1000
te.wikipedia,MX,2022,1,1000
te.wikipedia,GR,2022,1,1000
te.wikipedia,MU,2022,1,1000
te.wikipedia,GH,2022,1,1000
te.wikipedia,EG,2022,1,1000
te.wikipedia,CD,2022,1,1000
te.wikipedia,LK,2022,1,1000
te.wikipedia,IN,2022,2,4603000
te.wikipedia,US,2022,2,232000
te.wikipedia,RU,2022,2,42000
te.wikipedia,SG,2022,2,26000
te.wikipedia,TW,2022,2,25000
te.wikipedia,FR,2022,2,22000
te.wikipedia,NL,2022,2,22000
te.wikipedia,UZ,2022,2,18000
te.wikipedia,DE,2022,2,17000
te.wikipedia,CA,2022,2,14000
te.wikipedia,PK,2022,2,14000
te.wikipedia,IR,2022,2,13000
te.wikipedia,KZ,2022,2,13000
te.wikipedia,GB,2022,2,11000
te.wikipedia,UA,2022,2,10000
te.wikipedia,AU,2022,2,9000
te.wikipedia,BY,2022,2,8000
te.wikipedia,TJ,2022,2,6000
te.wikipedia,AE,2022,2,5000
te.wikipedia,NZ,2022,2,4000
te.wikipedia,ID,2022,2,4000
te.wikipedia,KW,2022,2,4000
te.wikipedia,GE,2022,2,3000
te.wikipedia,PH,2022,2,3000
te.wikipedia,--,2022,2,3000
te.wikipedia,MN,2022,2,3000
te.wikipedia,KG,2022,2,3000
te.wikipedia,IT,2022,2,2000
te.wikipedia,VN,2022,2,2000
te.wikipedia,PL,2022,2,2000
te.wikipedia,JP,2022,2,2000
te.wikipedia,QA,2022,2,2000
te.wikipedia,SA,2022,2,2000
te.wikipedia,BR,2022,2,2000
