project,date,pageviews
th.wikipedia,2022-01-01,1325826
th.wikipedia,2022-01-02,1618930
th.wikipedia,2022-01-03,1707370
th.wikipedia,2022-01-04,2276329
th.wikipedia,2022-01-05,2436280
th.wikipedia,2022-01-06,2484200
th.wikipedia,2022-01-07,2444392
th.wikipedia,2022-01-08,1869972
th.wikipedia,2022-01-09,1930049
th.wikipedia,2022-01-10,2614920
th.wikipedia,2022-01-11,2592562
th.wikipedia,2022-01-12,2722420
th.wikipedia,2022-01-13,2624967
th.wikipedia,2022-01-14,2479958
th.wikipedia,2022-01-15,1945903
th.wikipedia,2022-01-16,2065791
th.wikipedia,2022-01-17,2536067
th.wikipedia,2022-01-18,2513298
th.wikipedia,2022-01-19,2459202
th.wikipedia,2022-01-20,2459119
th.wikipedia,2022-01-21,2297569
th.wikipedia,2022-01-22,1844211
th.wikipedia,2022-01-23,1916059
th.wikipedia,2022-01-24,2294266
th.wikipedia,2022-01-25,2269306
th.wikipedia,2022-01-26,2292160
th.wikipedia,2022-01-27,2256555
th.wikipedia,2022-01-28,2099495
th.wikipedia,2022-01-29,1734793
th.wikipedia,2022-01-30,1864042
th.wikipedia,2022-01-31,2063092
th.wikipedia,2022-02-01,2037359
th.wikipedia,2022-02-02,2111732
th.wikipedia,2022-02-03,2159378
th.wikipedia,2022-02-04,2014015
th.wikipedia,2022-02-05,1651756
th.wikipedia,2022-02-06,1778193
th.wikipedia,2022-02-07,2158026
th.wikipedia,2022-02-08,2146066
th.wikipedia,2022-02-09,2150062
th.wikipedia,2022-02-10,2144793
th.wikipedia,2022-02-11,2025359
th.wikipedia,2022-02-12,1682198
th.wikipedia,2022-02-13,1740255
th.wikipedia,2022-02-14,2113280
th.wikipedia,2022-02-15,2156868
th.wikipedia,2022-02-16,1897405
th.wikipedia,2022-02-17,2203967
th.wikipedia,2022-02-18,2133180
th.wikipedia,2022-02-19,1769957
th.wikipedia,2022-02-20,1908526
th.wikipedia,2022-02-21,2368381
th.wikipedia,2022-02-22,2378833
th.wikipedia,2022-02-23,2386760
th.wikipedia,2022-02-24,2521000
th.wikipedia,2022-02-25,2412034
th.wikipedia,2022-02-26,2033388
th.wikipedia,2022-02-27,2013968
th.wikipedia,2022-02-28,2555485
th.wikipedia,2022-03-01,2535275
th.wikipedia,2022-03-02,2609165
th.wikipedia,2022-03-03,2533487
th.wikipedia,2022-03-04,2333330
th.wikipedia,2022-03-05,1837195
th.wikipedia,2022-03-06,2076621
th.wikipedia,2022-03-07,2252071
th.wikipedia,2022-03-08,2214040
th.wikipedia,2022-03-09,2121738
th.wikipedia,2022-03-10,2142362
th.wikipedia,2022-03-11,1997794
th.wikipedia,2022-03-12,1602581
th.wikipedia,2022-03-13,1632387
th.wikipedia,2022-03-14,1895521
th.wikipedia,2022-03-15,1887294
th.wikipedia,2022-03-16,1839604
th.wikipedia,2022-03-17,1788302
th.wikipedia,2022-03-18,1671398
th.wikipedia,2022-03-19,1478595
th.wikipedia,2022-03-20,1488772
th.wikipedia,2022-03-21,1627025
th.wikipedia,2022-03-22,1632368
th.wikipedia,2022-03-23,1626081
th.wikipedia,2022-03-24,1599232
th.wikipedia,2022-03-25,1519013
th.wikipedia,2022-03-26,1472375
th.wikipedia,2022-03-27,1439939
th.wikipedia,2022-03-28,1502069
th.wikipedia,2022-03-29,1457634
th.wikipedia,2022-03-30,1459870
th.wikipedia,2022-03-31,1456386
th.wikipedia,2022-04-01,1401329
th.wikipedia,2022-04-02,1314688
th.wikipedia,2022-04-03,1306531
th.wikipedia,2022-04-04,1384391
th.wikipedia,2022-04-05,1421260
th.wikipedia,2022-04-06,1395626
th.wikipedia,2022-04-07,1436308
th.wikipedia,2022-04-08,1364592
th.wikipedia,2022-04-09,1312165
th.wikipedia,2022-04-10,1319417
th.wikipedia,2022-04-11,1334808
th.wikipedia,2022-04-12,1306401
th.wikipedia,2022-04-13,1282470
th.wikipedia,2022-04-14,1672113
th.wikipedia,2022-04-15,1437315
th.wikipedia,2022-04-16,1441432
th.wikipedia,2022-04-17,1446178
th.wikipedia,2022-04-18,1528139
th.wikipedia,2022-04-19,1530298
th.wikipedia,2022-04-20,1455510
th.wikipedia,2022-04-21,1480291
th.wikipedia,2022-04-22,1457327
th.wikipedia,2022-04-23,1434544
th.wikipedia,2022-04-24,1433824
th.wikipedia,2022-04-25,1473220
th.wikipedia,2022-04-26,1406143
th.wikipedia,2022-04-27,1412914
th.wikipedia,2022-04-28,1372217
th.wikipedia,2022-04-29,1348975
th.wikipedia,2022-04-30,1291356
th.wikipedia,2022-05-01,1266185
th.wikipedia,2022-05-02,1243913
th.wikipedia,2022-05-03,1279151
th.wikipedia,2022-05-04,1294548
th.wikipedia,2022-05-05,1335058
th.wikipedia,2022-05-06,1335224
th.wikipedia,2022-05-07,1264320
th.wikipedia,2022-05-08,1289740
th.wikipedia,2022-05-09,1304497
th.wikipedia,2022-05-10,1346934
th.wikipedia,2022-05-11,1321638
th.wikipedia,2022-05-12,1293328
th.wikipedia,2022-05-13,1231722
th.wikipedia,2022-05-14,1267946
th.wikipedia,2022-05-15,1270046
th.wikipedia,2022-05-16,1266174
th.wikipedia,2022-05-17,1399444
