project,iso2,year,month,pageviews_ceil
tk.wikipedia,TM,2022,1,128000
tk.wikipedia,US,2022,1,37000
tk.wikipedia,TR,2022,1,21000
tk.wikipedia,FR,2022,1,19000
tk.wikipedia,RU,2022,1,17000
tk.wikipedia,NL,2022,1,14000
tk.wikipedia,IR,2022,1,12000
tk.wikipedia,DE,2022,1,9000
tk.wikipedia,UZ,2022,1,8000
tk.wikipedia,CA,2022,1,8000
tk.wikipedia,SG,2022,1,5000
tk.wikipedia,AZ,2022,1,4000
tk.wikipedia,ID,2022,1,3000
tk.wikipedia,GB,2022,1,2000
tk.wikipedia,PL,2022,1,2000
tk.wikipedia,FI,2022,1,2000
tk.wikipedia,JP,2022,1,2000
tk.wikipedia,IT,2022,1,2000
tk.wikipedia,PE,2022,1,1000
tk.wikipedia,HK,2022,1,1000
tk.wikipedia,UA,2022,1,1000
tk.wikipedia,BR,2022,1,1000
tk.wikipedia,--,2022,1,1000
tk.wikipedia,BY,2022,1,1000
tk.wikipedia,CN,2022,1,1000
tk.wikipedia,KR,2022,1,1000
tk.wikipedia,IN,2022,1,1000
tk.wikipedia,KZ,2022,1,1000
tk.wikipedia,DK,2022,1,1000
tk.wikipedia,SE,2022,1,1000
tk.wikipedia,TW,2022,1,1000
tk.wikipedia,ES,2022,1,1000
tk.wikipedia,BE,2022,1,1000
tk.wikipedia,CZ,2022,1,1000
tk.wikipedia,IE,2022,1,1000
tk.wikipedia,AU,2022,1,1000
tk.wikipedia,VN,2022,1,1000
tk.wikipedia,EG,2022,1,1000
tk.wikipedia,HU,2022,1,1000
tk.wikipedia,PT,2022,1,1000
tk.wikipedia,RO,2022,1,1000
tk.wikipedia,CH,2022,1,1000
tk.wikipedia,IL,2022,1,1000
tk.wikipedia,TJ,2022,1,1000
tk.wikipedia,LV,2022,1,1000
tk.wikipedia,BG,2022,1,1000
tk.wikipedia,SC,2022,1,1000
tk.wikipedia,TH,2022,1,1000
tk.wikipedia,LT,2022,1,1000
tk.wikipedia,AT,2022,1,1000
tk.wikipedia,MY,2022,1,1000
tk.wikipedia,EE,2022,1,1000
tk.wikipedia,NO,2022,1,1000
tk.wikipedia,GR,2022,1,1000
tk.wikipedia,AE,2022,1,1000
tk.wikipedia,PK,2022,1,1000
