project,date,pageviews
tl.wikipedia,2022-01-01,43653
tl.wikipedia,2022-01-02,84107
tl.wikipedia,2022-01-03,119768
tl.wikipedia,2022-01-04,133603
tl.wikipedia,2022-01-05,141949
tl.wikipedia,2022-01-06,155584
tl.wikipedia,2022-01-07,132184
tl.wikipedia,2022-01-08,102614
tl.wikipedia,2022-01-09,123141
tl.wikipedia,2022-01-10,161701
tl.wikipedia,2022-01-11,162979
tl.wikipedia,2022-01-12,161645
tl.wikipedia,2022-01-13,171178
tl.wikipedia,2022-01-14,131142
tl.wikipedia,2022-01-15,92066
tl.wikipedia,2022-01-16,98904
tl.wikipedia,2022-01-17,114322
tl.wikipedia,2022-01-18,112382
tl.wikipedia,2022-01-19,120974
tl.wikipedia,2022-01-20,123549
tl.wikipedia,2022-01-21,104715
tl.wikipedia,2022-01-22,87073
tl.wikipedia,2022-01-23,99090
tl.wikipedia,2022-01-24,137232
tl.wikipedia,2022-01-25,145350
tl.wikipedia,2022-01-26,150963
tl.wikipedia,2022-01-27,159970
tl.wikipedia,2022-01-28,130430
tl.wikipedia,2022-01-29,97460
tl.wikipedia,2022-01-30,105073
tl.wikipedia,2022-01-31,123618
tl.wikipedia,2022-02-01,105811
tl.wikipedia,2022-02-02,132203
tl.wikipedia,2022-02-03,138880
tl.wikipedia,2022-02-04,121187
tl.wikipedia,2022-02-05,92733
tl.wikipedia,2022-02-06,112743
tl.wikipedia,2022-02-07,169664
tl.wikipedia,2022-02-08,183189
tl.wikipedia,2022-02-09,187810
tl.wikipedia,2022-02-10,194422
tl.wikipedia,2022-02-11,153675
tl.wikipedia,2022-02-12,116648
tl.wikipedia,2022-02-13,128632
tl.wikipedia,2022-02-14,151184
tl.wikipedia,2022-02-15,171810
tl.wikipedia,2022-02-16,171562
tl.wikipedia,2022-02-17,190509
tl.wikipedia,2022-02-18,156822
tl.wikipedia,2022-02-19,121411
tl.wikipedia,2022-02-20,132527
tl.wikipedia,2022-02-21,184157
tl.wikipedia,2022-02-22,194049
tl.wikipedia,2022-02-23,264996
tl.wikipedia,2022-02-24,237747
tl.wikipedia,2022-02-25,184619
tl.wikipedia,2022-02-26,162151
tl.wikipedia,2022-02-27,177517
tl.wikipedia,2022-02-28,233114
tl.wikipedia,2022-03-01,216895
tl.wikipedia,2022-03-02,245801
tl.wikipedia,2022-03-03,235078
tl.wikipedia,2022-03-04,199826
tl.wikipedia,2022-03-05,147298
tl.wikipedia,2022-03-06,149731
tl.wikipedia,2022-03-07,201757
tl.wikipedia,2022-03-08,201609
tl.wikipedia,2022-03-09,208133
tl.wikipedia,2022-03-10,206755
tl.wikipedia,2022-03-11,171426
tl.wikipedia,2022-03-12,129378
tl.wikipedia,2022-03-13,148424
tl.wikipedia,2022-03-14,194896
tl.wikipedia,2022-03-15,187487
tl.wikipedia,2022-03-16,190229
tl.wikipedia,2022-03-17,195471
tl.wikipedia,2022-03-18,151250
tl.wikipedia,2022-03-19,116119
tl.wikipedia,2022-03-20,126457
tl.wikipedia,2022-03-21,174481
tl.wikipedia,2022-03-22,171667
tl.wikipedia,2022-03-23,177053
tl.wikipedia,2022-03-24,184468
tl.wikipedia,2022-03-25,144928
tl.wikipedia,2022-03-26,109536
tl.wikipedia,2022-03-27,124598
tl.wikipedia,2022-03-28,165834
tl.wikipedia,2022-03-29,168005
tl.wikipedia,2022-03-30,174706
tl.wikipedia,2022-03-31,177265
tl.wikipedia,2022-04-01,137402
tl.wikipedia,2022-04-02,107793
tl.wikipedia,2022-04-03,125806
tl.wikipedia,2022-04-04,172283
tl.wikipedia,2022-04-05,178831
tl.wikipedia,2022-04-06,181994
tl.wikipedia,2022-04-07,198986
tl.wikipedia,2022-04-08,163143
tl.wikipedia,2022-04-09,105102
tl.wikipedia,2022-04-10,120336
tl.wikipedia,2022-04-11,183449
tl.wikipedia,2022-04-12,175590
tl.wikipedia,2022-04-13,129256
tl.wikipedia,2022-04-14,99929
tl.wikipedia,2022-04-15,98126
tl.wikipedia,2022-04-16,96549
tl.wikipedia,2022-04-17,114940
tl.wikipedia,2022-04-18,169667
tl.wikipedia,2022-04-19,188884
tl.wikipedia,2022-04-20,174350
tl.wikipedia,2022-04-21,176579
tl.wikipedia,2022-04-22,143398
tl.wikipedia,2022-04-23,104768
tl.wikipedia,2022-04-24,116437
tl.wikipedia,2022-04-25,159682
tl.wikipedia,2022-04-26,165580
tl.wikipedia,2022-04-27,159167
tl.wikipedia,2022-04-28,161902
tl.wikipedia,2022-04-29,126786
tl.wikipedia,2022-04-30,88250
tl.wikipedia,2022-05-01,85263
tl.wikipedia,2022-05-02,106733
tl.wikipedia,2022-05-03,102687
tl.wikipedia,2022-05-04,128082
tl.wikipedia,2022-05-05,132981
tl.wikipedia,2022-05-06,115206
tl.wikipedia,2022-05-07,88664
tl.wikipedia,2022-05-08,76919
tl.wikipedia,2022-05-09,106630
tl.wikipedia,2022-05-10,146677
tl.wikipedia,2022-05-11,148766
tl.wikipedia,2022-05-12,147204
