project,iso2,year,month,pageviews_ceil
tr.wikipedia,TR,2022,1,126207000
tr.wikipedia,DE,2022,1,3691000
tr.wikipedia,AZ,2022,1,3336000
tr.wikipedia,US,2022,1,1556000
tr.wikipedia,RU,2022,1,1235000
tr.wikipedia,NL,2022,1,1142000
tr.wikipedia,FR,2022,1,863000
tr.wikipedia,CY,2022,1,542000
tr.wikipedia,GB,2022,1,509000
tr.wikipedia,AT,2022,1,397000
tr.wikipedia,BE,2022,1,335000
tr.wikipedia,IR,2022,1,305000
tr.wikipedia,CA,2022,1,303000
tr.wikipedia,BG,2022,1,277000
tr.wikipedia,CH,2022,1,241000
tr.wikipedia,CZ,2022,1,175000
tr.wikipedia,SE,2022,1,164000
tr.wikipedia,BR,2022,1,164000
tr.wikipedia,IT,2022,1,164000
tr.wikipedia,ID,2022,1,160000
tr.wikipedia,GR,2022,1,154000
tr.wikipedia,PL,2022,1,150000
tr.wikipedia,TM,2022,1,149000
tr.wikipedia,RO,2022,1,140000
tr.wikipedia,UA,2022,1,130000
tr.wikipedia,GE,2022,1,119000
tr.wikipedia,IQ,2022,1,116000
tr.wikipedia,MK,2022,1,109000
tr.wikipedia,TW,2022,1,106000
tr.wikipedia,DK,2022,1,106000
tr.wikipedia,SG,2022,1,104000
tr.wikipedia,--,2022,1,100000
tr.wikipedia,ES,2022,1,99000
tr.wikipedia,HK,2022,1,94000
tr.wikipedia,UZ,2022,1,78000
tr.wikipedia,FI,2022,1,73000
tr.wikipedia,MY,2022,1,71000
tr.wikipedia,AU,2022,1,67000
tr.wikipedia,JP,2022,1,67000
tr.wikipedia,NO,2022,1,64000
tr.wikipedia,IN,2022,1,62000
tr.wikipedia,SA,2022,1,61000
tr.wikipedia,KZ,2022,1,60000
tr.wikipedia,RS,2022,1,59000
tr.wikipedia,HU,2022,1,53000
tr.wikipedia,IL,2022,1,52000
tr.wikipedia,AL,2022,1,51000
tr.wikipedia,PH,2022,1,44000
tr.wikipedia,AE,2022,1,43000
tr.wikipedia,TH,2022,1,41000
tr.wikipedia,BD,2022,1,38000
tr.wikipedia,BA,2022,1,36000
tr.wikipedia,DZ,2022,1,36000
tr.wikipedia,KG,2022,1,36000
tr.wikipedia,MX,2022,1,35000
tr.wikipedia,EG,2022,1,33000
tr.wikipedia,QA,2022,1,30000
tr.wikipedia,IE,2022,1,30000
tr.wikipedia,AR,2022,1,29000
tr.wikipedia,LU,2022,1,28000
tr.wikipedia,VN,2022,1,27000
tr.wikipedia,KR,2022,1,26000
tr.wikipedia,MA,2022,1,26000
tr.wikipedia,PK,2022,1,24000
tr.wikipedia,XK,2022,1,23000
tr.wikipedia,EC,2022,1,23000
tr.wikipedia,LT,2022,1,21000
tr.wikipedia,PT,2022,1,20000
