project,iso2,year,month,pageviews_ceil
tt.wikipedia,US,2022,1,144000
tt.wikipedia,RU,2022,1,138000
tt.wikipedia,SG,2022,1,35000
tt.wikipedia,DE,2022,1,31000
tt.wikipedia,CA,2022,1,29000
tt.wikipedia,FR,2022,1,28000
tt.wikipedia,IR,2022,1,25000
tt.wikipedia,TR,2022,1,18000
tt.wikipedia,NL,2022,1,15000
tt.wikipedia,GB,2022,1,10000
tt.wikipedia,FI,2022,1,6000
tt.wikipedia,JP,2022,1,5000
tt.wikipedia,PL,2022,1,5000
tt.wikipedia,UA,2022,1,4000
tt.wikipedia,IT,2022,1,3000
tt.wikipedia,--,2022,1,3000
tt.wikipedia,HK,2022,1,2000
tt.wikipedia,BE,2022,1,2000
tt.wikipedia,BR,2022,1,2000
tt.wikipedia,KG,2022,1,2000
tt.wikipedia,KZ,2022,1,2000
tt.wikipedia,ID,2022,1,2000
tt.wikipedia,KR,2022,1,2000
tt.wikipedia,DK,2022,1,2000
tt.wikipedia,IN,2022,1,2000
tt.wikipedia,TW,2022,1,1000
tt.wikipedia,VN,2022,1,1000
tt.wikipedia,ES,2022,1,1000
tt.wikipedia,BG,2022,1,1000
tt.wikipedia,RO,2022,1,1000
tt.wikipedia,CN,2022,1,1000
tt.wikipedia,AU,2022,1,1000
tt.wikipedia,CZ,2022,1,1000
tt.wikipedia,LV,2022,1,1000
tt.wikipedia,CH,2022,1,1000
tt.wikipedia,PT,2022,1,1000
tt.wikipedia,AZ,2022,1,1000
tt.wikipedia,IL,2022,1,1000
tt.wikipedia,SE,2022,1,1000
tt.wikipedia,CO,2022,1,1000
tt.wikipedia,AT,2022,1,1000
tt.wikipedia,BD,2022,1,1000
tt.wikipedia,UZ,2022,1,1000
tt.wikipedia,BY,2022,1,1000
tt.wikipedia,TH,2022,1,1000
tt.wikipedia,MY,2022,1,1000
tt.wikipedia,RS,2022,1,1000
tt.wikipedia,SI,2022,1,1000
tt.wikipedia,EE,2022,1,1000
tt.wikipedia,GR,2022,1,1000
tt.wikipedia,SC,2022,1,1000
tt.wikipedia,HU,2022,1,1000
tt.wikipedia,ZA,2022,1,1000
tt.wikipedia,NO,2022,1,1000
tt.wikipedia,GH,2022,1,1000
tt.wikipedia,KH,2022,1,1000
tt.wikipedia,LT,2022,1,1000
tt.wikipedia,MD,2022,1,1000
