project,iso2,year,month,pageviews_ceil
tw.wikipedia,GH,2022,1,10000
tw.wikipedia,US,2022,1,10000
tw.wikipedia,FR,2022,1,9000
tw.wikipedia,NL,2022,1,6000
tw.wikipedia,CA,2022,1,3000
tw.wikipedia,DE,2022,1,3000
tw.wikipedia,RU,2022,1,3000
tw.wikipedia,TR,2022,1,2000
tw.wikipedia,CH,2022,1,2000
tw.wikipedia,--,2022,1,2000
tw.wikipedia,UA,2022,1,2000
tw.wikipedia,SG,2022,1,2000
tw.wikipedia,IR,2022,1,1000
tw.wikipedia,HK,2022,1,1000
tw.wikipedia,PL,2022,1,1000
tw.wikipedia,IT,2022,1,1000
tw.wikipedia,GB,2022,1,1000
tw.wikipedia,SE,2022,1,1000
tw.wikipedia,FI,2022,1,1000
tw.wikipedia,JP,2022,1,1000
tw.wikipedia,CN,2022,1,1000
tw.wikipedia,TW,2022,1,1000
tw.wikipedia,KR,2022,1,1000
tw.wikipedia,KZ,2022,1,1000
tw.wikipedia,BR,2022,1,1000
tw.wikipedia,IL,2022,1,1000
tw.wikipedia,CZ,2022,1,1000
tw.wikipedia,BY,2022,1,1000
tw.wikipedia,IN,2022,1,1000
tw.wikipedia,DK,2022,1,1000
tw.wikipedia,LV,2022,1,1000
tw.wikipedia,ES,2022,1,1000
tw.wikipedia,VN,2022,1,1000
tw.wikipedia,IN,2022,2,31000
tw.wikipedia,RU,2022,2,16000
tw.wikipedia,GH,2022,2,15000
tw.wikipedia,TR,2022,2,13000
tw.wikipedia,US,2022,2,10000
tw.wikipedia,FR,2022,2,7000
tw.wikipedia,NL,2022,2,7000
tw.wikipedia,UZ,2022,2,6000
tw.wikipedia,PK,2022,2,5000
tw.wikipedia,KZ,2022,2,5000
tw.wikipedia,UA,2022,2,4000
tw.wikipedia,BY,2022,2,3000
tw.wikipedia,DE,2022,2,3000
tw.wikipedia,TJ,2022,2,2000
tw.wikipedia,CA,2022,2,2000
tw.wikipedia,SG,2022,2,2000
tw.wikipedia,BR,2022,2,2000
tw.wikipedia,IR,2022,2,2000
tw.wikipedia,GB,2022,2,2000
tw.wikipedia,--,2022,2,2000
tw.wikipedia,GE,2022,2,1000
tw.wikipedia,MN,2022,2,1000
tw.wikipedia,TW,2022,2,1000
tw.wikipedia,KG,2022,2,1000
tw.wikipedia,PH,2022,2,1000
tw.wikipedia,CN,2022,2,1000
tw.wikipedia,PL,2022,2,1000
tw.wikipedia,VN,2022,2,1000
tw.wikipedia,AF,2022,2,1000
tw.wikipedia,HK,2022,2,1000
tw.wikipedia,SE,2022,2,1000
tw.wikipedia,IT,2022,2,1000
tw.wikipedia,AU,2022,2,1000
tw.wikipedia,LK,2022,2,1000
tw.wikipedia,SC,2022,2,1000
tw.wikipedia,ES,2022,2,1000
tw.wikipedia,JP,2022,2,1000
tw.wikipedia,GR,2022,2,1000
tw.wikipedia,LV,2022,2,1000
tw.wikipedia,ID,2022,2,1000
tw.wikipedia,AZ,2022,2,1000
tw.wikipedia,AE,2022,2,1000
tw.wikipedia,KR,2022,2,1000
tw.wikipedia,ZA,2022,2,1000
tw.wikipedia,MD,2022,2,1000
tw.wikipedia,MM,2022,2,1000
tw.wikipedia,MY,2022,2,1000
tw.wikipedia,IE,2022,2,1000
tw.wikipedia,FI,2022,2,1000
tw.wikipedia,NO,2022,2,1000
tw.wikipedia,DK,2022,2,1000
tw.wikipedia,IL,2022,2,1000
tw.wikipedia,EG,2022,2,1000
tw.wikipedia,BD,2022,2,1000
tw.wikipedia,BH,2022,2,1000
tw.wikipedia,CH,2022,2,1000
tw.wikipedia,IN,2022,3,52000
tw.wikipedia,RU,2022,3,21000
tw.wikipedia,UZ,2022,3,13000
tw.wikipedia,US,2022,3,11000
tw.wikipedia,PK,2022,3,10000
tw.wikipedia,KZ,2022,3,8000
tw.wikipedia,GH,2022,3,8000
tw.wikipedia,TJ,2022,3,6000
tw.wikipedia,NL,2022,3,5000
tw.wikipedia,FR,2022,3,4000
tw.wikipedia,CA,2022,3,4000
tw.wikipedia,DE,2022,3,4000
tw.wikipedia,UA,2022,3,3000
tw.wikipedia,BY,2022,3,3000
tw.wikipedia,TR,2022,3,3000
tw.wikipedia,IR,2022,3,2000
tw.wikipedia,GE,2022,3,2000
tw.wikipedia,AF,2022,3,2000
tw.wikipedia,--,2022,3,2000
tw.wikipedia,GB,2022,3,2000
tw.wikipedia,SG,2022,3,2000
tw.wikipedia,SE,2022,3,2000
tw.wikipedia,KG,2022,3,2000
tw.wikipedia,VN,2022,3,1000
tw.wikipedia,MN,2022,3,1000
