project,iso2,year,month,pageviews_ceil
udm.wikipedia,US,2022,1,35000
udm.wikipedia,FR,2022,1,20000
udm.wikipedia,RU,2022,1,16000
udm.wikipedia,NL,2022,1,9000
udm.wikipedia,DE,2022,1,8000
udm.wikipedia,SG,2022,1,8000
udm.wikipedia,CA,2022,1,5000
udm.wikipedia,UA,2022,1,4000
udm.wikipedia,IR,2022,1,4000
udm.wikipedia,GB,2022,1,2000
udm.wikipedia,PL,2022,1,2000
udm.wikipedia,--,2022,1,2000
udm.wikipedia,JP,2022,1,1000
udm.wikipedia,FI,2022,1,1000
udm.wikipedia,HK,2022,1,1000
udm.wikipedia,AZ,2022,1,1000
udm.wikipedia,IT,2022,1,1000
udm.wikipedia,DK,2022,1,1000
udm.wikipedia,LV,2022,1,1000
udm.wikipedia,CN,2022,1,1000
udm.wikipedia,BY,2022,1,1000
udm.wikipedia,SE,2022,1,1000
udm.wikipedia,KG,2022,1,1000
udm.wikipedia,KZ,2022,1,1000
udm.wikipedia,KR,2022,1,1000
udm.wikipedia,BE,2022,1,1000
udm.wikipedia,BG,2022,1,1000
udm.wikipedia,BR,2022,1,1000
udm.wikipedia,TW,2022,1,1000
udm.wikipedia,ID,2022,1,1000
udm.wikipedia,IN,2022,1,1000
udm.wikipedia,CZ,2022,1,1000
udm.wikipedia,AM,2022,1,1000
udm.wikipedia,EE,2022,1,1000
udm.wikipedia,ES,2022,1,1000
udm.wikipedia,PT,2022,1,1000
udm.wikipedia,VN,2022,1,1000
udm.wikipedia,TR,2022,1,1000
udm.wikipedia,IL,2022,1,1000
udm.wikipedia,MD,2022,1,1000
udm.wikipedia,CH,2022,1,1000
udm.wikipedia,SC,2022,1,1000
udm.wikipedia,AU,2022,1,1000
udm.wikipedia,UZ,2022,1,1000
udm.wikipedia,LT,2022,1,1000
udm.wikipedia,GR,2022,1,1000
udm.wikipedia,US,2022,2,31000
udm.wikipedia,RU,2022,2,17000
udm.wikipedia,FR,2022,2,17000
udm.wikipedia,NL,2022,2,11000
udm.wikipedia,SG,2022,2,5000
udm.wikipedia,DE,2022,2,5000
udm.wikipedia,UA,2022,2,5000
udm.wikipedia,CA,2022,2,4000
udm.wikipedia,IR,2022,2,3000
udm.wikipedia,GB,2022,2,3000
udm.wikipedia,BR,2022,2,2000
udm.wikipedia,--,2022,2,2000
udm.wikipedia,PL,2022,2,2000
udm.wikipedia,AZ,2022,2,1000
udm.wikipedia,CZ,2022,2,1000
udm.wikipedia,IN,2022,2,1000
udm.wikipedia,KG,2022,2,1000
udm.wikipedia,ES,2022,2,1000
udm.wikipedia,IT,2022,2,1000
udm.wikipedia,KZ,2022,2,1000
udm.wikipedia,FI,2022,2,1000
udm.wikipedia,BY,2022,2,1000
udm.wikipedia,JP,2022,2,1000
udm.wikipedia,HK,2022,2,1000
udm.wikipedia,ID,2022,2,1000
udm.wikipedia,CN,2022,2,1000
udm.wikipedia,DK,2022,2,1000
udm.wikipedia,GR,2022,2,1000
udm.wikipedia,LV,2022,2,1000
udm.wikipedia,AM,2022,2,1000
udm.wikipedia,BG,2022,2,1000
udm.wikipedia,VN,2022,2,1000
udm.wikipedia,TR,2022,2,1000
udm.wikipedia,UZ,2022,2,1000
udm.wikipedia,EE,2022,2,1000
udm.wikipedia,CH,2022,2,1000
udm.wikipedia,AU,2022,2,1000
udm.wikipedia,SE,2022,2,1000
udm.wikipedia,IL,2022,2,1000
udm.wikipedia,LT,2022,2,1000
udm.wikipedia,SC,2022,2,1000
udm.wikipedia,GE,2022,2,1000
udm.wikipedia,KR,2022,2,1000
udm.wikipedia,MA,2022,2,1000
udm.wikipedia,TW,2022,2,1000
udm.wikipedia,US,2022,3,24000
udm.wikipedia,RU,2022,3,17000
udm.wikipedia,NL,2022,3,9000
udm.wikipedia,FR,2022,3,8000
udm.wikipedia,CA,2022,3,8000
udm.wikipedia,DE,2022,3,7000
udm.wikipedia,UA,2022,3,5000
udm.wikipedia,SG,2022,3,3000
udm.wikipedia,IR,2022,3,3000
udm.wikipedia,AT,2022,3,3000
udm.wikipedia,GB,2022,3,2000
udm.wikipedia,PL,2022,3,2000
udm.wikipedia,VN,2022,3,2000
udm.wikipedia,IN,2022,3,2000
udm.wikipedia,--,2022,3,1000
udm.wikipedia,IE,2022,3,1000
udm.wikipedia,AZ,2022,3,1000
udm.wikipedia,JP,2022,3,1000
udm.wikipedia,BY,2022,3,1000
udm.wikipedia,KZ,2022,3,1000
udm.wikipedia,LV,2022,3,1000
udm.wikipedia,IT,2022,3,1000
udm.wikipedia,KG,2022,3,1000
udm.wikipedia,ID,2022,3,1000
udm.wikipedia,AM,2022,3,1000
udm.wikipedia,GR,2022,3,1000
udm.wikipedia,HK,2022,3,1000
udm.wikipedia,TR,2022,3,1000
udm.wikipedia,UZ,2022,3,1000
udm.wikipedia,MY,2022,3,1000
udm.wikipedia,CZ,2022,3,1000
udm.wikipedia,BR,2022,3,1000
udm.wikipedia,IL,2022,3,1000
udm.wikipedia,RO,2022,3,1000
udm.wikipedia,FI,2022,3,1000
udm.wikipedia,CO,2022,3,1000
udm.wikipedia,GE,2022,3,1000
udm.wikipedia,SE,2022,3,1000
udm.wikipedia,DK,2022,3,1000
udm.wikipedia,ES,2022,3,1000
udm.wikipedia,BG,2022,3,1000
udm.wikipedia,PT,2022,3,1000
udm.wikipedia,KR,2022,3,1000
udm.wikipedia,LT,2022,3,1000
udm.wikipedia,AU,2022,3,1000
udm.wikipedia,MD,2022,3,1000
udm.wikipedia,NO,2022,3,1000
udm.wikipedia,EE,2022,3,1000
udm.wikipedia,PK,2022,3,1000
udm.wikipedia,TJ,2022,3,1000
udm.wikipedia,SC,2022,3,1000
udm.wikipedia,CN,2022,3,1000
udm.wikipedia,HU,2022,3,1000
udm.wikipedia,MX,2022,3,1000
udm.wikipedia,AE,2022,3,1000
udm.wikipedia,NG,2022,3,1000
udm.wikipedia,US,2022,4,24000
udm.wikipedia,RU,2022,4,15000
udm.wikipedia,CA,2022,4,7000
udm.wikipedia,NL,2022,4,7000
udm.wikipedia,DE,2022,4,6000
udm.wikipedia,FR,2022,4,5000
udm.wikipedia,UA,2022,4,5000
udm.wikipedia,SE,2022,4,3000
udm.wikipedia,SG,2022,4,3000
udm.wikipedia,--,2022,4,2000
udm.wikipedia,IR,2022,4,2000
udm.wikipedia,GB,2022,4,2000
udm.wikipedia,PL,2022,4,2000
udm.wikipedia,ID,2022,4,2000
udm.wikipedia,JP,2022,4,1000
udm.wikipedia,IN,2022,4,1000
udm.wikipedia,AZ,2022,4,1000
udm.wikipedia,KZ,2022,4,1000
udm.wikipedia,BY,2022,4,1000
udm.wikipedia,IT,2022,4,1000
udm.wikipedia,DK,2022,4,1000
udm.wikipedia,AT,2022,4,1000
udm.wikipedia,KG,2022,4,1000
udm.wikipedia,VN,2022,4,1000
udm.wikipedia,LV,2022,4,1000
udm.wikipedia,AM,2022,4,1000
udm.wikipedia,FI,2022,4,1000
udm.wikipedia,UZ,2022,4,1000
udm.wikipedia,HK,2022,4,1000
udm.wikipedia,CL,2022,4,1000
udm.wikipedia,BG,2022,4,1000
udm.wikipedia,TR,2022,4,1000
udm.wikipedia,KE,2022,4,1000
udm.wikipedia,IL,2022,4,1000
udm.wikipedia,AE,2022,4,1000
udm.wikipedia,CZ,2022,4,1000
udm.wikipedia,BR,2022,4,1000
udm.wikipedia,LT,2022,4,1000
udm.wikipedia,NO,2022,4,1000
udm.wikipedia,KR,2022,4,1000
udm.wikipedia,EG,2022,4,1000
udm.wikipedia,IE,2022,4,1000
udm.wikipedia,CO,2022,4,1000
udm.wikipedia,EE,2022,4,1000
udm.wikipedia,ES,2022,4,1000
udm.wikipedia,GE,2022,4,1000
udm.wikipedia,PK,2022,4,1000
udm.wikipedia,GR,2022,4,1000
udm.wikipedia,CH,2022,4,1000
udm.wikipedia,MA,2022,4,1000
udm.wikipedia,RO,2022,4,1000
udm.wikipedia,HR,2022,4,1000
udm.wikipedia,MD,2022,4,1000
udm.wikipedia,SC,2022,4,1000
udm.wikipedia,TJ,2022,4,1000
udm.wikipedia,BE,2022,4,1000
udm.wikipedia,PT,2022,4,1000
udm.wikipedia,US,2022,5,31000
udm.wikipedia,RU,2022,5,12000
udm.wikipedia,CA,2022,5,8000
udm.wikipedia,NL,2022,5,7000
udm.wikipedia,DE,2022,5,5000
udm.wikipedia,FR,2022,5,5000
udm.wikipedia,SG,2022,5,4000
udm.wikipedia,IR,2022,5,4000
udm.wikipedia,UA,2022,5,4000
udm.wikipedia,KE,2022,5,2000
udm.wikipedia,GB,2022,5,2000
udm.wikipedia,SE,2022,5,2000
udm.wikipedia,--,2022,5,2000
udm.wikipedia,PL,2022,5,2000
udm.wikipedia,IT,2022,5,2000
udm.wikipedia,IN,2022,5,1000
udm.wikipedia,ES,2022,5,1000
udm.wikipedia,HK,2022,5,1000
