project,iso2,year,month,pageviews_ceil
ur.wikipedia,PK,2022,1,1835000
ur.wikipedia,IN,2022,1,626000
ur.wikipedia,US,2022,1,457000
ur.wikipedia,IR,2022,1,92000
ur.wikipedia,CA,2022,1,63000
ur.wikipedia,IE,2022,1,50000
ur.wikipedia,DE,2022,1,46000
ur.wikipedia,SG,2022,1,44000
ur.wikipedia,SE,2022,1,39000
ur.wikipedia,FR,2022,1,39000
ur.wikipedia,SA,2022,1,36000
ur.wikipedia,GB,2022,1,31000
ur.wikipedia,AE,2022,1,23000
ur.wikipedia,DK,2022,1,22000
ur.wikipedia,NL,2022,1,20000
ur.wikipedia,TR,2022,1,20000
ur.wikipedia,BE,2022,1,11000
ur.wikipedia,JP,2022,1,10000
ur.wikipedia,RU,2022,1,10000
ur.wikipedia,BD,2022,1,9000
ur.wikipedia,--,2022,1,9000
ur.wikipedia,FI,2022,1,8000
ur.wikipedia,IT,2022,1,6000
ur.wikipedia,PL,2022,1,6000
ur.wikipedia,QA,2022,1,6000
ur.wikipedia,AF,2022,1,5000
ur.wikipedia,ES,2022,1,4000
ur.wikipedia,OM,2022,1,4000
ur.wikipedia,MY,2022,1,4000
ur.wikipedia,NP,2022,1,4000
ur.wikipedia,BH,2022,1,4000
ur.wikipedia,BR,2022,1,4000
ur.wikipedia,IQ,2022,1,4000
ur.wikipedia,AU,2022,1,3000
ur.wikipedia,HK,2022,1,3000
ur.wikipedia,ID,2022,1,3000
ur.wikipedia,KW,2022,1,3000
ur.wikipedia,EG,2022,1,3000
ur.wikipedia,TH,2022,1,3000
ur.wikipedia,KR,2022,1,2000
ur.wikipedia,TW,2022,1,2000
ur.wikipedia,GR,2022,1,2000
ur.wikipedia,NO,2022,1,2000
ur.wikipedia,VN,2022,1,2000
ur.wikipedia,CH,2022,1,2000
ur.wikipedia,PT,2022,1,2000
ur.wikipedia,UA,2022,1,2000
ur.wikipedia,IL,2022,1,2000
ur.wikipedia,ZA,2022,1,2000
ur.wikipedia,CN,2022,1,2000
ur.wikipedia,AT,2022,1,2000
ur.wikipedia,CZ,2022,1,1000
ur.wikipedia,RO,2022,1,1000
ur.wikipedia,NG,2022,1,1000
ur.wikipedia,NZ,2022,1,1000
ur.wikipedia,MA,2022,1,1000
ur.wikipedia,MM,2022,1,1000
ur.wikipedia,RS,2022,1,1000
ur.wikipedia,BG,2022,1,1000
ur.wikipedia,DZ,2022,1,1000
ur.wikipedia,SD,2022,1,1000
ur.wikipedia,AZ,2022,1,1000
ur.wikipedia,CL,2022,1,1000
ur.wikipedia,GH,2022,1,1000
ur.wikipedia,PH,2022,1,1000
ur.wikipedia,CO,2022,1,1000
ur.wikipedia,JO,2022,1,1000
ur.wikipedia,MX,2022,1,1000
ur.wikipedia,LV,2022,1,1000
ur.wikipedia,KG,2022,1,1000
ur.wikipedia,KZ,2022,1,1000
ur.wikipedia,TN,2022,1,1000
ur.wikipedia,KH,2022,1,1000
ur.wikipedia,HU,2022,1,1000
ur.wikipedia,AM,2022,1,1000
ur.wikipedia,MU,2022,1,1000
ur.wikipedia,LT,2022,1,1000
ur.wikipedia,BY,2022,1,1000
ur.wikipedia,UZ,2022,1,1000
ur.wikipedia,SC,2022,1,1000
ur.wikipedia,LK,2022,1,1000
ur.wikipedia,KE,2022,1,1000
ur.wikipedia,AR,2022,1,1000
ur.wikipedia,LY,2022,1,1000
ur.wikipedia,TZ,2022,1,1000
ur.wikipedia,ET,2022,1,1000
ur.wikipedia,HR,2022,1,1000
ur.wikipedia,YE,2022,1,1000
ur.wikipedia,CY,2022,1,1000
ur.wikipedia,EE,2022,1,1000
ur.wikipedia,CD,2022,1,1000
ur.wikipedia,SO,2022,1,1000
ur.wikipedia,LB,2022,1,1000
ur.wikipedia,SK,2022,1,1000
ur.wikipedia,GE,2022,1,1000
ur.wikipedia,UG,2022,1,1000
ur.wikipedia,PE,2022,1,1000
ur.wikipedia,CR,2022,1,1000
ur.wikipedia,LU,2022,1,1000
ur.wikipedia,MV,2022,1,1000
ur.wikipedia,SI,2022,1,1000
ur.wikipedia,TJ,2022,1,1000
ur.wikipedia,BN,2022,1,1000
ur.wikipedia,SY,2022,1,1000
ur.wikipedia,BA,2022,1,1000
ur.wikipedia,HN,2022,1,1000
ur.wikipedia,PK,2022,2,1690000
ur.wikipedia,IN,2022,2,607000
ur.wikipedia,US,2022,2,404000
ur.wikipedia,IE,2022,2,51000
ur.wikipedia,IR,2022,2,49000
ur.wikipedia,SG,2022,2,42000
ur.wikipedia,DE,2022,2,42000
ur.wikipedia,RU,2022,2,37000
ur.wikipedia,SE,2022,2,36000
ur.wikipedia,CA,2022,2,36000
ur.wikipedia,FR,2022,2,35000
ur.wikipedia,SA,2022,2,32000
ur.wikipedia,GB,2022,2,32000
ur.wikipedia,DK,2022,2,29000
ur.wikipedia,AE,2022,2,22000
ur.wikipedia,NL,2022,2,22000
ur.wikipedia,TR,2022,2,17000
ur.wikipedia,UZ,2022,2,11000
ur.wikipedia,--,2022,2,9000
ur.wikipedia,KZ,2022,2,9000
ur.wikipedia,UA,2022,2,9000
ur.wikipedia,BD,2022,2,8000
ur.wikipedia,JP,2022,2,8000
ur.wikipedia,IT,2022,2,7000
ur.wikipedia,BY,2022,2,7000
ur.wikipedia,NP,2022,2,6000
ur.wikipedia,ES,2022,2,5000
ur.wikipedia,FI,2022,2,5000
ur.wikipedia,QA,2022,2,5000
ur.wikipedia,ID,2022,2,5000
ur.wikipedia,AF,2022,2,5000
ur.wikipedia,BR,2022,2,4000
ur.wikipedia,AU,2022,2,4000
ur.wikipedia,PL,2022,2,4000
ur.wikipedia,IQ,2022,2,4000
ur.wikipedia,BE,2022,2,4000
ur.wikipedia,OM,2022,2,4000
ur.wikipedia,BH,2022,2,3000
ur.wikipedia,TJ,2022,2,3000
ur.wikipedia,MY,2022,2,3000
ur.wikipedia,HK,2022,2,3000
ur.wikipedia,EG,2022,2,3000
ur.wikipedia,GE,2022,2,3000
ur.wikipedia,KW,2022,2,3000
ur.wikipedia,VN,2022,2,3000
ur.wikipedia,CH,2022,2,3000
ur.wikipedia,GR,2022,2,3000
ur.wikipedia,KG,2022,2,2000
ur.wikipedia,PH,2022,2,2000
ur.wikipedia,NO,2022,2,2000
ur.wikipedia,MN,2022,2,2000
