project,date,pageviews
uz.wikipedia,2022-01-01,93193
uz.wikipedia,2022-01-02,113129
uz.wikipedia,2022-01-03,127673
uz.wikipedia,2022-01-04,141193
uz.wikipedia,2022-01-05,155781
uz.wikipedia,2022-01-06,161025
uz.wikipedia,2022-01-07,152927
uz.wikipedia,2022-01-08,151083
uz.wikipedia,2022-01-09,165727
uz.wikipedia,2022-01-10,142656
uz.wikipedia,2022-01-11,153899
uz.wikipedia,2022-01-12,166637
uz.wikipedia,2022-01-13,170454
uz.wikipedia,2022-01-14,143851
uz.wikipedia,2022-01-15,151410
uz.wikipedia,2022-01-16,143900
uz.wikipedia,2022-01-17,175802
uz.wikipedia,2022-01-18,172344
uz.wikipedia,2022-01-19,178524
uz.wikipedia,2022-01-20,183286
uz.wikipedia,2022-01-21,160289
uz.wikipedia,2022-01-22,156763
uz.wikipedia,2022-01-23,155176
uz.wikipedia,2022-01-24,309616
uz.wikipedia,2022-01-25,202769
uz.wikipedia,2022-01-26,326269
uz.wikipedia,2022-01-27,442333
uz.wikipedia,2022-01-28,443130
uz.wikipedia,2022-01-29,415779
uz.wikipedia,2022-01-30,235634
uz.wikipedia,2022-01-31,528058
uz.wikipedia,2022-02-01,453039
uz.wikipedia,2022-02-02,477806
uz.wikipedia,2022-02-03,424486
uz.wikipedia,2022-02-04,380538
uz.wikipedia,2022-02-05,290485
uz.wikipedia,2022-02-06,179520
uz.wikipedia,2022-02-07,332169
uz.wikipedia,2022-02-08,369512
uz.wikipedia,2022-02-09,399681
uz.wikipedia,2022-02-10,384648
uz.wikipedia,2022-02-11,374955
uz.wikipedia,2022-02-12,292726
uz.wikipedia,2022-02-13,259882
uz.wikipedia,2022-02-14,373618
uz.wikipedia,2022-02-15,375704
uz.wikipedia,2022-02-16,376130
uz.wikipedia,2022-02-17,400651
uz.wikipedia,2022-02-18,373365
uz.wikipedia,2022-02-19,264779
uz.wikipedia,2022-02-20,210926
uz.wikipedia,2022-02-21,330379
uz.wikipedia,2022-02-22,350246
uz.wikipedia,2022-02-23,419166
uz.wikipedia,2022-02-24,433386
uz.wikipedia,2022-02-25,380688
uz.wikipedia,2022-02-26,282674
uz.wikipedia,2022-02-27,249954
uz.wikipedia,2022-02-28,386932
uz.wikipedia,2022-03-01,355497
uz.wikipedia,2022-03-02,384168
uz.wikipedia,2022-03-03,374961
uz.wikipedia,2022-03-04,329165
uz.wikipedia,2022-03-05,240780
uz.wikipedia,2022-03-06,185916
uz.wikipedia,2022-03-07,186161
uz.wikipedia,2022-03-08,177777
uz.wikipedia,2022-03-09,308548
uz.wikipedia,2022-03-10,345784
uz.wikipedia,2022-03-11,340536
uz.wikipedia,2022-03-12,252571
uz.wikipedia,2022-03-13,235624
uz.wikipedia,2022-03-14,350673
uz.wikipedia,2022-03-15,356905
uz.wikipedia,2022-03-16,343723
uz.wikipedia,2022-03-17,328206
uz.wikipedia,2022-03-18,245561
uz.wikipedia,2022-03-19,155136
uz.wikipedia,2022-03-20,118140
uz.wikipedia,2022-03-21,116425
uz.wikipedia,2022-03-22,133795
uz.wikipedia,2022-03-23,158419
uz.wikipedia,2022-03-24,232265
uz.wikipedia,2022-03-25,232312
uz.wikipedia,2022-03-26,198365
uz.wikipedia,2022-03-27,164883
uz.wikipedia,2022-03-28,269067
uz.wikipedia,2022-03-29,304765
uz.wikipedia,2022-03-30,302882
uz.wikipedia,2022-03-31,314564
uz.wikipedia,2022-04-01,304661
uz.wikipedia,2022-04-02,228613
uz.wikipedia,2022-04-03,183661
uz.wikipedia,2022-04-04,296378
uz.wikipedia,2022-04-05,308765
uz.wikipedia,2022-04-06,311462
uz.wikipedia,2022-04-07,343004
uz.wikipedia,2022-04-08,339046
uz.wikipedia,2022-04-09,243412
uz.wikipedia,2022-04-10,179683
uz.wikipedia,2022-04-11,328058
uz.wikipedia,2022-04-12,331697
uz.wikipedia,2022-04-13,338545
uz.wikipedia,2022-04-14,351222
uz.wikipedia,2022-04-15,330780
uz.wikipedia,2022-04-16,240638
uz.wikipedia,2022-04-17,198040
uz.wikipedia,2022-04-18,329248
uz.wikipedia,2022-04-19,358059
uz.wikipedia,2022-04-20,363290
uz.wikipedia,2022-04-21,379748
uz.wikipedia,2022-04-22,344686
uz.wikipedia,2022-04-23,247851
uz.wikipedia,2022-04-24,189634
uz.wikipedia,2022-04-25,331064
uz.wikipedia,2022-04-26,350156
uz.wikipedia,2022-04-27,356200
uz.wikipedia,2022-04-28,343230
uz.wikipedia,2022-04-29,298073
uz.wikipedia,2022-04-30,181138
uz.wikipedia,2022-05-01,114485
uz.wikipedia,2022-05-02,105441
uz.wikipedia,2022-05-03,135408
uz.wikipedia,2022-05-04,161290
uz.wikipedia,2022-05-05,248801
uz.wikipedia,2022-05-06,257598
uz.wikipedia,2022-05-07,197483
uz.wikipedia,2022-05-08,133300
uz.wikipedia,2022-05-09,173764
uz.wikipedia,2022-05-10,292263
