project,iso2,year,month,pageviews_ceil
vi.wikipedia,VN,2022,1,63386000
vi.wikipedia,US,2022,1,1982000
vi.wikipedia,RU,2022,1,1592000
vi.wikipedia,JP,2022,1,484000
vi.wikipedia,DE,2022,1,349000
vi.wikipedia,CA,2022,1,341000
vi.wikipedia,HK,2022,1,323000
vi.wikipedia,SG,2022,1,281000
vi.wikipedia,TW,2022,1,264000
vi.wikipedia,FR,2022,1,240000
vi.wikipedia,AU,2022,1,199000
vi.wikipedia,KR,2022,1,162000
vi.wikipedia,ID,2022,1,157000
vi.wikipedia,BR,2022,1,144000
vi.wikipedia,GB,2022,1,110000
vi.wikipedia,MY,2022,1,91000
vi.wikipedia,NL,2022,1,84000
vi.wikipedia,TH,2022,1,76000
vi.wikipedia,IR,2022,1,72000
vi.wikipedia,CZ,2022,1,62000
vi.wikipedia,PH,2022,1,57000
vi.wikipedia,--,2022,1,54000
vi.wikipedia,KH,2022,1,51000
vi.wikipedia,FI,2022,1,41000
vi.wikipedia,SE,2022,1,35000
vi.wikipedia,PL,2022,1,33000
vi.wikipedia,IN,2022,1,29000
vi.wikipedia,BD,2022,1,28000
vi.wikipedia,TR,2022,1,26000
vi.wikipedia,IT,2022,1,24000
vi.wikipedia,NZ,2022,1,21000
vi.wikipedia,EC,2022,1,21000
vi.wikipedia,ES,2022,1,21000
vi.wikipedia,UA,2022,1,21000
vi.wikipedia,LA,2022,1,20000
vi.wikipedia,BE,2022,1,18000
vi.wikipedia,NO,2022,1,18000
vi.wikipedia,MX,2022,1,17000
vi.wikipedia,HU,2022,1,15000
vi.wikipedia,CH,2022,1,15000
vi.wikipedia,DK,2022,1,13000
vi.wikipedia,RO,2022,1,10000
vi.wikipedia,MO,2022,1,9000
vi.wikipedia,AR,2022,1,9000
vi.wikipedia,IL,2022,1,8000
vi.wikipedia,AT,2022,1,8000
vi.wikipedia,AE,2022,1,8000
vi.wikipedia,PK,2022,1,7000
vi.wikipedia,CO,2022,1,7000
vi.wikipedia,IQ,2022,1,7000
vi.wikipedia,ZA,2022,1,7000
vi.wikipedia,SK,2022,1,6000
vi.wikipedia,IE,2022,1,6000
vi.wikipedia,PT,2022,1,6000
vi.wikipedia,BG,2022,1,5000
vi.wikipedia,NP,2022,1,5000
vi.wikipedia,CY,2022,1,4000
vi.wikipedia,DZ,2022,1,4000
vi.wikipedia,PE,2022,1,4000
vi.wikipedia,CN,2022,1,4000
vi.wikipedia,CL,2022,1,4000
vi.wikipedia,NG,2022,1,4000
vi.wikipedia,EG,2022,1,4000
vi.wikipedia,LV,2022,1,4000
vi.wikipedia,GR,2022,1,4000
vi.wikipedia,MM,2022,1,4000
vi.wikipedia,LT,2022,1,3000
vi.wikipedia,QA,2022,1,3000
vi.wikipedia,BY,2022,1,3000
vi.wikipedia,UZ,2022,1,3000
vi.wikipedia,PY,2022,1,3000
vi.wikipedia,MA,2022,1,3000
vi.wikipedia,LU,2022,1,2000
vi.wikipedia,DO,2022,1,2000
vi.wikipedia,SA,2022,1,2000
vi.wikipedia,RS,2022,1,2000
vi.wikipedia,VE,2022,1,2000
vi.wikipedia,AO,2022,1,2000
vi.wikipedia,TN,2022,1,2000
vi.wikipedia,GH,2022,1,2000
vi.wikipedia,LK,2022,1,2000
vi.wikipedia,IS,2022,1,2000
vi.wikipedia,SN,2022,1,2000
vi.wikipedia,BA,2022,1,2000
vi.wikipedia,SC,2022,1,2000
vi.wikipedia,GE,2022,1,2000
vi.wikipedia,ET,2022,1,2000
vi.wikipedia,KE,2022,1,2000
vi.wikipedia,EE,2022,1,2000
vi.wikipedia,TG,2022,1,2000
vi.wikipedia,SI,2022,1,2000
vi.wikipedia,SV,2022,1,2000
vi.wikipedia,BH,2022,1,2000
vi.wikipedia,MD,2022,1,2000
vi.wikipedia,KZ,2022,1,1000
vi.wikipedia,CU,2022,1,1000
vi.wikipedia,MZ,2022,1,1000
vi.wikipedia,OM,2022,1,1000
vi.wikipedia,CI,2022,1,1000
vi.wikipedia,HR,2022,1,1000
vi.wikipedia,BN,2022,1,1000
vi.wikipedia,SO,2022,1,1000
vi.wikipedia,MN,2022,1,1000
vi.wikipedia,MT,2022,1,1000
vi.wikipedia,CR,2022,1,1000
vi.wikipedia,PA,2022,1,1000
vi.wikipedia,AZ,2022,1,1000
vi.wikipedia,AL,2022,1,1000
vi.wikipedia,UY,2022,1,1000
vi.wikipedia,KW,2022,1,1000
vi.wikipedia,HN,2022,1,1000
vi.wikipedia,GT,2022,1,1000
vi.wikipedia,JM,2022,1,1000
vi.wikipedia,MK,2022,1,1000
vi.wikipedia,BW,2022,1,1000
vi.wikipedia,BO,2022,1,1000
vi.wikipedia,NC,2022,1,1000
vi.wikipedia,KG,2022,1,1000
vi.wikipedia,JO,2022,1,1000
vi.wikipedia,UG,2022,1,1000
vi.wikipedia,MG,2022,1,1000
vi.wikipedia,CM,2022,1,1000
vi.wikipedia,PR,2022,1,1000
vi.wikipedia,AM,2022,1,1000
vi.wikipedia,TZ,2022,1,1000
vi.wikipedia,CD,2022,1,1000
vi.wikipedia,LB,2022,1,1000
vi.wikipedia,MU,2022,1,1000
vi.wikipedia,GA,2022,1,1000
vi.wikipedia,ML,2022,1,1000
vi.wikipedia,BJ,2022,1,1000
vi.wikipedia,GU,2022,1,1000
vi.wikipedia,LY,2022,1,1000
vi.wikipedia,SD,2022,1,1000
vi.wikipedia,MV,2022,1,1000
vi.wikipedia,TT,2022,1,1000
vi.wikipedia,CG,2022,1,1000
vi.wikipedia,GY,2022,1,1000
vi.wikipedia,VU,2022,1,1000
vi.wikipedia,SY,2022,1,1000
vi.wikipedia,NI,2022,1,1000
vi.wikipedia,GF,2022,1,1000
vi.wikipedia,BF,2022,1,1000
vi.wikipedia,RE,2022,1,1000
vi.wikipedia,SR,2022,1,1000
vi.wikipedia,SS,2022,1,1000
vi.wikipedia,XK,2022,1,1000
vi.wikipedia,TL,2022,1,1000
vi.wikipedia,ME,2022,1,1000
vi.wikipedia,GN,2022,1,1000
vi.wikipedia,BS,2022,1,1000
vi.wikipedia,HT,2022,1,1000
vi.wikipedia,PS,2022,1,1000
vi.wikipedia,ZM,2022,1,1000
vi.wikipedia,ZW,2022,1,1000
vi.wikipedia,BI,2022,1,1000
vi.wikipedia,GM,2022,1,1000
vi.wikipedia,LC,2022,1,1000
vi.wikipedia,VN,2022,2,52223000
vi.wikipedia,RU,2022,2,2315000
vi.wikipedia,US,2022,2,1552000
vi.wikipedia,BR,2022,2,504000
vi.wikipedia,JP,2022,2,421000
vi.wikipedia,DE,2022,2,318000
vi.wikipedia,SG,2022,2,272000
vi.wikipedia,HK,2022,2,267000
