project,iso2,year,month,pageviews_ceil
war.wikipedia,US,2022,1,142000
war.wikipedia,BR,2022,1,79000
war.wikipedia,ID,2022,1,73000
war.wikipedia,CA,2022,1,52000
war.wikipedia,TW,2022,1,49000
war.wikipedia,DE,2022,1,48000
war.wikipedia,HK,2022,1,40000
war.wikipedia,PH,2022,1,35000
war.wikipedia,MY,2022,1,34000
war.wikipedia,SG,2022,1,33000
war.wikipedia,FR,2022,1,22000
war.wikipedia,GB,2022,1,16000
war.wikipedia,RU,2022,1,16000
war.wikipedia,TH,2022,1,16000
war.wikipedia,BD,2022,1,14000
war.wikipedia,NL,2022,1,13000
war.wikipedia,IR,2022,1,13000
war.wikipedia,--,2022,1,13000
war.wikipedia,AU,2022,1,11000
war.wikipedia,VN,2022,1,11000
war.wikipedia,EC,2022,1,11000
war.wikipedia,JP,2022,1,10000
war.wikipedia,IN,2022,1,9000
war.wikipedia,MX,2022,1,8000
war.wikipedia,FI,2022,1,7000
war.wikipedia,ES,2022,1,7000
war.wikipedia,IT,2022,1,6000
war.wikipedia,UA,2022,1,5000
war.wikipedia,PL,2022,1,4000
war.wikipedia,AR,2022,1,4000
war.wikipedia,IQ,2022,1,4000
war.wikipedia,KR,2022,1,3000
war.wikipedia,CO,2022,1,3000
war.wikipedia,MO,2022,1,3000
war.wikipedia,PK,2022,1,3000
war.wikipedia,DK,2022,1,3000
war.wikipedia,ZA,2022,1,3000
war.wikipedia,TR,2022,1,2000
war.wikipedia,PT,2022,1,2000
war.wikipedia,NZ,2022,1,2000
war.wikipedia,BE,2022,1,2000
war.wikipedia,NO,2022,1,2000
war.wikipedia,NP,2022,1,2000
war.wikipedia,DZ,2022,1,2000
war.wikipedia,PE,2022,1,2000
war.wikipedia,RO,2022,1,2000
war.wikipedia,CN,2022,1,2000
war.wikipedia,SE,2022,1,2000
war.wikipedia,EG,2022,1,2000
war.wikipedia,KH,2022,1,2000
war.wikipedia,CZ,2022,1,2000
war.wikipedia,CH,2022,1,2000
war.wikipedia,CL,2022,1,2000
war.wikipedia,UZ,2022,1,2000
war.wikipedia,PY,2022,1,2000
war.wikipedia,GR,2022,1,2000
war.wikipedia,AT,2022,1,1000
war.wikipedia,HU,2022,1,1000
war.wikipedia,QA,2022,1,1000
war.wikipedia,AE,2022,1,1000
war.wikipedia,MA,2022,1,1000
war.wikipedia,BG,2022,1,1000
war.wikipedia,MM,2022,1,1000
war.wikipedia,VE,2022,1,1000
war.wikipedia,TN,2022,1,1000
war.wikipedia,IE,2022,1,1000
war.wikipedia,IL,2022,1,1000
war.wikipedia,DO,2022,1,1000
war.wikipedia,RS,2022,1,1000
war.wikipedia,BA,2022,1,1000
war.wikipedia,SK,2022,1,1000
war.wikipedia,LV,2022,1,1000
war.wikipedia,LU,2022,1,1000
war.wikipedia,ET,2022,1,1000
war.wikipedia,LA,2022,1,1000
war.wikipedia,TG,2022,1,1000
war.wikipedia,GE,2022,1,1000
war.wikipedia,NG,2022,1,1000
war.wikipedia,SN,2022,1,1000
war.wikipedia,BH,2022,1,1000
war.wikipedia,KE,2022,1,1000
war.wikipedia,UY,2022,1,1000
war.wikipedia,LT,2022,1,1000
war.wikipedia,BY,2022,1,1000
war.wikipedia,AL,2022,1,1000
war.wikipedia,PA,2022,1,1000
war.wikipedia,CR,2022,1,1000
war.wikipedia,JM,2022,1,1000
war.wikipedia,BN,2022,1,1000
war.wikipedia,MN,2022,1,1000
war.wikipedia,MD,2022,1,1000
war.wikipedia,HN,2022,1,1000
war.wikipedia,GH,2022,1,1000
war.wikipedia,HR,2022,1,1000
war.wikipedia,OM,2022,1,1000
war.wikipedia,GT,2022,1,1000
war.wikipedia,BO,2022,1,1000
war.wikipedia,LK,2022,1,1000
war.wikipedia,AO,2022,1,1000
war.wikipedia,PR,2022,1,1000
war.wikipedia,AZ,2022,1,1000
war.wikipedia,KZ,2022,1,1000
war.wikipedia,CI,2022,1,1000
war.wikipedia,MG,2022,1,1000
war.wikipedia,KW,2022,1,1000
war.wikipedia,MK,2022,1,1000
war.wikipedia,SA,2022,1,1000
war.wikipedia,SI,2022,1,1000
war.wikipedia,SV,2022,1,1000
war.wikipedia,JO,2022,1,1000
war.wikipedia,EE,2022,1,1000
war.wikipedia,UG,2022,1,1000
war.wikipedia,SC,2022,1,1000
war.wikipedia,AM,2022,1,1000
war.wikipedia,MT,2022,1,1000
war.wikipedia,LB,2022,1,1000
war.wikipedia,CY,2022,1,1000
war.wikipedia,GU,2022,1,1000
war.wikipedia,KG,2022,1,1000
war.wikipedia,CG,2022,1,1000
war.wikipedia,GY,2022,1,1000
war.wikipedia,BR,2022,2,378000
war.wikipedia,IN,2022,2,144000
war.wikipedia,US,2022,2,133000
war.wikipedia,RU,2022,2,77000
war.wikipedia,DE,2022,2,45000
war.wikipedia,UZ,2022,2,33000
war.wikipedia,CA,2022,2,26000
war.wikipedia,PK,2022,2,24000
war.wikipedia,PH,2022,2,24000
war.wikipedia,KZ,2022,2,22000
war.wikipedia,SG,2022,2,22000
war.wikipedia,FR,2022,2,20000
war.wikipedia,ID,2022,2,20000
war.wikipedia,TW,2022,2,18000
war.wikipedia,UA,2022,2,17000
war.wikipedia,BY,2022,2,17000
war.wikipedia,HK,2022,2,16000
war.wikipedia,IR,2022,2,15000
war.wikipedia,--,2022,2,13000
war.wikipedia,MY,2022,2,13000
war.wikipedia,GB,2022,2,13000
war.wikipedia,NL,2022,2,13000
war.wikipedia,TJ,2022,2,9000
war.wikipedia,EC,2022,2,7000
war.wikipedia,GE,2022,2,6000
war.wikipedia,AU,2022,2,6000
war.wikipedia,JP,2022,2,6000
war.wikipedia,AT,2022,2,6000
war.wikipedia,VN,2022,2,6000
war.wikipedia,BD,2022,2,5000
war.wikipedia,TH,2022,2,5000
war.wikipedia,MN,2022,2,5000
war.wikipedia,KG,2022,2,4000
war.wikipedia,IT,2022,2,4000
war.wikipedia,ES,2022,2,4000
war.wikipedia,FI,2022,2,4000
war.wikipedia,PL,2022,2,3000
war.wikipedia,LU,2022,2,3000
war.wikipedia,MX,2022,2,3000
war.wikipedia,TR,2022,2,3000
war.wikipedia,CH,2022,2,2000
war.wikipedia,AF,2022,2,2000
war.wikipedia,KR,2022,2,2000
war.wikipedia,NO,2022,2,2000
war.wikipedia,IQ,2022,2,2000
war.wikipedia,AR,2022,2,2000
war.wikipedia,CZ,2022,2,2000
war.wikipedia,CO,2022,2,2000
war.wikipedia,EG,2022,2,2000
war.wikipedia,DK,2022,2,2000
war.wikipedia,CN,2022,2,2000
war.wikipedia,RO,2022,2,2000
war.wikipedia,ZA,2022,2,2000
war.wikipedia,MD,2022,2,2000
war.wikipedia,SE,2022,2,2000
war.wikipedia,AZ,2022,2,2000
war.wikipedia,NZ,2022,2,1000
war.wikipedia,MM,2022,2,1000
war.wikipedia,AE,2022,2,1000
war.wikipedia,MO,2022,2,1000
war.wikipedia,GR,2022,2,1000
war.wikipedia,PT,2022,2,1000
war.wikipedia,IE,2022,2,1000
war.wikipedia,NP,2022,2,1000
war.wikipedia,CL,2022,2,1000
war.wikipedia,LK,2022,2,1000
war.wikipedia,AM,2022,2,1000
war.wikipedia,PE,2022,2,1000
war.wikipedia,SA,2022,2,1000
war.wikipedia,IL,2022,2,1000
war.wikipedia,PY,2022,2,1000
war.wikipedia,KH,2022,2,1000
war.wikipedia,DZ,2022,2,1000
war.wikipedia,BG,2022,2,1000
war.wikipedia,HU,2022,2,1000
war.wikipedia,DO,2022,2,1000
war.wikipedia,BE,2022,2,1000
war.wikipedia,NG,2022,2,1000
war.wikipedia,ET,2022,2,1000
war.wikipedia,MA,2022,2,1000
war.wikipedia,BH,2022,2,1000
war.wikipedia,SC,2022,2,1000
war.wikipedia,QA,2022,2,1000
war.wikipedia,KE,2022,2,1000
war.wikipedia,KW,2022,2,1000
war.wikipedia,TN,2022,2,1000
war.wikipedia,VE,2022,2,1000
war.wikipedia,SK,2022,2,1000
war.wikipedia,RS,2022,2,1000
war.wikipedia,GT,2022,2,1000
war.wikipedia,LV,2022,2,1000
war.wikipedia,BA,2022,2,1000
war.wikipedia,LT,2022,2,1000
war.wikipedia,CY,2022,2,1000
war.wikipedia,BO,2022,2,1000
war.wikipedia,NE,2022,2,1000
war.wikipedia,LA,2022,2,1000
war.wikipedia,SI,2022,2,1000
war.wikipedia,CR,2022,2,1000
war.wikipedia,RW,2022,2,1000
war.wikipedia,LY,2022,2,1000
war.wikipedia,TM,2022,2,1000
war.wikipedia,HR,2022,2,1000
war.wikipedia,HN,2022,2,1000
war.wikipedia,GU,2022,2,1000
war.wikipedia,PA,2022,2,1000
war.wikipedia,TG,2022,2,1000
war.wikipedia,UY,2022,2,1000
war.wikipedia,SN,2022,2,1000
war.wikipedia,BJ,2022,2,1000
war.wikipedia,JM,2022,2,1000
war.wikipedia,EE,2022,2,1000
war.wikipedia,JO,2022,2,1000
war.wikipedia,FM,2022,2,1000
war.wikipedia,IN,2022,3,274000
war.wikipedia,RU,2022,3,125000
war.wikipedia,BR,2022,3,101000
war.wikipedia,US,2022,3,88000
war.wikipedia,UZ,2022,3,77000
war.wikipedia,PK,2022,3,49000
war.wikipedia,KZ,2022,3,46000
war.wikipedia,DE,2022,3,40000
war.wikipedia,CA,2022,3,31000
war.wikipedia,IR,2022,3,31000
war.wikipedia,BY,2022,3,24000
war.wikipedia,PH,2022,3,23000
war.wikipedia,TJ,2022,3,19000
war.wikipedia,UA,2022,3,17000
war.wikipedia,FR,2022,3,16000
war.wikipedia,--,2022,3,15000
war.wikipedia,SG,2022,3,14000
war.wikipedia,NL,2022,3,13000
war.wikipedia,GE,2022,3,11000
war.wikipedia,ID,2022,3,10000
war.wikipedia,AT,2022,3,10000
war.wikipedia,GB,2022,3,9000
war.wikipedia,KG,2022,3,9000
war.wikipedia,MN,2022,3,7000
war.wikipedia,AF,2022,3,6000
war.wikipedia,VN,2022,3,6000
war.wikipedia,HK,2022,3,5000
war.wikipedia,TW,2022,3,5000
war.wikipedia,MY,2022,3,5000
war.wikipedia,TR,2022,3,5000
war.wikipedia,PL,2022,3,4000
war.wikipedia,JP,2022,3,4000
war.wikipedia,IE,2022,3,3000
war.wikipedia,IT,2022,3,3000
war.wikipedia,CH,2022,3,3000
war.wikipedia,ES,2022,3,3000
war.wikipedia,RO,2022,3,3000
war.wikipedia,LU,2022,3,3000
war.wikipedia,NO,2022,3,3000
war.wikipedia,BD,2022,3,3000
war.wikipedia,AZ,2022,3,3000
war.wikipedia,AU,2022,3,3000
war.wikipedia,TH,2022,3,3000
war.wikipedia,DK,2022,3,2000
war.wikipedia,SE,2022,3,2000
war.wikipedia,EC,2022,3,2000
war.wikipedia,MX,2022,3,2000
war.wikipedia,KR,2022,3,2000
war.wikipedia,GR,2022,3,2000
war.wikipedia,LV,2022,3,2000
war.wikipedia,TM,2022,3,2000
war.wikipedia,MD,2022,3,2000
war.wikipedia,ZA,2022,3,2000
war.wikipedia,IQ,2022,3,2000
war.wikipedia,SA,2022,3,2000
war.wikipedia,CZ,2022,3,2000
war.wikipedia,PT,2022,3,2000
war.wikipedia,AE,2022,3,1000
war.wikipedia,MM,2022,3,1000
war.wikipedia,EG,2022,3,1000
war.wikipedia,CO,2022,3,1000
war.wikipedia,IL,2022,3,1000
war.wikipedia,ET,2022,3,1000
war.wikipedia,NP,2022,3,1000
war.wikipedia,NG,2022,3,1000
war.wikipedia,AR,2022,3,1000
war.wikipedia,BE,2022,3,1000
war.wikipedia,CN,2022,3,1000
war.wikipedia,LK,2022,3,1000
war.wikipedia,NZ,2022,3,1000
war.wikipedia,PE,2022,3,1000
war.wikipedia,BH,2022,3,1000
war.wikipedia,FI,2022,3,1000
war.wikipedia,BG,2022,3,1000
war.wikipedia,AM,2022,3,1000
war.wikipedia,RS,2022,3,1000
war.wikipedia,KH,2022,3,1000
war.wikipedia,HU,2022,3,1000
war.wikipedia,LT,2022,3,1000
war.wikipedia,CY,2022,3,1000
war.wikipedia,CL,2022,3,1000
war.wikipedia,KE,2022,3,1000
war.wikipedia,CI,2022,3,1000
war.wikipedia,SK,2022,3,1000
war.wikipedia,CD,2022,3,1000
war.wikipedia,SC,2022,3,1000
war.wikipedia,MZ,2022,3,1000
war.wikipedia,OM,2022,3,1000
war.wikipedia,BT,2022,3,1000
war.wikipedia,DZ,2022,3,1000
war.wikipedia,MO,2022,3,1000
war.wikipedia,CR,2022,3,1000
war.wikipedia,MA,2022,3,1000
war.wikipedia,KW,2022,3,1000
war.wikipedia,HN,2022,3,1000
war.wikipedia,TZ,2022,3,1000
war.wikipedia,NE,2022,3,1000
war.wikipedia,PY,2022,3,1000
war.wikipedia,EE,2022,3,1000
war.wikipedia,HR,2022,3,1000
war.wikipedia,DO,2022,3,1000
war.wikipedia,VE,2022,3,1000
war.wikipedia,BA,2022,3,1000
war.wikipedia,CM,2022,3,1000
war.wikipedia,BJ,2022,3,1000
war.wikipedia,RW,2022,3,1000
war.wikipedia,ZM,2022,3,1000
war.wikipedia,GT,2022,3,1000
war.wikipedia,TN,2022,3,1000
war.wikipedia,YE,2022,3,1000
war.wikipedia,IS,2022,3,1000
war.wikipedia,IN,2022,4,163000
war.wikipedia,RU,2022,4,110000
war.wikipedia,US,2022,4,96000
war.wikipedia,UZ,2022,4,46000
war.wikipedia,CA,2022,4,37000
war.wikipedia,KZ,2022,4,33000
war.wikipedia,DE,2022,4,31000
war.wikipedia,BY,2022,4,23000
war.wikipedia,--,2022,4,21000
war.wikipedia,UA,2022,4,20000
war.wikipedia,NL,2022,4,18000
war.wikipedia,PK,2022,4,18000
war.wikipedia,PH,2022,4,17000
war.wikipedia,IR,2022,4,16000
war.wikipedia,FR,2022,4,16000
war.wikipedia,TJ,2022,4,12000
war.wikipedia,GE,2022,4,9000
war.wikipedia,SG,2022,4,8000
war.wikipedia,AT,2022,4,8000
