project,iso2,year,month,pageviews_ceil
wo.wikipedia,US,2022,1,14000
wo.wikipedia,TR,2022,1,14000
wo.wikipedia,FR,2022,1,12000
wo.wikipedia,NL,2022,1,7000
wo.wikipedia,SN,2022,1,6000
wo.wikipedia,DE,2022,1,5000
wo.wikipedia,CA,2022,1,3000
wo.wikipedia,SG,2022,1,2000
wo.wikipedia,IR,2022,1,2000
wo.wikipedia,RU,2022,1,2000
wo.wikipedia,PL,2022,1,1000
wo.wikipedia,--,2022,1,1000
wo.wikipedia,JP,2022,1,1000
wo.wikipedia,GB,2022,1,1000
wo.wikipedia,HK,2022,1,1000
wo.wikipedia,IT,2022,1,1000
wo.wikipedia,FI,2022,1,1000
wo.wikipedia,CN,2022,1,1000
wo.wikipedia,ES,2022,1,1000
wo.wikipedia,IN,2022,1,1000
wo.wikipedia,SE,2022,1,1000
wo.wikipedia,CH,2022,1,1000
wo.wikipedia,KR,2022,1,1000
wo.wikipedia,UA,2022,1,1000
wo.wikipedia,DK,2022,1,1000
wo.wikipedia,CZ,2022,1,1000
wo.wikipedia,BR,2022,1,1000
wo.wikipedia,ID,2022,1,1000
wo.wikipedia,TW,2022,1,1000
wo.wikipedia,LV,2022,1,1000
wo.wikipedia,BE,2022,1,1000
wo.wikipedia,AU,2022,1,1000
wo.wikipedia,PT,2022,1,1000
wo.wikipedia,VN,2022,1,1000
wo.wikipedia,PK,2022,1,1000
wo.wikipedia,MA,2022,1,1000
wo.wikipedia,IN,2022,2,65000
wo.wikipedia,RU,2022,2,29000
wo.wikipedia,UZ,2022,2,13000
wo.wikipedia,US,2022,2,13000
wo.wikipedia,PK,2022,2,10000
wo.wikipedia,KZ,2022,2,10000
wo.wikipedia,FR,2022,2,9000
wo.wikipedia,NL,2022,2,7000
wo.wikipedia,UA,2022,2,7000
wo.wikipedia,TR,2022,2,6000
wo.wikipedia,BY,2022,2,6000
wo.wikipedia,TJ,2022,2,5000
wo.wikipedia,DE,2022,2,4000
wo.wikipedia,SN,2022,2,3000
wo.wikipedia,IR,2022,2,3000
wo.wikipedia,GE,2022,2,3000
wo.wikipedia,CA,2022,2,2000
wo.wikipedia,MN,2022,2,2000
wo.wikipedia,BR,2022,2,2000
wo.wikipedia,GB,2022,2,2000
wo.wikipedia,SG,2022,2,2000
wo.wikipedia,PH,2022,2,2000
wo.wikipedia,KG,2022,2,2000
