project,iso2,year,month,pageviews_ceil
wuu.wikipedia,US,2022,1,128000
wuu.wikipedia,DE,2022,1,48000
wuu.wikipedia,SG,2022,1,32000
wuu.wikipedia,FR,2022,1,26000
wuu.wikipedia,CA,2022,1,21000
wuu.wikipedia,NL,2022,1,17000
wuu.wikipedia,IR,2022,1,17000
wuu.wikipedia,TW,2022,1,15000
wuu.wikipedia,--,2022,1,11000
wuu.wikipedia,GB,2022,1,10000
wuu.wikipedia,HK,2022,1,9000
wuu.wikipedia,JP,2022,1,9000
wuu.wikipedia,FI,2022,1,8000
wuu.wikipedia,RU,2022,1,8000
wuu.wikipedia,AU,2022,1,6000
wuu.wikipedia,PL,2022,1,5000
wuu.wikipedia,CN,2022,1,4000
wuu.wikipedia,MY,2022,1,3000
wuu.wikipedia,KR,2022,1,3000
wuu.wikipedia,DK,2022,1,2000
wuu.wikipedia,IT,2022,1,2000
wuu.wikipedia,ES,2022,1,2000
wuu.wikipedia,NO,2022,1,2000
wuu.wikipedia,ID,2022,1,2000
wuu.wikipedia,VN,2022,1,2000
wuu.wikipedia,TH,2022,1,2000
wuu.wikipedia,BR,2022,1,2000
wuu.wikipedia,PT,2022,1,2000
wuu.wikipedia,IN,2022,1,2000
wuu.wikipedia,LU,2022,1,1000
wuu.wikipedia,SE,2022,1,1000
wuu.wikipedia,BE,2022,1,1000
wuu.wikipedia,CH,2022,1,1000
wuu.wikipedia,UA,2022,1,1000
wuu.wikipedia,AT,2022,1,1000
wuu.wikipedia,TR,2022,1,1000
wuu.wikipedia,IL,2022,1,1000
wuu.wikipedia,MO,2022,1,1000
wuu.wikipedia,RO,2022,1,1000
wuu.wikipedia,CZ,2022,1,1000
wuu.wikipedia,MX,2022,1,1000
wuu.wikipedia,KH,2022,1,1000
wuu.wikipedia,PH,2022,1,1000
wuu.wikipedia,GH,2022,1,1000
wuu.wikipedia,NZ,2022,1,1000
wuu.wikipedia,SC,2022,1,1000
wuu.wikipedia,BG,2022,1,1000
wuu.wikipedia,BD,2022,1,1000
wuu.wikipedia,LV,2022,1,1000
wuu.wikipedia,CO,2022,1,1000
wuu.wikipedia,CL,2022,1,1000
wuu.wikipedia,HU,2022,1,1000
wuu.wikipedia,EG,2022,1,1000
wuu.wikipedia,AR,2022,1,1000
wuu.wikipedia,GR,2022,1,1000
wuu.wikipedia,MA,2022,1,1000
wuu.wikipedia,ZA,2022,1,1000
wuu.wikipedia,AE,2022,1,1000
wuu.wikipedia,SA,2022,1,1000
wuu.wikipedia,MD,2022,1,1000
wuu.wikipedia,RS,2022,1,1000
wuu.wikipedia,BY,2022,1,1000
wuu.wikipedia,KZ,2022,1,1000
wuu.wikipedia,IE,2022,1,1000
wuu.wikipedia,US,2022,2,132000
wuu.wikipedia,IN,2022,2,104000
wuu.wikipedia,RU,2022,2,53000
wuu.wikipedia,DE,2022,2,46000
wuu.wikipedia,SG,2022,2,30000
wuu.wikipedia,NL,2022,2,25000
wuu.wikipedia,FR,2022,2,23000
wuu.wikipedia,TW,2022,2,23000
wuu.wikipedia,UZ,2022,2,21000
wuu.wikipedia,KZ,2022,2,17000
wuu.wikipedia,IR,2022,2,17000
wuu.wikipedia,PK,2022,2,16000
wuu.wikipedia,--,2022,2,16000
wuu.wikipedia,CA,2022,2,14000
wuu.wikipedia,UA,2022,2,13000
wuu.wikipedia,BY,2022,2,12000
wuu.wikipedia,HK,2022,2,11000
wuu.wikipedia,GB,2022,2,11000
wuu.wikipedia,JP,2022,2,9000
wuu.wikipedia,AU,2022,2,9000
wuu.wikipedia,AT,2022,2,6000
wuu.wikipedia,TJ,2022,2,6000
wuu.wikipedia,CN,2022,2,6000
wuu.wikipedia,LU,2022,2,5000
wuu.wikipedia,GE,2022,2,4000
wuu.wikipedia,FI,2022,2,4000
wuu.wikipedia,PL,2022,2,4000
wuu.wikipedia,PH,2022,2,4000
wuu.wikipedia,MY,2022,2,3000
wuu.wikipedia,MN,2022,2,3000
wuu.wikipedia,KG,2022,2,3000
wuu.wikipedia,VN,2022,2,3000
wuu.wikipedia,IT,2022,2,3000
wuu.wikipedia,ID,2022,2,3000
wuu.wikipedia,ES,2022,2,3000
wuu.wikipedia,CH,2022,2,2000
wuu.wikipedia,KR,2022,2,2000
wuu.wikipedia,NO,2022,2,2000
wuu.wikipedia,BR,2022,2,2000
wuu.wikipedia,TR,2022,2,2000
wuu.wikipedia,SE,2022,2,2000
wuu.wikipedia,AF,2022,2,2000
