project,iso2,year,month,pageviews_ceil
xmf.wikipedia,US,2022,1,57000
xmf.wikipedia,GE,2022,1,39000
xmf.wikipedia,NL,2022,1,19000
xmf.wikipedia,DE,2022,1,15000
xmf.wikipedia,SG,2022,1,14000
xmf.wikipedia,FR,2022,1,12000
xmf.wikipedia,IR,2022,1,9000
xmf.wikipedia,CA,2022,1,8000
xmf.wikipedia,RU,2022,1,5000
xmf.wikipedia,FI,2022,1,3000
xmf.wikipedia,GB,2022,1,3000
xmf.wikipedia,JP,2022,1,2000
xmf.wikipedia,PL,2022,1,2000
xmf.wikipedia,--,2022,1,2000
xmf.wikipedia,IT,2022,1,2000
xmf.wikipedia,HK,2022,1,1000
xmf.wikipedia,BE,2022,1,1000
xmf.wikipedia,DK,2022,1,1000
xmf.wikipedia,IN,2022,1,1000
xmf.wikipedia,BR,2022,1,1000
xmf.wikipedia,PT,2022,1,1000
xmf.wikipedia,TW,2022,1,1000
xmf.wikipedia,ES,2022,1,1000
xmf.wikipedia,CN,2022,1,1000
xmf.wikipedia,UA,2022,1,1000
xmf.wikipedia,VN,2022,1,1000
xmf.wikipedia,KR,2022,1,1000
xmf.wikipedia,TR,2022,1,1000
xmf.wikipedia,ID,2022,1,1000
xmf.wikipedia,AU,2022,1,1000
xmf.wikipedia,GR,2022,1,1000
xmf.wikipedia,CZ,2022,1,1000
xmf.wikipedia,CH,2022,1,1000
xmf.wikipedia,IL,2022,1,1000
xmf.wikipedia,AZ,2022,1,1000
xmf.wikipedia,SE,2022,1,1000
xmf.wikipedia,TH,2022,1,1000
xmf.wikipedia,LV,2022,1,1000
xmf.wikipedia,RO,2022,1,1000
xmf.wikipedia,SC,2022,1,1000
xmf.wikipedia,CL,2022,1,1000
xmf.wikipedia,AR,2022,1,1000
xmf.wikipedia,MY,2022,1,1000
xmf.wikipedia,AT,2022,1,1000
xmf.wikipedia,RS,2022,1,1000
xmf.wikipedia,CO,2022,1,1000
xmf.wikipedia,IN,2022,2,116000
xmf.wikipedia,US,2022,2,64000
xmf.wikipedia,RU,2022,2,59000
xmf.wikipedia,GE,2022,2,42000
xmf.wikipedia,UZ,2022,2,24000
xmf.wikipedia,NL,2022,2,19000
xmf.wikipedia,KZ,2022,2,18000
xmf.wikipedia,PK,2022,2,18000
xmf.wikipedia,FR,2022,2,15000
xmf.wikipedia,UA,2022,2,13000
xmf.wikipedia,BY,2022,2,12000
xmf.wikipedia,DE,2022,2,11000
xmf.wikipedia,SG,2022,2,11000
xmf.wikipedia,IR,2022,2,10000
xmf.wikipedia,TJ,2022,2,7000
xmf.wikipedia,CA,2022,2,6000
xmf.wikipedia,GB,2022,2,5000
xmf.wikipedia,MN,2022,2,4000
xmf.wikipedia,KG,2022,2,4000
xmf.wikipedia,PH,2022,2,4000
xmf.wikipedia,--,2022,2,3000
xmf.wikipedia,BR,2022,2,3000
xmf.wikipedia,VN,2022,2,2000
xmf.wikipedia,ID,2022,2,2000
xmf.wikipedia,PL,2022,2,2000
xmf.wikipedia,FI,2022,2,2000
xmf.wikipedia,IT,2022,2,2000
xmf.wikipedia,TR,2022,2,2000
xmf.wikipedia,AF,2022,2,2000
xmf.wikipedia,ES,2022,2,2000
xmf.wikipedia,JP,2022,2,1000
xmf.wikipedia,MD,2022,2,1000
xmf.wikipedia,AZ,2022,2,1000
xmf.wikipedia,DK,2022,2,1000
xmf.wikipedia,AU,2022,2,1000
xmf.wikipedia,ZA,2022,2,1000
xmf.wikipedia,MM,2022,2,1000
xmf.wikipedia,EG,2022,2,1000
xmf.wikipedia,AM,2022,2,1000
xmf.wikipedia,HK,2022,2,1000
xmf.wikipedia,GR,2022,2,1000
xmf.wikipedia,LK,2022,2,1000
xmf.wikipedia,AE,2022,2,1000
xmf.wikipedia,TW,2022,2,1000
xmf.wikipedia,CN,2022,2,1000
xmf.wikipedia,IL,2022,2,1000
xmf.wikipedia,IE,2022,2,1000
xmf.wikipedia,SA,2022,2,1000
xmf.wikipedia,BH,2022,2,1000
xmf.wikipedia,MY,2022,2,1000
xmf.wikipedia,KR,2022,2,1000
xmf.wikipedia,NO,2022,2,1000
xmf.wikipedia,SC,2022,2,1000
xmf.wikipedia,PT,2022,2,1000
xmf.wikipedia,CH,2022,2,1000
xmf.wikipedia,KW,2022,2,1000
xmf.wikipedia,BD,2022,2,1000
xmf.wikipedia,ET,2022,2,1000
xmf.wikipedia,CY,2022,2,1000
xmf.wikipedia,LV,2022,2,1000
xmf.wikipedia,NG,2022,2,1000
xmf.wikipedia,CZ,2022,2,1000
xmf.wikipedia,SE,2022,2,1000
xmf.wikipedia,KE,2022,2,1000
xmf.wikipedia,NE,2022,2,1000
xmf.wikipedia,RO,2022,2,1000
xmf.wikipedia,MA,2022,2,1000
xmf.wikipedia,BJ,2022,2,1000
xmf.wikipedia,AT,2022,2,1000
xmf.wikipedia,FM,2022,2,1000
xmf.wikipedia,RW,2022,2,1000
xmf.wikipedia,BE,2022,2,1000
xmf.wikipedia,IN,2022,3,203000
xmf.wikipedia,RU,2022,3,85000
xmf.wikipedia,UZ,2022,3,52000
xmf.wikipedia,GE,2022,3,43000
xmf.wikipedia,US,2022,3,40000
xmf.wikipedia,PK,2022,3,37000
xmf.wikipedia,KZ,2022,3,33000
xmf.wikipedia,NL,2022,3,21000
xmf.wikipedia,TJ,2022,3,16000
xmf.wikipedia,DE,2022,3,15000
xmf.wikipedia,IR,2022,3,14000
xmf.wikipedia,BY,2022,3,14000
xmf.wikipedia,UA,2022,3,13000
xmf.wikipedia,FR,2022,3,12000
xmf.wikipedia,CA,2022,3,10000
xmf.wikipedia,SG,2022,3,6000
xmf.wikipedia,AT,2022,3,6000
xmf.wikipedia,KG,2022,3,6000
xmf.wikipedia,AF,2022,3,5000
xmf.wikipedia,MN,2022,3,5000
xmf.wikipedia,GB,2022,3,4000
xmf.wikipedia,PH,2022,3,4000
xmf.wikipedia,ID,2022,3,4000
xmf.wikipedia,VN,2022,3,4000
xmf.wikipedia,IE,2022,3,3000
xmf.wikipedia,TR,2022,3,3000
xmf.wikipedia,PL,2022,3,3000
xmf.wikipedia,AZ,2022,3,2000
xmf.wikipedia,IT,2022,3,2000
xmf.wikipedia,--,2022,3,2000
xmf.wikipedia,JP,2022,3,2000
xmf.wikipedia,TM,2022,3,2000
xmf.wikipedia,MY,2022,3,2000
xmf.wikipedia,GR,2022,3,1000
xmf.wikipedia,MD,2022,3,1000
xmf.wikipedia,BD,2022,3,1000
xmf.wikipedia,LV,2022,3,1000
xmf.wikipedia,ZA,2022,3,1000
xmf.wikipedia,NO,2022,3,1000
xmf.wikipedia,IQ,2022,3,1000
xmf.wikipedia,PT,2022,3,1000
xmf.wikipedia,DK,2022,3,1000
xmf.wikipedia,HK,2022,3,1000
xmf.wikipedia,KR,2022,3,1000
xmf.wikipedia,AE,2022,3,1000
xmf.wikipedia,ES,2022,3,1000
xmf.wikipedia,SA,2022,3,1000
xmf.wikipedia,MX,2022,3,1000
xmf.wikipedia,CZ,2022,3,1000
xmf.wikipedia,BH,2022,3,1000
xmf.wikipedia,RO,2022,3,1000
xmf.wikipedia,ET,2022,3,1000
xmf.wikipedia,TH,2022,3,1000
xmf.wikipedia,MM,2022,3,1000
xmf.wikipedia,CI,2022,3,1000
xmf.wikipedia,IL,2022,3,1000
xmf.wikipedia,NP,2022,3,1000
xmf.wikipedia,CD,2022,3,1000
xmf.wikipedia,NG,2022,3,1000
xmf.wikipedia,TW,2022,3,1000
xmf.wikipedia,BR,2022,3,1000
xmf.wikipedia,LK,2022,3,1000
xmf.wikipedia,FI,2022,3,1000
xmf.wikipedia,AU,2022,3,1000
xmf.wikipedia,CO,2022,3,1000
xmf.wikipedia,EG,2022,3,1000
xmf.wikipedia,CN,2022,3,1000
xmf.wikipedia,CY,2022,3,1000
xmf.wikipedia,NZ,2022,3,1000
xmf.wikipedia,ZM,2022,3,1000
xmf.wikipedia,KW,2022,3,1000
xmf.wikipedia,KE,2022,3,1000
xmf.wikipedia,CH,2022,3,1000
xmf.wikipedia,NE,2022,3,1000
xmf.wikipedia,OM,2022,3,1000
xmf.wikipedia,SC,2022,3,1000
xmf.wikipedia,AM,2022,3,1000
xmf.wikipedia,RW,2022,3,1000
xmf.wikipedia,SE,2022,3,1000
xmf.wikipedia,BT,2022,3,1000
xmf.wikipedia,BE,2022,3,1000
xmf.wikipedia,LT,2022,3,1000
xmf.wikipedia,SL,2022,3,1000
xmf.wikipedia,IN,2022,4,95000
xmf.wikipedia,RU,2022,4,67000
xmf.wikipedia,GE,2022,4,40000
xmf.wikipedia,US,2022,4,37000
xmf.wikipedia,UZ,2022,4,26000
xmf.wikipedia,KZ,2022,4,20000
xmf.wikipedia,UA,2022,4,15000
xmf.wikipedia,BY,2022,4,14000
xmf.wikipedia,NL,2022,4,13000
xmf.wikipedia,CA,2022,4,12000
xmf.wikipedia,DE,2022,4,10000
xmf.wikipedia,PK,2022,4,10000
xmf.wikipedia,FR,2022,4,10000
xmf.wikipedia,TJ,2022,4,9000
xmf.wikipedia,IR,2022,4,7000
xmf.wikipedia,SG,2022,4,6000
xmf.wikipedia,MN,2022,4,4000
xmf.wikipedia,AF,2022,4,4000
xmf.wikipedia,KG,2022,4,3000
xmf.wikipedia,PL,2022,4,3000
xmf.wikipedia,ID,2022,4,3000
xmf.wikipedia,GB,2022,4,3000
xmf.wikipedia,VN,2022,4,2000
xmf.wikipedia,JP,2022,4,2000
xmf.wikipedia,TR,2022,4,2000
xmf.wikipedia,IT,2022,4,2000
xmf.wikipedia,--,2022,4,2000
xmf.wikipedia,DK,2022,4,2000
xmf.wikipedia,PH,2022,4,2000
xmf.wikipedia,KE,2022,4,2000
xmf.wikipedia,KR,2022,4,1000
xmf.wikipedia,IQ,2022,4,1000
xmf.wikipedia,AZ,2022,4,1000
xmf.wikipedia,ZA,2022,4,1000
xmf.wikipedia,NO,2022,4,1000
xmf.wikipedia,AE,2022,4,1000
xmf.wikipedia,MY,2022,4,1000
xmf.wikipedia,SA,2022,4,1000
xmf.wikipedia,TM,2022,4,1000
xmf.wikipedia,HK,2022,4,1000
xmf.wikipedia,EG,2022,4,1000
xmf.wikipedia,BR,2022,4,1000
xmf.wikipedia,AM,2022,4,1000
xmf.wikipedia,TW,2022,4,1000
xmf.wikipedia,MD,2022,4,1000
xmf.wikipedia,OM,2022,4,1000
xmf.wikipedia,MM,2022,4,1000
xmf.wikipedia,ES,2022,4,1000
xmf.wikipedia,KW,2022,4,1000
xmf.wikipedia,IL,2022,4,1000
xmf.wikipedia,GR,2022,4,1000
xmf.wikipedia,BG,2022,4,1000
xmf.wikipedia,NG,2022,4,1000
xmf.wikipedia,JO,2022,4,1000
xmf.wikipedia,CY,2022,4,1000
xmf.wikipedia,GU,2022,4,1000
xmf.wikipedia,CZ,2022,4,1000
xmf.wikipedia,LK,2022,4,1000
xmf.wikipedia,SC,2022,4,1000
xmf.wikipedia,CO,2022,4,1000
xmf.wikipedia,SY,2022,4,1000
xmf.wikipedia,LT,2022,4,1000
xmf.wikipedia,RO,2022,4,1000
xmf.wikipedia,PT,2022,4,1000
xmf.wikipedia,SE,2022,4,1000
xmf.wikipedia,CH,2022,4,1000
xmf.wikipedia,AU,2022,4,1000
xmf.wikipedia,LV,2022,4,1000
xmf.wikipedia,TH,2022,4,1000
xmf.wikipedia,MA,2022,4,1000
xmf.wikipedia,HR,2022,4,1000
xmf.wikipedia,FI,2022,4,1000
xmf.wikipedia,BD,2022,4,1000
xmf.wikipedia,IE,2022,4,1000
xmf.wikipedia,MZ,2022,4,1000
xmf.wikipedia,VE,2022,4,1000
xmf.wikipedia,NZ,2022,4,1000
xmf.wikipedia,BE,2022,4,1000
xmf.wikipedia,BT,2022,4,1000
xmf.wikipedia,ET,2022,4,1000
xmf.wikipedia,IN,2022,5,96000
xmf.wikipedia,RU,2022,5,69000
xmf.wikipedia,US,2022,5,52000
xmf.wikipedia,GE,2022,5,43000
xmf.wikipedia,UZ,2022,5,27000
xmf.wikipedia,KZ,2022,5,20000
xmf.wikipedia,PK,2022,5,19000
xmf.wikipedia,BY,2022,5,14000
xmf.wikipedia,CA,2022,5,14000
xmf.wikipedia,IR,2022,5,14000
xmf.wikipedia,NL,2022,5,13000
xmf.wikipedia,FR,2022,5,11000
xmf.wikipedia,DE,2022,5,10000
xmf.wikipedia,UA,2022,5,10000
xmf.wikipedia,TJ,2022,5,8000
xmf.wikipedia,SG,2022,5,8000
xmf.wikipedia,KE,2022,5,5000
xmf.wikipedia,GB,2022,5,4000
xmf.wikipedia,KG,2022,5,4000
xmf.wikipedia,MN,2022,5,3000
xmf.wikipedia,PL,2022,5,3000
xmf.wikipedia,PH,2022,5,2000
xmf.wikipedia,HK,2022,5,2000
xmf.wikipedia,IT,2022,5,2000
