project,iso2,year,month,pageviews_ceil
yi.wikipedia,US,2022,1,69000
yi.wikipedia,IL,2022,1,37000
yi.wikipedia,NL,2022,1,19000
yi.wikipedia,DE,2022,1,18000
yi.wikipedia,CA,2022,1,17000
yi.wikipedia,FR,2022,1,16000
yi.wikipedia,IR,2022,1,13000
yi.wikipedia,SG,2022,1,13000
yi.wikipedia,BR,2022,1,6000
yi.wikipedia,GB,2022,1,5000
yi.wikipedia,RU,2022,1,4000
yi.wikipedia,PL,2022,1,3000
yi.wikipedia,JP,2022,1,3000
yi.wikipedia,FI,2022,1,3000
yi.wikipedia,--,2022,1,2000
yi.wikipedia,UA,2022,1,2000
yi.wikipedia,HK,2022,1,2000
yi.wikipedia,TW,2022,1,2000
yi.wikipedia,BE,2022,1,1000
yi.wikipedia,IT,2022,1,1000
yi.wikipedia,ID,2022,1,1000
yi.wikipedia,KR,2022,1,1000
yi.wikipedia,DK,2022,1,1000
yi.wikipedia,SE,2022,1,1000
yi.wikipedia,IN,2022,1,1000
yi.wikipedia,CH,2022,1,1000
yi.wikipedia,VN,2022,1,1000
yi.wikipedia,ES,2022,1,1000
yi.wikipedia,AU,2022,1,1000
yi.wikipedia,CN,2022,1,1000
yi.wikipedia,PT,2022,1,1000
yi.wikipedia,EG,2022,1,1000
yi.wikipedia,AT,2022,1,1000
yi.wikipedia,CZ,2022,1,1000
yi.wikipedia,TR,2022,1,1000
yi.wikipedia,LV,2022,1,1000
yi.wikipedia,BG,2022,1,1000
yi.wikipedia,TH,2022,1,1000
yi.wikipedia,RO,2022,1,1000
yi.wikipedia,MX,2022,1,1000
yi.wikipedia,CL,2022,1,1000
yi.wikipedia,CO,2022,1,1000
yi.wikipedia,SC,2022,1,1000
yi.wikipedia,IQ,2022,1,1000
yi.wikipedia,NO,2022,1,1000
yi.wikipedia,BY,2022,1,1000
yi.wikipedia,GR,2022,1,1000
yi.wikipedia,KZ,2022,1,1000
yi.wikipedia,MA,2022,1,1000
yi.wikipedia,HU,2022,1,1000
yi.wikipedia,GH,2022,1,1000
yi.wikipedia,MY,2022,1,1000
yi.wikipedia,IE,2022,1,1000
yi.wikipedia,AR,2022,1,1000
yi.wikipedia,US,2022,2,75000
yi.wikipedia,IN,2022,2,57000
yi.wikipedia,IL,2022,2,40000
yi.wikipedia,RU,2022,2,28000
yi.wikipedia,NL,2022,2,19000
yi.wikipedia,FR,2022,2,16000
yi.wikipedia,DE,2022,2,13000
yi.wikipedia,CA,2022,2,12000
yi.wikipedia,UZ,2022,2,12000
yi.wikipedia,SG,2022,2,10000
yi.wikipedia,IR,2022,2,9000
yi.wikipedia,PK,2022,2,9000
yi.wikipedia,KZ,2022,2,8000
yi.wikipedia,UA,2022,2,8000
yi.wikipedia,GB,2022,2,7000
yi.wikipedia,BY,2022,2,6000
yi.wikipedia,TJ,2022,2,4000
yi.wikipedia,BR,2022,2,3000
yi.wikipedia,PL,2022,2,3000
yi.wikipedia,--,2022,2,3000
yi.wikipedia,GE,2022,2,2000
yi.wikipedia,MN,2022,2,2000
yi.wikipedia,JP,2022,2,2000
yi.wikipedia,IT,2022,2,2000
yi.wikipedia,KG,2022,2,2000
yi.wikipedia,PH,2022,2,2000
yi.wikipedia,VN,2022,2,2000
yi.wikipedia,ID,2022,2,2000
yi.wikipedia,ES,2022,2,2000
yi.wikipedia,FI,2022,2,1000
yi.wikipedia,AF,2022,2,1000
yi.wikipedia,SE,2022,2,1000
yi.wikipedia,DK,2022,2,1000
yi.wikipedia,TR,2022,2,1000
yi.wikipedia,HK,2022,2,1000
yi.wikipedia,AU,2022,2,1000
yi.wikipedia,CH,2022,2,1000
yi.wikipedia,CN,2022,2,1000
yi.wikipedia,GR,2022,2,1000
yi.wikipedia,KR,2022,2,1000
yi.wikipedia,TW,2022,2,1000
yi.wikipedia,AT,2022,2,1000
yi.wikipedia,AE,2022,2,1000
yi.wikipedia,AZ,2022,2,1000
yi.wikipedia,LK,2022,2,1000
yi.wikipedia,IE,2022,2,1000
yi.wikipedia,MD,2022,2,1000
yi.wikipedia,ZA,2022,2,1000
yi.wikipedia,BD,2022,2,1000
yi.wikipedia,BE,2022,2,1000
yi.wikipedia,CZ,2022,2,1000
yi.wikipedia,MM,2022,2,1000
yi.wikipedia,PT,2022,2,1000
yi.wikipedia,NO,2022,2,1000
yi.wikipedia,EG,2022,2,1000
yi.wikipedia,MY,2022,2,1000
yi.wikipedia,RO,2022,2,1000
yi.wikipedia,LV,2022,2,1000
yi.wikipedia,SC,2022,2,1000
yi.wikipedia,MX,2022,2,1000
yi.wikipedia,MA,2022,2,1000
yi.wikipedia,SA,2022,2,1000
yi.wikipedia,BH,2022,2,1000
yi.wikipedia,AM,2022,2,1000
yi.wikipedia,KW,2022,2,1000
yi.wikipedia,KE,2022,2,1000
yi.wikipedia,PA,2022,2,1000
yi.wikipedia,NE,2022,2,1000
yi.wikipedia,AR,2022,2,1000
yi.wikipedia,SI,2022,2,1000
yi.wikipedia,HU,2022,2,1000
yi.wikipedia,LT,2022,2,1000
yi.wikipedia,CO,2022,2,1000
yi.wikipedia,TM,2022,2,1000
yi.wikipedia,TH,2022,2,1000
yi.wikipedia,FM,2022,2,1000
yi.wikipedia,IN,2022,3,96000
yi.wikipedia,US,2022,3,57000
yi.wikipedia,IL,2022,3,56000
yi.wikipedia,RU,2022,3,42000
yi.wikipedia,UZ,2022,3,24000
yi.wikipedia,DE,2022,3,21000
yi.wikipedia,CA,2022,3,21000
yi.wikipedia,NL,2022,3,19000
yi.wikipedia,PK,2022,3,19000
yi.wikipedia,IR,2022,3,18000
yi.wikipedia,KZ,2022,3,14000
yi.wikipedia,FR,2022,3,12000
yi.wikipedia,TJ,2022,3,10000
yi.wikipedia,AT,2022,3,6000
yi.wikipedia,UA,2022,3,6000
yi.wikipedia,BY,2022,3,6000
yi.wikipedia,GB,2022,3,6000
yi.wikipedia,SG,2022,3,6000
yi.wikipedia,GE,2022,3,4000
yi.wikipedia,AF,2022,3,3000
yi.wikipedia,PL,2022,3,3000
yi.wikipedia,VN,2022,3,3000
yi.wikipedia,IE,2022,3,3000
yi.wikipedia,KG,2022,3,3000
yi.wikipedia,PH,2022,3,2000
yi.wikipedia,MN,2022,3,2000
yi.wikipedia,JP,2022,3,2000
yi.wikipedia,ID,2022,3,2000
yi.wikipedia,TR,2022,3,2000
yi.wikipedia,AU,2022,3,2000
yi.wikipedia,SE,2022,3,2000
yi.wikipedia,IT,2022,3,2000
yi.wikipedia,HK,2022,3,2000
yi.wikipedia,LV,2022,3,2000
yi.wikipedia,GR,2022,3,1000
yi.wikipedia,--,2022,3,1000
yi.wikipedia,KR,2022,3,1000
yi.wikipedia,DK,2022,3,1000
yi.wikipedia,BR,2022,3,1000
yi.wikipedia,ES,2022,3,1000
yi.wikipedia,MY,2022,3,1000
yi.wikipedia,BD,2022,3,1000
yi.wikipedia,TM,2022,3,1000
yi.wikipedia,AZ,2022,3,1000
yi.wikipedia,CZ,2022,3,1000
yi.wikipedia,PT,2022,3,1000
yi.wikipedia,IQ,2022,3,1000
yi.wikipedia,CO,2022,3,1000
yi.wikipedia,CH,2022,3,1000
yi.wikipedia,ZA,2022,3,1000
yi.wikipedia,MX,2022,3,1000
yi.wikipedia,BE,2022,3,1000
yi.wikipedia,RO,2022,3,1000
yi.wikipedia,NO,2022,3,1000
yi.wikipedia,AE,2022,3,1000
yi.wikipedia,MD,2022,3,1000
yi.wikipedia,NG,2022,3,1000
yi.wikipedia,SA,2022,3,1000
yi.wikipedia,FI,2022,3,1000
yi.wikipedia,TW,2022,3,1000
yi.wikipedia,CY,2022,3,1000
yi.wikipedia,TH,2022,3,1000
yi.wikipedia,LK,2022,3,1000
yi.wikipedia,EG,2022,3,1000
yi.wikipedia,SC,2022,3,1000
yi.wikipedia,KE,2022,3,1000
yi.wikipedia,ET,2022,3,1000
yi.wikipedia,CD,2022,3,1000
yi.wikipedia,MM,2022,3,1000
yi.wikipedia,OM,2022,3,1000
yi.wikipedia,NZ,2022,3,1000
yi.wikipedia,HU,2022,3,1000
yi.wikipedia,LT,2022,3,1000
yi.wikipedia,CI,2022,3,1000
yi.wikipedia,CN,2022,3,1000
yi.wikipedia,BH,2022,3,1000
yi.wikipedia,NP,2022,3,1000
yi.wikipedia,NE,2022,3,1000
yi.wikipedia,BG,2022,3,1000
yi.wikipedia,AR,2022,3,1000
yi.wikipedia,KW,2022,3,1000
yi.wikipedia,PE,2022,3,1000
yi.wikipedia,DZ,2022,3,1000
yi.wikipedia,US,2022,4,55000
yi.wikipedia,IN,2022,4,46000
yi.wikipedia,RU,2022,4,35000
yi.wikipedia,IL,2022,4,32000
yi.wikipedia,CA,2022,4,21000
yi.wikipedia,DE,2022,4,16000
yi.wikipedia,UZ,2022,4,13000
yi.wikipedia,NL,2022,4,12000
yi.wikipedia,IR,2022,4,11000
yi.wikipedia,FR,2022,4,11000
yi.wikipedia,KZ,2022,4,10000
yi.wikipedia,UA,2022,4,9000
yi.wikipedia,BY,2022,4,7000
yi.wikipedia,TJ,2022,4,6000
yi.wikipedia,PK,2022,4,5000
yi.wikipedia,GB,2022,4,5000
yi.wikipedia,SG,2022,4,5000
yi.wikipedia,JP,2022,4,4000
yi.wikipedia,GE,2022,4,3000
yi.wikipedia,PL,2022,4,3000
yi.wikipedia,AF,2022,4,3000
yi.wikipedia,MN,2022,4,2000
yi.wikipedia,--,2022,4,2000
yi.wikipedia,ID,2022,4,2000
yi.wikipedia,VN,2022,4,2000
yi.wikipedia,TR,2022,4,2000
yi.wikipedia,SE,2022,4,2000
yi.wikipedia,IT,2022,4,2000
yi.wikipedia,KG,2022,4,2000
yi.wikipedia,DK,2022,4,2000
yi.wikipedia,KR,2022,4,1000
yi.wikipedia,KE,2022,4,1000
yi.wikipedia,PH,2022,4,1000
yi.wikipedia,HK,2022,4,1000
yi.wikipedia,BR,2022,4,1000
yi.wikipedia,NO,2022,4,1000
yi.wikipedia,AL,2022,4,1000
yi.wikipedia,CY,2022,4,1000
yi.wikipedia,CL,2022,4,1000
yi.wikipedia,ES,2022,4,1000
yi.wikipedia,AT,2022,4,1000
yi.wikipedia,IQ,2022,4,1000
yi.wikipedia,EG,2022,4,1000
yi.wikipedia,CH,2022,4,1000
yi.wikipedia,BG,2022,4,1000
yi.wikipedia,SA,2022,4,1000
yi.wikipedia,ZA,2022,4,1000
yi.wikipedia,AE,2022,4,1000
yi.wikipedia,CO,2022,4,1000
yi.wikipedia,AZ,2022,4,1000
yi.wikipedia,BE,2022,4,1000
yi.wikipedia,CZ,2022,4,1000
yi.wikipedia,PT,2022,4,1000
yi.wikipedia,LT,2022,4,1000
yi.wikipedia,MY,2022,4,1000
yi.wikipedia,TW,2022,4,1000
yi.wikipedia,GR,2022,4,1000
yi.wikipedia,RO,2022,4,1000
yi.wikipedia,TM,2022,4,1000
yi.wikipedia,MA,2022,4,1000
yi.wikipedia,LV,2022,4,1000
yi.wikipedia,FI,2022,4,1000
yi.wikipedia,AU,2022,4,1000
yi.wikipedia,HU,2022,4,1000
yi.wikipedia,OM,2022,4,1000
yi.wikipedia,SC,2022,4,1000
yi.wikipedia,MM,2022,4,1000
yi.wikipedia,HR,2022,4,1000
yi.wikipedia,AM,2022,4,1000
yi.wikipedia,NG,2022,4,1000
yi.wikipedia,MD,2022,4,1000
yi.wikipedia,MX,2022,4,1000
yi.wikipedia,TH,2022,4,1000
yi.wikipedia,GU,2022,4,1000
yi.wikipedia,AR,2022,4,1000
yi.wikipedia,IE,2022,4,1000
yi.wikipedia,LK,2022,4,1000
yi.wikipedia,JO,2022,4,1000
yi.wikipedia,KW,2022,4,1000
yi.wikipedia,US,2022,5,75000
yi.wikipedia,IN,2022,5,43000
yi.wikipedia,RU,2022,5,33000
yi.wikipedia,IL,2022,5,31000
yi.wikipedia,CA,2022,5,24000
yi.wikipedia,DE,2022,5,15000
yi.wikipedia,FR,2022,5,13000
yi.wikipedia,UZ,2022,5,12000
yi.wikipedia,NL,2022,5,10000
