project,iso2,year,month,pageviews_ceil
yo.wikipedia,US,2022,1,48000
yo.wikipedia,NL,2022,1,18000
yo.wikipedia,NG,2022,1,15000
yo.wikipedia,FR,2022,1,13000
yo.wikipedia,DE,2022,1,13000
yo.wikipedia,CA,2022,1,12000
yo.wikipedia,SG,2022,1,9000
yo.wikipedia,IR,2022,1,8000
yo.wikipedia,RU,2022,1,3000
yo.wikipedia,FI,2022,1,3000
yo.wikipedia,GB,2022,1,3000
yo.wikipedia,PL,2022,1,2000
yo.wikipedia,JP,2022,1,2000
yo.wikipedia,BR,2022,1,1000
yo.wikipedia,IT,2022,1,1000
yo.wikipedia,--,2022,1,1000
yo.wikipedia,HK,2022,1,1000
yo.wikipedia,CN,2022,1,1000
yo.wikipedia,DK,2022,1,1000
yo.wikipedia,AU,2022,1,1000
yo.wikipedia,TW,2022,1,1000
yo.wikipedia,KR,2022,1,1000
yo.wikipedia,PT,2022,1,1000
yo.wikipedia,IN,2022,1,1000
yo.wikipedia,CL,2022,1,1000
yo.wikipedia,BE,2022,1,1000
yo.wikipedia,ID,2022,1,1000
yo.wikipedia,ES,2022,1,1000
yo.wikipedia,VN,2022,1,1000
yo.wikipedia,CH,2022,1,1000
yo.wikipedia,CZ,2022,1,1000
yo.wikipedia,SE,2022,1,1000
yo.wikipedia,AT,2022,1,1000
yo.wikipedia,LV,2022,1,1000
yo.wikipedia,UA,2022,1,1000
yo.wikipedia,SC,2022,1,1000
yo.wikipedia,MY,2022,1,1000
yo.wikipedia,TH,2022,1,1000
yo.wikipedia,NO,2022,1,1000
yo.wikipedia,TR,2022,1,1000
yo.wikipedia,ZA,2022,1,1000
yo.wikipedia,BG,2022,1,1000
yo.wikipedia,IL,2022,1,1000
yo.wikipedia,BY,2022,1,1000
yo.wikipedia,RO,2022,1,1000
yo.wikipedia,IN,2022,2,132000
yo.wikipedia,RU,2022,2,66000
yo.wikipedia,US,2022,2,49000
yo.wikipedia,UZ,2022,2,30000
yo.wikipedia,KZ,2022,2,21000
yo.wikipedia,PK,2022,2,21000
yo.wikipedia,NG,2022,2,19000
yo.wikipedia,NL,2022,2,18000
yo.wikipedia,UA,2022,2,15000
yo.wikipedia,BY,2022,2,15000
yo.wikipedia,FR,2022,2,14000
yo.wikipedia,IR,2022,2,12000
yo.wikipedia,SG,2022,2,12000
yo.wikipedia,DE,2022,2,11000
yo.wikipedia,TJ,2022,2,9000
yo.wikipedia,CA,2022,2,8000
yo.wikipedia,GB,2022,2,5000
yo.wikipedia,GE,2022,2,5000
yo.wikipedia,MN,2022,2,4000
yo.wikipedia,KG,2022,2,4000
yo.wikipedia,PH,2022,2,4000
yo.wikipedia,BR,2022,2,3000
yo.wikipedia,VN,2022,2,3000
yo.wikipedia,TW,2022,2,2000
yo.wikipedia,ID,2022,2,2000
yo.wikipedia,AF,2022,2,2000
yo.wikipedia,PL,2022,2,2000
yo.wikipedia,FI,2022,2,2000
yo.wikipedia,--,2022,2,2000
yo.wikipedia,IT,2022,2,2000
yo.wikipedia,ES,2022,2,2000
yo.wikipedia,TR,2022,2,2000
yo.wikipedia,MD,2022,2,1000
yo.wikipedia,DK,2022,2,1000
yo.wikipedia,JP,2022,2,1000
yo.wikipedia,AZ,2022,2,1000
yo.wikipedia,AU,2022,2,1000
yo.wikipedia,EG,2022,2,1000
yo.wikipedia,ZA,2022,2,1000
yo.wikipedia,AE,2022,2,1000
yo.wikipedia,AM,2022,2,1000
yo.wikipedia,CN,2022,2,1000
yo.wikipedia,MM,2022,2,1000
yo.wikipedia,HK,2022,2,1000
yo.wikipedia,LK,2022,2,1000
yo.wikipedia,IE,2022,2,1000
yo.wikipedia,SA,2022,2,1000
yo.wikipedia,BH,2022,2,1000
yo.wikipedia,MY,2022,2,1000
yo.wikipedia,KR,2022,2,1000
yo.wikipedia,GR,2022,2,1000
yo.wikipedia,SC,2022,2,1000
yo.wikipedia,PT,2022,2,1000
yo.wikipedia,NO,2022,2,1000
yo.wikipedia,ET,2022,2,1000
yo.wikipedia,KW,2022,2,1000
yo.wikipedia,BD,2022,2,1000
yo.wikipedia,IL,2022,2,1000
yo.wikipedia,CZ,2022,2,1000
yo.wikipedia,LV,2022,2,1000
yo.wikipedia,NE,2022,2,1000
yo.wikipedia,CH,2022,2,1000
yo.wikipedia,AT,2022,2,1000
yo.wikipedia,CY,2022,2,1000
yo.wikipedia,BJ,2022,2,1000
yo.wikipedia,DZ,2022,2,1000
yo.wikipedia,LY,2022,2,1000
yo.wikipedia,RW,2022,2,1000
yo.wikipedia,KE,2022,2,1000
yo.wikipedia,RO,2022,2,1000
yo.wikipedia,MA,2022,2,1000
yo.wikipedia,TM,2022,2,1000
yo.wikipedia,SE,2022,2,1000
yo.wikipedia,FM,2022,2,1000
yo.wikipedia,CL,2022,2,1000
yo.wikipedia,SI,2022,2,1000
yo.wikipedia,BG,2022,2,1000
yo.wikipedia,IN,2022,3,240000
yo.wikipedia,RU,2022,3,103000
yo.wikipedia,UZ,2022,3,66000
yo.wikipedia,PK,2022,3,44000
yo.wikipedia,KZ,2022,3,39000
yo.wikipedia,US,2022,3,36000
yo.wikipedia,NL,2022,3,20000
yo.wikipedia,BY,2022,3,19000
yo.wikipedia,TJ,2022,3,18000
yo.wikipedia,NG,2022,3,17000
yo.wikipedia,DE,2022,3,16000
yo.wikipedia,IR,2022,3,16000
yo.wikipedia,UA,2022,3,15000
yo.wikipedia,CA,2022,3,13000
yo.wikipedia,FR,2022,3,12000
yo.wikipedia,GE,2022,3,10000
yo.wikipedia,KG,2022,3,8000
yo.wikipedia,SG,2022,3,7000
yo.wikipedia,MN,2022,3,6000
yo.wikipedia,AF,2022,3,6000
yo.wikipedia,AT,2022,3,5000
yo.wikipedia,PH,2022,3,4000
yo.wikipedia,VN,2022,3,4000
yo.wikipedia,GB,2022,3,4000
yo.wikipedia,ID,2022,3,3000
yo.wikipedia,TR,2022,3,3000
yo.wikipedia,IE,2022,3,3000
yo.wikipedia,AZ,2022,3,2000
yo.wikipedia,PL,2022,3,2000
yo.wikipedia,SE,2022,3,2000
yo.wikipedia,JP,2022,3,2000
yo.wikipedia,TM,2022,3,2000
yo.wikipedia,MY,2022,3,2000
yo.wikipedia,MD,2022,3,2000
yo.wikipedia,NO,2022,3,1000
yo.wikipedia,IT,2022,3,1000
yo.wikipedia,BR,2022,3,1000
yo.wikipedia,LV,2022,3,1000
yo.wikipedia,BD,2022,3,1000
yo.wikipedia,HK,2022,3,1000
yo.wikipedia,SA,2022,3,1000
yo.wikipedia,IQ,2022,3,1000
yo.wikipedia,ZA,2022,3,1000
yo.wikipedia,PT,2022,3,1000
yo.wikipedia,MM,2022,3,1000
yo.wikipedia,GR,2022,3,1000
yo.wikipedia,AE,2022,3,1000
yo.wikipedia,--,2022,3,1000
yo.wikipedia,DK,2022,3,1000
yo.wikipedia,CZ,2022,3,1000
yo.wikipedia,MX,2022,3,1000
yo.wikipedia,ES,2022,3,1000
yo.wikipedia,ET,2022,3,1000
yo.wikipedia,TH,2022,3,1000
yo.wikipedia,AU,2022,3,1000
yo.wikipedia,BH,2022,3,1000
yo.wikipedia,NP,2022,3,1000
yo.wikipedia,RO,2022,3,1000
yo.wikipedia,EG,2022,3,1000
yo.wikipedia,KR,2022,3,1000
yo.wikipedia,IL,2022,3,1000
yo.wikipedia,TW,2022,3,1000
yo.wikipedia,CI,2022,3,1000
yo.wikipedia,CD,2022,3,1000
yo.wikipedia,CO,2022,3,1000
yo.wikipedia,LK,2022,3,1000
yo.wikipedia,FI,2022,3,1000
yo.wikipedia,SC,2022,3,1000
yo.wikipedia,KE,2022,3,1000
yo.wikipedia,AM,2022,3,1000
yo.wikipedia,BT,2022,3,1000
yo.wikipedia,MZ,2022,3,1000
yo.wikipedia,KW,2022,3,1000
yo.wikipedia,CY,2022,3,1000
yo.wikipedia,ZM,2022,3,1000
yo.wikipedia,NE,2022,3,1000
yo.wikipedia,BJ,2022,3,1000
yo.wikipedia,CN,2022,3,1000
yo.wikipedia,PE,2022,3,1000
yo.wikipedia,LT,2022,3,1000
yo.wikipedia,TZ,2022,3,1000
yo.wikipedia,TG,2022,3,1000
yo.wikipedia,OM,2022,3,1000
yo.wikipedia,CH,2022,3,1000
yo.wikipedia,RW,2022,3,1000
yo.wikipedia,NZ,2022,3,1000
yo.wikipedia,IN,2022,4,92000
yo.wikipedia,RU,2022,4,64000
yo.wikipedia,US,2022,4,41000
yo.wikipedia,UZ,2022,4,27000
yo.wikipedia,KZ,2022,4,20000
yo.wikipedia,CA,2022,4,15000
yo.wikipedia,BY,2022,4,14000
yo.wikipedia,UA,2022,4,14000
yo.wikipedia,NL,2022,4,12000
yo.wikipedia,DE,2022,4,12000
yo.wikipedia,NG,2022,4,10000
yo.wikipedia,PK,2022,4,10000
yo.wikipedia,FR,2022,4,9000
yo.wikipedia,TJ,2022,4,8000
yo.wikipedia,IR,2022,4,7000
yo.wikipedia,SG,2022,4,6000
yo.wikipedia,GE,2022,4,5000
yo.wikipedia,MN,2022,4,5000
yo.wikipedia,AF,2022,4,4000
yo.wikipedia,KG,2022,4,3000
yo.wikipedia,ID,2022,4,3000
yo.wikipedia,SE,2022,4,3000
yo.wikipedia,GB,2022,4,3000
yo.wikipedia,JP,2022,4,3000
yo.wikipedia,VN,2022,4,2000
yo.wikipedia,DK,2022,4,2000
yo.wikipedia,TR,2022,4,2000
yo.wikipedia,--,2022,4,2000
yo.wikipedia,PL,2022,4,2000
yo.wikipedia,IT,2022,4,2000
yo.wikipedia,PH,2022,4,2000
yo.wikipedia,AT,2022,4,2000
yo.wikipedia,BR,2022,4,1000
yo.wikipedia,NO,2022,4,1000
yo.wikipedia,KR,2022,4,1000
yo.wikipedia,IQ,2022,4,1000
yo.wikipedia,ZA,2022,4,1000
yo.wikipedia,KE,2022,4,1000
yo.wikipedia,AZ,2022,4,1000
yo.wikipedia,TM,2022,4,1000
yo.wikipedia,AE,2022,4,1000
yo.wikipedia,SA,2022,4,1000
yo.wikipedia,IE,2022,4,1000
yo.wikipedia,MY,2022,4,1000
yo.wikipedia,HK,2022,4,1000
yo.wikipedia,EG,2022,4,1000
yo.wikipedia,CL,2022,4,1000
yo.wikipedia,KW,2022,4,1000
yo.wikipedia,MD,2022,4,1000
yo.wikipedia,PT,2022,4,1000
