project,iso2,year,month,pageviews_ceil
za.wikipedia,US,2022,1,24000
za.wikipedia,FR,2022,1,16000
za.wikipedia,NL,2022,1,7000
za.wikipedia,DE,2022,1,5000
za.wikipedia,SG,2022,1,4000
za.wikipedia,CA,2022,1,3000
za.wikipedia,IR,2022,1,2000
za.wikipedia,RU,2022,1,2000
za.wikipedia,CN,2022,1,2000
za.wikipedia,PL,2022,1,1000
za.wikipedia,JP,2022,1,1000
za.wikipedia,HK,2022,1,1000
za.wikipedia,GB,2022,1,1000
za.wikipedia,IT,2022,1,1000
za.wikipedia,--,2022,1,1000
za.wikipedia,UA,2022,1,1000
za.wikipedia,VN,2022,1,1000
za.wikipedia,FI,2022,1,1000
za.wikipedia,DK,2022,1,1000
za.wikipedia,KR,2022,1,1000
za.wikipedia,TW,2022,1,1000
za.wikipedia,SE,2022,1,1000
za.wikipedia,EE,2022,1,1000
za.wikipedia,BR,2022,1,1000
za.wikipedia,AU,2022,1,1000
za.wikipedia,IN,2022,1,1000
za.wikipedia,ID,2022,1,1000
za.wikipedia,BY,2022,1,1000
za.wikipedia,CL,2022,1,1000
za.wikipedia,SC,2022,1,1000
za.wikipedia,BE,2022,1,1000
za.wikipedia,CH,2022,1,1000
za.wikipedia,MY,2022,1,1000
za.wikipedia,TH,2022,1,1000
za.wikipedia,TR,2022,1,1000
za.wikipedia,CZ,2022,1,1000
za.wikipedia,ES,2022,1,1000
za.wikipedia,LV,2022,1,1000
za.wikipedia,PT,2022,1,1000
za.wikipedia,MD,2022,1,1000
za.wikipedia,IN,2022,2,98000
za.wikipedia,RU,2022,2,46000
za.wikipedia,UZ,2022,2,21000
za.wikipedia,US,2022,2,19000
za.wikipedia,PK,2022,2,15000
za.wikipedia,KZ,2022,2,15000
za.wikipedia,FR,2022,2,13000
za.wikipedia,UA,2022,2,10000
za.wikipedia,BY,2022,2,10000
za.wikipedia,NL,2022,2,9000
za.wikipedia,TJ,2022,2,6000
za.wikipedia,GE,2022,2,4000
za.wikipedia,IR,2022,2,4000
za.wikipedia,DE,2022,2,4000
za.wikipedia,CA,2022,2,3000
za.wikipedia,MN,2022,2,3000
za.wikipedia,KG,2022,2,3000
za.wikipedia,PH,2022,2,3000
za.wikipedia,SG,2022,2,3000
za.wikipedia,GB,2022,2,2000
za.wikipedia,VN,2022,2,2000
za.wikipedia,CN,2022,2,2000
za.wikipedia,TW,2022,2,2000
za.wikipedia,AF,2022,2,2000
za.wikipedia,PL,2022,2,1000
za.wikipedia,AZ,2022,2,1000
za.wikipedia,ID,2022,2,1000
za.wikipedia,BR,2022,2,1000
za.wikipedia,MD,2022,2,1000
za.wikipedia,--,2022,2,1000
za.wikipedia,JP,2022,2,1000
za.wikipedia,LK,2022,2,1000
za.wikipedia,TR,2022,2,1000
za.wikipedia,ZA,2022,2,1000
za.wikipedia,IT,2022,2,1000
za.wikipedia,MM,2022,2,1000
za.wikipedia,AU,2022,2,1000
za.wikipedia,HK,2022,2,1000
za.wikipedia,DK,2022,2,1000
za.wikipedia,EG,2022,2,1000
za.wikipedia,ES,2022,2,1000
za.wikipedia,IE,2022,2,1000
za.wikipedia,KR,2022,2,1000
za.wikipedia,AE,2022,2,1000
za.wikipedia,MY,2022,2,1000
za.wikipedia,AM,2022,2,1000
za.wikipedia,BD,2022,2,1000
za.wikipedia,NO,2022,2,1000
za.wikipedia,SC,2022,2,1000
za.wikipedia,BH,2022,2,1000
za.wikipedia,SA,2022,2,1000
za.wikipedia,KW,2022,2,1000
za.wikipedia,FI,2022,2,1000
za.wikipedia,PE,2022,2,1000
za.wikipedia,IL,2022,2,1000
za.wikipedia,GR,2022,2,1000
za.wikipedia,LV,2022,2,1000
za.wikipedia,NE,2022,2,1000
za.wikipedia,SE,2022,2,1000
za.wikipedia,ET,2022,2,1000
za.wikipedia,MO,2022,2,1000
za.wikipedia,CH,2022,2,1000
za.wikipedia,KE,2022,2,1000
za.wikipedia,RW,2022,2,1000
za.wikipedia,BJ,2022,2,1000
za.wikipedia,MA,2022,2,1000
za.wikipedia,TM,2022,2,1000
za.wikipedia,FM,2022,2,1000
za.wikipedia,IN,2022,3,163000
za.wikipedia,RU,2022,3,62000
za.wikipedia,UZ,2022,3,42000
za.wikipedia,PK,2022,3,30000
za.wikipedia,KZ,2022,3,25000
za.wikipedia,US,2022,3,17000
za.wikipedia,TJ,2022,3,15000
za.wikipedia,BY,2022,3,11000
za.wikipedia,UA,2022,3,9000
za.wikipedia,NL,2022,3,8000
za.wikipedia,IR,2022,3,7000
za.wikipedia,FR,2022,3,7000
za.wikipedia,GE,2022,3,6000
za.wikipedia,DE,2022,3,5000
za.wikipedia,CA,2022,3,5000
za.wikipedia,AF,2022,3,5000
za.wikipedia,KG,2022,3,4000
za.wikipedia,MN,2022,3,4000
za.wikipedia,PH,2022,3,3000
za.wikipedia,VN,2022,3,3000
za.wikipedia,HK,2022,3,3000
za.wikipedia,TR,2022,3,3000
za.wikipedia,SG,2022,3,2000
za.wikipedia,GB,2022,3,2000
za.wikipedia,AT,2022,3,2000
za.wikipedia,SE,2022,3,2000
za.wikipedia,PL,2022,3,2000
za.wikipedia,ID,2022,3,2000
za.wikipedia,IE,2022,3,2000
za.wikipedia,AZ,2022,3,1000
za.wikipedia,TM,2022,3,1000
za.wikipedia,BD,2022,3,1000
za.wikipedia,JP,2022,3,1000
za.wikipedia,IQ,2022,3,1000
za.wikipedia,CN,2022,3,1000
za.wikipedia,IT,2022,3,1000
za.wikipedia,MD,2022,3,1000
za.wikipedia,MY,2022,3,1000
za.wikipedia,AE,2022,3,1000
za.wikipedia,DK,2022,3,1000
za.wikipedia,KR,2022,3,1000
za.wikipedia,MM,2022,3,1000
za.wikipedia,GR,2022,3,1000
za.wikipedia,SA,2022,3,1000
za.wikipedia,ET,2022,3,1000
za.wikipedia,BH,2022,3,1000
za.wikipedia,--,2022,3,1000
za.wikipedia,ZA,2022,3,1000
za.wikipedia,LV,2022,3,1000
za.wikipedia,TW,2022,3,1000
za.wikipedia,LK,2022,3,1000
za.wikipedia,ES,2022,3,1000
za.wikipedia,NO,2022,3,1000
za.wikipedia,CZ,2022,3,1000
za.wikipedia,TH,2022,3,1000
za.wikipedia,NP,2022,3,1000
za.wikipedia,BR,2022,3,1000
za.wikipedia,CI,2022,3,1000
za.wikipedia,CD,2022,3,1000
za.wikipedia,PT,2022,3,1000
za.wikipedia,EG,2022,3,1000
za.wikipedia,IL,2022,3,1000
za.wikipedia,OM,2022,3,1000
za.wikipedia,SC,2022,3,1000
za.wikipedia,KE,2022,3,1000
za.wikipedia,MX,2022,3,1000
za.wikipedia,AU,2022,3,1000
za.wikipedia,NE,2022,3,1000
za.wikipedia,CO,2022,3,1000
za.wikipedia,KW,2022,3,1000
za.wikipedia,RO,2022,3,1000
za.wikipedia,NG,2022,3,1000
za.wikipedia,SL,2022,3,1000
za.wikipedia,BT,2022,3,1000
za.wikipedia,RW,2022,3,1000
za.wikipedia,IN,2022,4,64000
za.wikipedia,RU,2022,4,47000
za.wikipedia,US,2022,4,20000
za.wikipedia,UZ,2022,4,19000
za.wikipedia,KZ,2022,4,13000
za.wikipedia,UA,2022,4,11000
za.wikipedia,BY,2022,4,9000
za.wikipedia,TJ,2022,4,7000
za.wikipedia,PK,2022,4,7000
za.wikipedia,NL,2022,4,5000
za.wikipedia,DE,2022,4,5000
za.wikipedia,CA,2022,4,4000
za.wikipedia,GE,2022,4,4000
za.wikipedia,FR,2022,4,3000
za.wikipedia,AF,2022,4,3000
za.wikipedia,MN,2022,4,3000
za.wikipedia,IR,2022,4,3000
za.wikipedia,HK,2022,4,3000
za.wikipedia,KG,2022,4,2000
za.wikipedia,SG,2022,4,2000
za.wikipedia,VN,2022,4,2000
za.wikipedia,GB,2022,4,2000
za.wikipedia,TR,2022,4,2000
za.wikipedia,JP,2022,4,1000
za.wikipedia,--,2022,4,1000
za.wikipedia,KR,2022,4,1000
za.wikipedia,PH,2022,4,1000
za.wikipedia,PL,2022,4,1000
za.wikipedia,IT,2022,4,1000
za.wikipedia,IQ,2022,4,1000
za.wikipedia,DK,2022,4,1000
za.wikipedia,CL,2022,4,1000
za.wikipedia,ZA,2022,4,1000
za.wikipedia,SA,2022,4,1000
za.wikipedia,ID,2022,4,1000
