project,iso2,year,month,pageviews_ceil
zh-classical.wikipedia,US,2022,1,54000
zh-classical.wikipedia,TW,2022,1,28000
zh-classical.wikipedia,FR,2022,1,23000
zh-classical.wikipedia,HK,2022,1,13000
zh-classical.wikipedia,SG,2022,1,12000
zh-classical.wikipedia,DE,2022,1,11000
zh-classical.wikipedia,CA,2022,1,9000
zh-classical.wikipedia,IR,2022,1,8000
zh-classical.wikipedia,JP,2022,1,8000
zh-classical.wikipedia,NL,2022,1,7000
zh-classical.wikipedia,GB,2022,1,4000
zh-classical.wikipedia,RU,2022,1,3000
zh-classical.wikipedia,KR,2022,1,2000
zh-classical.wikipedia,PL,2022,1,2000
zh-classical.wikipedia,FI,2022,1,2000
zh-classical.wikipedia,AU,2022,1,2000
zh-classical.wikipedia,MY,2022,1,2000
zh-classical.wikipedia,CN,2022,1,2000
zh-classical.wikipedia,IT,2022,1,1000
zh-classical.wikipedia,--,2022,1,1000
zh-classical.wikipedia,VN,2022,1,1000
zh-classical.wikipedia,ID,2022,1,1000
zh-classical.wikipedia,DK,2022,1,1000
zh-classical.wikipedia,ES,2022,1,1000
zh-classical.wikipedia,BR,2022,1,1000
zh-classical.wikipedia,TR,2022,1,1000
zh-classical.wikipedia,IN,2022,1,1000
zh-classical.wikipedia,MO,2022,1,1000
zh-classical.wikipedia,UA,2022,1,1000
zh-classical.wikipedia,TH,2022,1,1000
zh-classical.wikipedia,BE,2022,1,1000
zh-classical.wikipedia,CH,2022,1,1000
zh-classical.wikipedia,SE,2022,1,1000
zh-classical.wikipedia,AT,2022,1,1000
zh-classical.wikipedia,CZ,2022,1,1000
zh-classical.wikipedia,PT,2022,1,1000
zh-classical.wikipedia,MX,2022,1,1000
zh-classical.wikipedia,CL,2022,1,1000
zh-classical.wikipedia,IL,2022,1,1000
zh-classical.wikipedia,SC,2022,1,1000
zh-classical.wikipedia,PH,2022,1,1000
zh-classical.wikipedia,LV,2022,1,1000
zh-classical.wikipedia,NO,2022,1,1000
zh-classical.wikipedia,BY,2022,1,1000
zh-classical.wikipedia,UG,2022,1,1000
zh-classical.wikipedia,HU,2022,1,1000
zh-classical.wikipedia,BG,2022,1,1000
