project,date,pageviews
zh.wikipedia,2022-01-01,17091314
zh.wikipedia,2022-01-02,18758861
zh.wikipedia,2022-01-03,17104204
zh.wikipedia,2022-01-04,17002603
zh.wikipedia,2022-01-05,16725481
zh.wikipedia,2022-01-06,16761769
zh.wikipedia,2022-01-07,16444550
zh.wikipedia,2022-01-08,17548598
zh.wikipedia,2022-01-09,18167418
zh.wikipedia,2022-01-10,16805778
zh.wikipedia,2022-01-11,16313273
zh.wikipedia,2022-01-12,15909035
zh.wikipedia,2022-01-13,15951907
zh.wikipedia,2022-01-14,15402876
zh.wikipedia,2022-01-15,16424706
zh.wikipedia,2022-01-16,17351618
zh.wikipedia,2022-01-17,16444451
zh.wikipedia,2022-01-18,16327847
zh.wikipedia,2022-01-19,15939760
zh.wikipedia,2022-01-20,15403332
zh.wikipedia,2022-01-21,15441514
zh.wikipedia,2022-01-22,16094607
zh.wikipedia,2022-01-23,16389487
zh.wikipedia,2022-01-24,15965148
zh.wikipedia,2022-01-25,15635462
zh.wikipedia,2022-01-26,15653171
zh.wikipedia,2022-01-27,15798495
zh.wikipedia,2022-01-28,15725152
zh.wikipedia,2022-01-29,15848960
zh.wikipedia,2022-01-30,15809643
zh.wikipedia,2022-01-31,14400108
zh.wikipedia,2022-02-01,16238480
zh.wikipedia,2022-02-02,16824572
zh.wikipedia,2022-02-03,17973857
zh.wikipedia,2022-02-04,18127375
zh.wikipedia,2022-02-05,18191733
zh.wikipedia,2022-02-06,18376605
zh.wikipedia,2022-02-07,17767861
zh.wikipedia,2022-02-08,17545388
zh.wikipedia,2022-02-09,17479900
zh.wikipedia,2022-02-10,17442876
zh.wikipedia,2022-02-11,16796678
zh.wikipedia,2022-02-12,17373596
zh.wikipedia,2022-02-13,18401326
zh.wikipedia,2022-02-14,17149704
zh.wikipedia,2022-02-15,17046023
zh.wikipedia,2022-02-16,16929638
zh.wikipedia,2022-02-17,17262958
zh.wikipedia,2022-02-18,17500318
zh.wikipedia,2022-02-19,18003778
zh.wikipedia,2022-02-20,18271054
zh.wikipedia,2022-02-21,17558814
zh.wikipedia,2022-02-22,17871086
zh.wikipedia,2022-02-23,16903205
zh.wikipedia,2022-02-24,18615456
zh.wikipedia,2022-02-25,18299376
zh.wikipedia,2022-02-26,18875888
zh.wikipedia,2022-02-27,19390612
zh.wikipedia,2022-02-28,18752748
zh.wikipedia,2022-03-01,17905613
zh.wikipedia,2022-03-02,17772124
zh.wikipedia,2022-03-03,17137575
zh.wikipedia,2022-03-04,17341413
zh.wikipedia,2022-03-05,18093870
zh.wikipedia,2022-03-06,18539581
zh.wikipedia,2022-03-07,17718621
zh.wikipedia,2022-03-08,17622582
zh.wikipedia,2022-03-09,17117311
zh.wikipedia,2022-03-10,17134260
zh.wikipedia,2022-03-11,16946748
zh.wikipedia,2022-03-12,17437603
zh.wikipedia,2022-03-13,18299675
zh.wikipedia,2022-03-14,17828073
zh.wikipedia,2022-03-15,17166268
zh.wikipedia,2022-03-16,17096429
zh.wikipedia,2022-03-17,17167579
zh.wikipedia,2022-03-18,17094730
zh.wikipedia,2022-03-19,17936601
zh.wikipedia,2022-03-20,18717501
zh.wikipedia,2022-03-21,19125003
zh.wikipedia,2022-03-22,18570538
zh.wikipedia,2022-03-23,17951471
zh.wikipedia,2022-03-24,17584240
zh.wikipedia,2022-03-25,17075181
zh.wikipedia,2022-03-26,18248169
zh.wikipedia,2022-03-27,18855374
zh.wikipedia,2022-03-28,18443105
zh.wikipedia,2022-03-29,17367763
zh.wikipedia,2022-03-30,17004363
zh.wikipedia,2022-03-31,17321571
zh.wikipedia,2022-04-01,16464814
zh.wikipedia,2022-04-02,17595388
zh.wikipedia,2022-04-03,17889623
zh.wikipedia,2022-04-04,18117457
zh.wikipedia,2022-04-05,18611449
zh.wikipedia,2022-04-06,17903139
zh.wikipedia,2022-04-07,18141063
zh.wikipedia,2022-04-08,17741527
zh.wikipedia,2022-04-09,18095629
zh.wikipedia,2022-04-10,19216974
zh.wikipedia,2022-04-11,18319393
zh.wikipedia,2022-04-12,17808730
zh.wikipedia,2022-04-13,17407267
zh.wikipedia,2022-04-14,17468693
zh.wikipedia,2022-04-15,17535045
zh.wikipedia,2022-04-16,18197323
zh.wikipedia,2022-04-17,18932070
zh.wikipedia,2022-04-18,18184014
zh.wikipedia,2022-04-19,17785702
zh.wikipedia,2022-04-20,17184048
zh.wikipedia,2022-04-21,17141487
zh.wikipedia,2022-04-22,17209705
zh.wikipedia,2022-04-23,17868075
zh.wikipedia,2022-04-24,19239947
zh.wikipedia,2022-04-25,18026209
zh.wikipedia,2022-04-26,17804060
zh.wikipedia,2022-04-27,18103991
zh.wikipedia,2022-04-28,17632502
zh.wikipedia,2022-04-29,16847293
zh.wikipedia,2022-04-30,16882512
zh.wikipedia,2022-05-01,16683117
zh.wikipedia,2022-05-02,12952750
zh.wikipedia,2022-05-03,12187753
zh.wikipedia,2022-05-04,12076726
zh.wikipedia,2022-05-05,11994920
zh.wikipedia,2022-05-06,12112414
zh.wikipedia,2022-05-07,13012288
zh.wikipedia,2022-05-08,13313971
zh.wikipedia,2022-05-09,12875273
zh.wikipedia,2022-05-10,12488141
zh.wikipedia,2022-05-11,12404497
zh.wikipedia,2022-05-12,12458961
zh.wikipedia,2022-05-13,12292591
zh.wikipedia,2022-05-14,13296471
zh.wikipedia,2022-05-15,13614014
zh.wikipedia,2022-05-16,12727454
zh.wikipedia,2022-05-17,12189507
zh.wikipedia,2022-05-18,12233344
zh.wikipedia,2022-05-19,12153357
zh.wikipedia,2022-05-20,11870892
zh.wikipedia,2022-05-21,12592676
zh.wikipedia,2022-05-22,13325740
zh.wikipedia,2022-05-23,12873942
zh.wikipedia,2022-05-24,12935318
zh.wikipedia,2022-05-25,12783334
zh.wikipedia,2022-05-26,12952927
zh.wikipedia,2022-05-27,12833786
zh.wikipedia,2022-05-28,12959169
zh.wikipedia,2022-05-29,13283727
zh.wikipedia,2022-05-30,13244318
zh.wikipedia,2022-05-31,12821631
zh.wikipedia,2022-06-01,12168039
zh.wikipedia,2022-06-02,12377327
zh.wikipedia,2022-06-03,12759039
zh.wikipedia,2022-06-04,13571390
zh.wikipedia,2022-06-05,13986434
zh.wikipedia,2022-06-06,13517004
zh.wikipedia,2022-06-07,13530028
zh.wikipedia,2022-06-08,13325393
zh.wikipedia,2022-06-09,13075139
zh.wikipedia,2022-06-10,12546199
zh.wikipedia,2022-06-11,12843302
zh.wikipedia,2022-06-12,13373683
