project,iso2,year,month,pageviews_ceil
zu.wikipedia,ZA,2022,1,24000
zu.wikipedia,US,2022,1,23000
zu.wikipedia,FR,2022,1,15000
zu.wikipedia,NL,2022,1,7000
zu.wikipedia,CA,2022,1,7000
zu.wikipedia,DE,2022,1,6000
zu.wikipedia,SG,2022,1,4000
zu.wikipedia,RU,2022,1,2000
zu.wikipedia,IR,2022,1,2000
zu.wikipedia,--,2022,1,2000
zu.wikipedia,GB,2022,1,1000
zu.wikipedia,JP,2022,1,1000
zu.wikipedia,PL,2022,1,1000
zu.wikipedia,IN,2022,1,1000
zu.wikipedia,BR,2022,1,1000
zu.wikipedia,UA,2022,1,1000
zu.wikipedia,HK,2022,1,1000
zu.wikipedia,IT,2022,1,1000
zu.wikipedia,FI,2022,1,1000
zu.wikipedia,KR,2022,1,1000
zu.wikipedia,CN,2022,1,1000
zu.wikipedia,TR,2022,1,1000
zu.wikipedia,TH,2022,1,1000
zu.wikipedia,SE,2022,1,1000
zu.wikipedia,DK,2022,1,1000
zu.wikipedia,ZW,2022,1,1000
zu.wikipedia,ID,2022,1,1000
zu.wikipedia,SA,2022,1,1000
zu.wikipedia,CH,2022,1,1000
zu.wikipedia,NG,2022,1,1000
zu.wikipedia,BE,2022,1,1000
zu.wikipedia,VN,2022,1,1000
zu.wikipedia,CZ,2022,1,1000
zu.wikipedia,PK,2022,1,1000
zu.wikipedia,TW,2022,1,1000
zu.wikipedia,AU,2022,1,1000
zu.wikipedia,IL,2022,1,1000
zu.wikipedia,ES,2022,1,1000
zu.wikipedia,LV,2022,1,1000
zu.wikipedia,ET,2022,1,1000
zu.wikipedia,BY,2022,1,1000
zu.wikipedia,PT,2022,1,1000
zu.wikipedia,RO,2022,1,1000
zu.wikipedia,MY,2022,1,1000
zu.wikipedia,SC,2022,1,1000
zu.wikipedia,AT,2022,1,1000
zu.wikipedia,IE,2022,1,1000
zu.wikipedia,GR,2022,1,1000
zu.wikipedia,EG,2022,1,1000
zu.wikipedia,IN,2022,2,76000
zu.wikipedia,RU,2022,2,35000
zu.wikipedia,ZA,2022,2,31000
zu.wikipedia,US,2022,2,25000
zu.wikipedia,UZ,2022,2,15000
zu.wikipedia,PK,2022,2,12000
zu.wikipedia,FR,2022,2,12000
zu.wikipedia,KZ,2022,2,11000
zu.wikipedia,NL,2022,2,9000
zu.wikipedia,UA,2022,2,8000
zu.wikipedia,BY,2022,2,7000
zu.wikipedia,CA,2022,2,5000
zu.wikipedia,TJ,2022,2,5000
zu.wikipedia,DE,2022,2,5000
zu.wikipedia,IR,2022,2,4000
zu.wikipedia,BR,2022,2,3000
zu.wikipedia,GE,2022,2,3000
zu.wikipedia,GB,2022,2,3000
zu.wikipedia,MN,2022,2,3000
zu.wikipedia,PH,2022,2,2000
zu.wikipedia,KG,2022,2,2000
