iso2,pageviews_ceil,project,year,month
PL,256746000,pl.wikipedia,2022,1
DE,4889000,pl.wikipedia,2022,1
GB,3807000,pl.wikipedia,2022,1
US,3689000,pl.wikipedia,2022,1
NL,1514000,pl.wikipedia,2022,1
RU,1062000,pl.wikipedia,2022,1
FR,857000,pl.wikipedia,2022,1
IR,716000,pl.wikipedia,2022,1
NO,623000,pl.wikipedia,2022,1
IE,525000,pl.wikipedia,2022,1
SE,522000,pl.wikipedia,2022,1
AT,501000,pl.wikipedia,2022,1
CA,485000,pl.wikipedia,2022,1
BE,443000,pl.wikipedia,2022,1
CZ,413000,pl.wikipedia,2022,1
ES,389000,pl.wikipedia,2022,1
UA,384000,pl.wikipedia,2022,1
IT,383000,pl.wikipedia,2022,1
CH,325000,pl.wikipedia,2022,1
DK,288000,pl.wikipedia,2022,1
BR,198000,pl.wikipedia,2022,1
LT,188000,pl.wikipedia,2022,1
ID,169000,pl.wikipedia,2022,1
--,167000,pl.wikipedia,2022,1
TW,126000,pl.wikipedia,2022,1
IS,122000,pl.wikipedia,2022,1
SG,118000,pl.wikipedia,2022,1
AU,117000,pl.wikipedia,2022,1
HU,112000,pl.wikipedia,2022,1
BY,111000,pl.wikipedia,2022,1
SK,110000,pl.wikipedia,2022,1
FI,110000,pl.wikipedia,2022,1
HK,100000,pl.wikipedia,2022,1
JP,98000,pl.wikipedia,2022,1
TR,90000,pl.wikipedia,2022,1
MD,84000,pl.wikipedia,2022,1
MX,72000,pl.wikipedia,2022,1
MY,72000,pl.wikipedia,2022,1
PT,71000,pl.wikipedia,2022,1
RO,68000,pl.wikipedia,2022,1
GR,67000,pl.wikipedia,2022,1
TH,66000,pl.wikipedia,2022,1
IN,64000,pl.wikipedia,2022,1
EG,54000,pl.wikipedia,2022,1
BG,54000,pl.wikipedia,2022,1
PH,51000,pl.wikipedia,2022,1
IL,46000,pl.wikipedia,2022,1
LU,45000,pl.wikipedia,2022,1
AE,43000,pl.wikipedia,2022,1
BD,36000,pl.wikipedia,2022,1
HR,33000,pl.wikipedia,2022,1
LV,32000,pl.wikipedia,2022,1
VN,32000,pl.wikipedia,2022,1
AR,30000,pl.wikipedia,2022,1
MT,29000,pl.wikipedia,2022,1
RS,28000,pl.wikipedia,2022,1
KR,27000,pl.wikipedia,2022,1
EC,25000,pl.wikipedia,2022,1
DO,24000,pl.wikipedia,2022,1
CY,22000,pl.wikipedia,2022,1
GE,21000,pl.wikipedia,2022,1
SI,20000,pl.wikipedia,2022,1
ZA,20000,pl.wikipedia,2022,1
CO,20000,pl.wikipedia,2022,1
EE,19000,pl.wikipedia,2022,1
TZ,18000,pl.wikipedia,2022,1
LK,17000,pl.wikipedia,2022,1
CL,17000,pl.wikipedia,2022,1
BA,15000,pl.wikipedia,2022,1
PK,13000,pl.wikipedia,2022,1
KE,13000,pl.wikipedia,2022,1
IQ,12000,pl.wikipedia,2022,1
PE,12000,pl.wikipedia,2022,1
AL,12000,pl.wikipedia,2022,1
NZ,11000,pl.wikipedia,2022,1
AZ,10000,pl.wikipedia,2022,1
KZ,10000,pl.wikipedia,2022,1
MK,10000,pl.wikipedia,2022,1
JE,10000,pl.wikipedia,2022,1
SA,9000,pl.wikipedia,2022,1
DZ,8000,pl.wikipedia,2022,1
OM,8000,pl.wikipedia,2022,1
AM,8000,pl.wikipedia,2022,1
MV,8000,pl.wikipedia,2022,1
CR,7000,pl.wikipedia,2022,1
NG,7000,pl.wikipedia,2022,1
MA,7000,pl.wikipedia,2022,1
QA,6000,pl.wikipedia,2022,1
UZ,6000,pl.wikipedia,2022,1
CU,6000,pl.wikipedia,2022,1
MO,6000,pl.wikipedia,2022,1
JO,6000,pl.wikipedia,2022,1
PA,6000,pl.wikipedia,2022,1
TN,5000,pl.wikipedia,2022,1
KH,5000,pl.wikipedia,2022,1
NP,5000,pl.wikipedia,2022,1
UY,5000,pl.wikipedia,2022,1
LB,5000,pl.wikipedia,2022,1
VE,5000,pl.wikipedia,2022,1
SC,5000,pl.wikipedia,2022,1
PY,5000,pl.wikipedia,2022,1
CV,4000,pl.wikipedia,2022,1
CN,4000,pl.wikipedia,2022,1
GH,4000,pl.wikipedia,2022,1
SN,3000,pl.wikipedia,2022,1
MU,3000,pl.wikipedia,2022,1
HN,3000,pl.wikipedia,2022,1
BO,3000,pl.wikipedia,2022,1
GI,3000,pl.wikipedia,2022,1
ME,3000,pl.wikipedia,2022,1
IM,3000,pl.wikipedia,2022,1
KG,3000,pl.wikipedia,2022,1
GT,3000,pl.wikipedia,2022,1
MM,3000,pl.wikipedia,2022,1
KW,3000,pl.wikipedia,2022,1
ET,3000,pl.wikipedia,2022,1
XK,3000,pl.wikipedia,2022,1
BH,3000,pl.wikipedia,2022,1
AD,2000,pl.wikipedia,2022,1
JM,2000,pl.wikipedia,2022,1
AO,2000,pl.wikipedia,2022,1
UG,2000,pl.wikipedia,2022,1
MN,2000,pl.wikipedia,2022,1
SV,2000,pl.wikipedia,2022,1
CI,2000,pl.wikipedia,2022,1
PR,2000,pl.wikipedia,2022,1
LA,2000,pl.wikipedia,2022,1
RE,2000,pl.wikipedia,2022,1
FO,2000,pl.wikipedia,2022,1
TG,2000,pl.wikipedia,2022,1
SO,2000,pl.wikipedia,2022,1
GG,2000,pl.wikipedia,2022,1
BN,2000,pl.wikipedia,2022,1
CM,2000,pl.wikipedia,2022,1
ZM,2000,pl.wikipedia,2022,1
LY,2000,pl.wikipedia,2022,1
NI,2000,pl.wikipedia,2022,1
MQ,1000,pl.wikipedia,2022,1
SY,1000,pl.wikipedia,2022,1
VA,1000,pl.wikipedia,2022,1
GP,1000,pl.wikipedia,2022,1
CD,1000,pl.wikipedia,2022,1
MZ,1000,pl.wikipedia,2022,1
NA,1000,pl.wikipedia,2022,1
MG,1000,pl.wikipedia,2022,1
BJ,1000,pl.wikipedia,2022,1
GA,1000,pl.wikipedia,2022,1
PS,1000,pl.wikipedia,2022,1
TT,1000,pl.wikipedia,2022,1
SD,1000,pl.wikipedia,2022,1
TC,1000,pl.wikipedia,2022,1
MC,1000,pl.wikipedia,2022,1
BS,1000,pl.wikipedia,2022,1
BB,1000,pl.wikipedia,2022,1
LI,1000,pl.wikipedia,2022,1
RW,1000,pl.wikipedia,2022,1
ML,1000,pl.wikipedia,2022,1
BF,1000,pl.wikipedia,2022,1
TM,1000,pl.wikipedia,2022,1
TJ,1000,pl.wikipedia,2022,1
GY,1000,pl.wikipedia,2022,1
CW,1000,pl.wikipedia,2022,1
HT,1000,pl.wikipedia,2022,1
SM,1000,pl.wikipedia,2022,1
AX,1000,pl.wikipedia,2022,1
GL,1000,pl.wikipedia,2022,1
BZ,1000,pl.wikipedia,2022,1
CF,1000,pl.wikipedia,2022,1
ZW,1000,pl.wikipedia,2022,1
YE,1000,pl.wikipedia,2022,1
BW,1000,pl.wikipedia,2022,1
GF,1000,pl.wikipedia,2022,1
LC,1000,pl.wikipedia,2022,1
GM,1000,pl.wikipedia,2022,1
GU,1000,pl.wikipedia,2022,1
CG,1000,pl.wikipedia,2022,1
SL,1000,pl.wikipedia,2022,1
AW,1000,pl.wikipedia,2022,1
PF,1000,pl.wikipedia,2022,1
AF,1000,pl.wikipedia,2022,1
AG,1000,pl.wikipedia,2022,1
GN,1000,pl.wikipedia,2022,1
SR,1000,pl.wikipedia,2022,1
MW,1000,pl.wikipedia,2022,1
PG,1000,pl.wikipedia,2022,1
SX,1000,pl.wikipedia,2022,1
KY,1000,pl.wikipedia,2022,1
BL,1000,pl.wikipedia,2022,1
MF,1000,pl.wikipedia,2022,1
FJ,1000,pl.wikipedia,2022,1
KN,1000,pl.wikipedia,2022,1
NC,1000,pl.wikipedia,2022,1
NE,1000,pl.wikipedia,2022,1
BQ,1000,pl.wikipedia,2022,1
SS,1000,pl.wikipedia,2022,1
SZ,1000,pl.wikipedia,2022,1
GQ,1000,pl.wikipedia,2022,1
YT,1000,pl.wikipedia,2022,1
FR,540150000,fr.wikipedia,2022,1
BE,37890000,fr.wikipedia,2022,1
CA,33777000,fr.wikipedia,2022,1
CH,21527000,fr.wikipedia,2022,1
US,16950000,fr.wikipedia,2022,1
MA,14514000,fr.wikipedia,2022,1
DZ,12132000,fr.wikipedia,2022,1
DE,6237000,fr.wikipedia,2022,1
TN,6116000,fr.wikipedia,2022,1
CI,5360000,fr.wikipedia,2022,1
